"","Time","Country","Series","SCALE","Data"
"1","YR2000","AFG","EN.GHG.CO2.LU.MT.CE.AR5",0,9.4311
"2","YR2000","ALB","EN.GHG.CO2.LU.MT.CE.AR5",0,1.4
"3","YR2000","DZA","EN.GHG.CO2.LU.MT.CE.AR5",0,-8.148
"4","YR2000","AND","EN.GHG.CO2.LU.MT.CE.AR5",0,0.141
"5","YR2000","AGO","EN.GHG.CO2.LU.MT.CE.AR5",0,40.0626
"6","YR2000","ATG","EN.GHG.CO2.LU.MT.CE.AR5",0,-0.0396
"7","YR2000","ARG","EN.GHG.CO2.LU.MT.CE.AR5",0,84.9695
"8","YR2000","ARM","EN.GHG.CO2.LU.MT.CE.AR5",0,-2.0025
"9","YR2000","AUS","EN.GHG.CO2.LU.MT.CE.AR5",0,39.3829
"10","YR2000","AUT","EN.GHG.CO2.LU.MT.CE.AR5",0,-16.7041
"11","YR2000","AZE","EN.GHG.CO2.LU.MT.CE.AR5",0,-3.2869
"12","YR2000","BHS","EN.GHG.CO2.LU.MT.CE.AR5",0,-4.1596
"13","YR2000","BHR","EN.GHG.CO2.LU.MT.CE.AR5",0,-0.019
"14","YR2000","BGD","EN.GHG.CO2.LU.MT.CE.AR5",0,0.3743
"15","YR2000","BRB","EN.GHG.CO2.LU.MT.CE.AR5",0,-0.045
"16","YR2000","BLR","EN.GHG.CO2.LU.MT.CE.AR5",0,-34.6668
"17","YR2000","BEL","EN.GHG.CO2.LU.MT.CE.AR5",0,-1.7291
"18","YR2000","BLZ","EN.GHG.CO2.LU.MT.CE.AR5",0,-7.84
"19","YR2000","BEN","EN.GHG.CO2.LU.MT.CE.AR5",0,-2.7545
"20","YR2000","BTN","EN.GHG.CO2.LU.MT.CE.AR5",0,-6.9882
"21","YR2000","BOL","EN.GHG.CO2.LU.MT.CE.AR5",0,40.7
"22","YR2000","BIH","EN.GHG.CO2.LU.MT.CE.AR5",0,-7.2314
"23","YR2000","BWA","EN.GHG.CO2.LU.MT.CE.AR5",0,-2.821
"24","YR2000","BRA","EN.GHG.CO2.LU.MT.CE.AR5",0,1110.48
"25","YR2000","BRN","EN.GHG.CO2.LU.MT.CE.AR5",0,-2.5762
"26","YR2000","BGR","EN.GHG.CO2.LU.MT.CE.AR5",0,-18.1843
"27","YR2000","BFA","EN.GHG.CO2.LU.MT.CE.AR5",0,33.756
"28","YR2000","BDI","EN.GHG.CO2.LU.MT.CE.AR5",0,-3.906
"29","YR2000","CPV","EN.GHG.CO2.LU.MT.CE.AR5",0,-0.229
"30","YR2000","KHM","EN.GHG.CO2.LU.MT.CE.AR5",0,71.4901
"31","YR2000","CMR","EN.GHG.CO2.LU.MT.CE.AR5",0,-76.602
"32","YR2000","CAN","EN.GHG.CO2.LU.MT.CE.AR5",0,-38.0062
"33","YR2000","CAF","EN.GHG.CO2.LU.MT.CE.AR5",0,-228.971
"34","YR2000","TCD","EN.GHG.CO2.LU.MT.CE.AR5",0,-5.144
"35","YR2000","CHL","EN.GHG.CO2.LU.MT.CE.AR5",0,-73.3643
"36","YR2000","CHN","EN.GHG.CO2.LU.MT.CE.AR5",0,-803.0009
"37","YR2000","COL","EN.GHG.CO2.LU.MT.CE.AR5",0,102.9724
"38","YR2000","COM","EN.GHG.CO2.LU.MT.CE.AR5",0,-2.4
"39","YR2000","COG","EN.GHG.CO2.LU.MT.CE.AR5",0,-14.367
"40","YR2000","CRI","EN.GHG.CO2.LU.MT.CE.AR5",0,19
"41","YR2000","CIV","EN.GHG.CO2.LU.MT.CE.AR5",0,41.1559
"42","YR2000","HRV","EN.GHG.CO2.LU.MT.CE.AR5",0,-6.5847
"43","YR2000","CUB","EN.GHG.CO2.LU.MT.CE.AR5",0,18.1401
"44","YR2000","CYP","EN.GHG.CO2.LU.MT.CE.AR5",0,-0.0769
"45","YR2000","CZE","EN.GHG.CO2.LU.MT.CE.AR5",0,-9.4623
"46","YR2000","PRK","EN.GHG.CO2.LU.MT.CE.AR5",0,-16.781
"47","YR2000","COD","EN.GHG.CO2.LU.MT.CE.AR5",0,343.95
"48","YR2000","DNK","EN.GHG.CO2.LU.MT.CE.AR5",0,4.8698
"49","YR2000","DJI","EN.GHG.CO2.LU.MT.CE.AR5",0,-1.5
"50","YR2000","DMA","EN.GHG.CO2.LU.MT.CE.AR5",0,-0.1376
"51","YR2000","DOM","EN.GHG.CO2.LU.MT.CE.AR5",0,2.2005
"52","YR2000","ECU","EN.GHG.CO2.LU.MT.CE.AR5",0,41.1504
"53","YR2000","EGY","EN.GHG.CO2.LU.MT.CE.AR5",0,NA
"54","YR2000","SLV","EN.GHG.CO2.LU.MT.CE.AR5",0,2.1294
"55","YR2000","GNQ","EN.GHG.CO2.LU.MT.CE.AR5",0,8.5529
"56","YR2000","ERI","EN.GHG.CO2.LU.MT.CE.AR5",0,-0.23
"57","YR2000","EST","EN.GHG.CO2.LU.MT.CE.AR5",0,-4.5374
"58","YR2000","ETH","EN.GHG.CO2.LU.MT.CE.AR5",0,102.6487
"59","YR2000","FJI","EN.GHG.CO2.LU.MT.CE.AR5",0,0.31
"60","YR2000","FIN","EN.GHG.CO2.LU.MT.CE.AR5",0,-18.5438
"61","YR2000","FRA","EN.GHG.CO2.LU.MT.CE.AR5",0,-25.5556
"62","YR2000","GAB","EN.GHG.CO2.LU.MT.CE.AR5",0,-97.548
"63","YR2000","GMB","EN.GHG.CO2.LU.MT.CE.AR5",0,1.192
"64","YR2000","GEO","EN.GHG.CO2.LU.MT.CE.AR5",0,-5.0313
"65","YR2000","DEU","EN.GHG.CO2.LU.MT.CE.AR5",0,-11.9595
"66","YR2000","GHA","EN.GHG.CO2.LU.MT.CE.AR5",0,12.74
"67","YR2000","GRC","EN.GHG.CO2.LU.MT.CE.AR5",0,-2.1759
"68","YR2000","GRD","EN.GHG.CO2.LU.MT.CE.AR5",0,0.0002
"69","YR2000","GTM","EN.GHG.CO2.LU.MT.CE.AR5",0,-24.7393
"70","YR2000","GIN","EN.GHG.CO2.LU.MT.CE.AR5",0,33.6
"71","YR2000","GNB","EN.GHG.CO2.LU.MT.CE.AR5",0,-0.57
"72","YR2000","GUY","EN.GHG.CO2.LU.MT.CE.AR5",0,46.3013
"73","YR2000","HTI","EN.GHG.CO2.LU.MT.CE.AR5",0,1.1492
"74","YR2000","HND","EN.GHG.CO2.LU.MT.CE.AR5",0,-7.5128
"75","YR2000","HUN","EN.GHG.CO2.LU.MT.CE.AR5",0,-0.9388
"76","YR2000","ISL","EN.GHG.CO2.LU.MT.CE.AR5",0,5.7714
"77","YR2000","IND","EN.GHG.CO2.LU.MT.CE.AR5",0,-223
"78","YR2000","IDN","EN.GHG.CO2.LU.MT.CE.AR5",0,532.36
"79","YR2000","IRN","EN.GHG.CO2.LU.MT.CE.AR5",0,21.529
"80","YR2000","IRQ","EN.GHG.CO2.LU.MT.CE.AR5",0,NA
"81","YR2000","IRL","EN.GHG.CO2.LU.MT.CE.AR5",0,6.8797
"82","YR2000","ISR","EN.GHG.CO2.LU.MT.CE.AR5",0,-0.2863
"83","YR2000","ITA","EN.GHG.CO2.LU.MT.CE.AR5",0,-22.522
"84","YR2000","JAM","EN.GHG.CO2.LU.MT.CE.AR5",0,-1.686
"85","YR2000","JPN","EN.GHG.CO2.LU.MT.CE.AR5",0,-84.9865
"86","YR2000","JOR","EN.GHG.CO2.LU.MT.CE.AR5",0,-0.922
"87","YR2000","KAZ","EN.GHG.CO2.LU.MT.CE.AR5",0,56.4612
"88","YR2000","KEN","EN.GHG.CO2.LU.MT.CE.AR5",0,62.8336
"89","YR2000","KIR","EN.GHG.CO2.LU.MT.CE.AR5",0,NA
"90","YR2000","KWT","EN.GHG.CO2.LU.MT.CE.AR5",0,0.1339
"91","YR2000","KGZ","EN.GHG.CO2.LU.MT.CE.AR5",0,-10.367
"92","YR2000","LAO","EN.GHG.CO2.LU.MT.CE.AR5",0,44.581
"93","YR2000","LVA","EN.GHG.CO2.LU.MT.CE.AR5",0,-12.8973
"94","YR2000","LBN","EN.GHG.CO2.LU.MT.CE.AR5",0,-2.3263
"95","YR2000","LSO","EN.GHG.CO2.LU.MT.CE.AR5",0,7.538
"96","YR2000","LBR","EN.GHG.CO2.LU.MT.CE.AR5",0,-20.504
"97","YR2000","LBY","EN.GHG.CO2.LU.MT.CE.AR5",0,NA
"98","YR2000","LIE","EN.GHG.CO2.LU.MT.CE.AR5",0,0.0248
"99","YR2000","LTU","EN.GHG.CO2.LU.MT.CE.AR5",0,-9.5631
"100","YR2000","LUX","EN.GHG.CO2.LU.MT.CE.AR5",0,-0.6178
"101","YR2000","MDG","EN.GHG.CO2.LU.MT.CE.AR5",0,34.3423
"102","YR2000","MWI","EN.GHG.CO2.LU.MT.CE.AR5",0,-0.562
"103","YR2000","MYS","EN.GHG.CO2.LU.MT.CE.AR5",0,-182.4765
"104","YR2000","MDV","EN.GHG.CO2.LU.MT.CE.AR5",0,NA
"105","YR2000","MLI","EN.GHG.CO2.LU.MT.CE.AR5",0,-259.463
"106","YR2000","MLT","EN.GHG.CO2.LU.MT.CE.AR5",0,-0.0052
"107","YR2000","MHL","EN.GHG.CO2.LU.MT.CE.AR5",0,NA
"108","YR2000","MRT","EN.GHG.CO2.LU.MT.CE.AR5",0,-0.62
"109","YR2000","MUS","EN.GHG.CO2.LU.MT.CE.AR5",0,-0.2901
"110","YR2000","MEX","EN.GHG.CO2.LU.MT.CE.AR5",0,-207.52
"111","YR2000","FSM","EN.GHG.CO2.LU.MT.CE.AR5",0,-0.568
"112","YR2000","MCO","EN.GHG.CO2.LU.MT.CE.AR5",0,-0.0001
"113","YR2000","MNG","EN.GHG.CO2.LU.MT.CE.AR5",0,-25.135
"114","YR2000","MNE","EN.GHG.CO2.LU.MT.CE.AR5",0,-2.0687
"115","YR2000","MAR","EN.GHG.CO2.LU.MT.CE.AR5",0,-2.3
"116","YR2000","MOZ","EN.GHG.CO2.LU.MT.CE.AR5",0,38.9564
"117","YR2000","MMR","EN.GHG.CO2.LU.MT.CE.AR5",0,52.0222
