"","Time","Country","Series","SCALE","Data"
"1","YR1970","ABW","EN.GHG.CH4.AG.MT.CE.AR5",0,0
"2","YR1970","ABW","EN.GHG.CH4.BU.MT.CE.AR5",0,0.0001
"3","YR1970","ABW","EN.GHG.CH4.FE.MT.CE.AR5",0,0.0001
"4","YR1970","ABW","EN.GHG.CH4.IC.MT.CE.AR5",0,0.0001
"5","YR1970","ABW","EN.GHG.CH4.PI.MT.CE.AR5",0,0
"6","YR1970","ABW","EN.GHG.CH4.TR.MT.CE.AR5",0,0
"7","YR1970","ABW","EN.GHG.CH4.WA.MT.CE.AR5",0,0.0105
"8","YR1970","ABW","EN.GHG.CO2.BU.MT.CE.AR5",0,0.0054
"9","YR1970","ABW","EN.GHG.CO2.FE.MT.CE.AR5",0,0
"10","YR1970","ABW","EN.GHG.CO2.IC.MT.CE.AR5",0,0.0002
"11","YR1970","ABW","EN.GHG.CO2.IP.MT.CE.AR5",0,0.0007
"12","YR1970","ABW","EN.GHG.CO2.PI.MT.CE.AR5",0,0.0173
"13","YR1970","ABW","EN.GHG.CO2.TR.MT.CE.AR5",0,0.0018
"14","YR1970","ABW","EN.GHG.ALL.MT.CE.AR5",0,0.037
"15","YR1970","ABW","EN.GHG.N2O.AG.MT.CE.AR5",0,0
"16","YR1970","ABW","EN.GHG.N2O.BU.MT.CE.AR5",0,0
"17","YR1970","ABW","EN.GHG.N2O.FE.MT.CE.AR5",0,0
"18","YR1970","ABW","EN.GHG.N2O.IC.MT.CE.AR5",0,0.0001
"19","YR1970","ABW","EN.GHG.N2O.IP.MT.CE.AR5",0,0.0002
"20","YR1970","ABW","EN.GHG.N2O.PI.MT.CE.AR5",0,0
"21","YR1970","ABW","EN.GHG.N2O.TR.MT.CE.AR5",0,0
"22","YR1970","ABW","EN.GHG.N2O.WA.MT.CE.AR5",0,0.0004
"23","YR1971","ABW","EN.GHG.CH4.AG.MT.CE.AR5",0,0
"24","YR1971","ABW","EN.GHG.CH4.BU.MT.CE.AR5",0,0.0001
"25","YR1971","ABW","EN.GHG.CH4.FE.MT.CE.AR5",0,0.0001
"26","YR1971","ABW","EN.GHG.CH4.IC.MT.CE.AR5",0,0.0001
"27","YR1971","ABW","EN.GHG.CH4.PI.MT.CE.AR5",0,0
"28","YR1971","ABW","EN.GHG.CH4.TR.MT.CE.AR5",0,0
"29","YR1971","ABW","EN.GHG.CH4.WA.MT.CE.AR5",0,0.0117
"30","YR1971","ABW","EN.GHG.CO2.BU.MT.CE.AR5",0,0.0062
"31","YR1971","ABW","EN.GHG.CO2.FE.MT.CE.AR5",0,0
"32","YR1971","ABW","EN.GHG.CO2.IC.MT.CE.AR5",0,0.0002
"33","YR1971","ABW","EN.GHG.CO2.IP.MT.CE.AR5",0,0.0007
"34","YR1971","ABW","EN.GHG.CO2.PI.MT.CE.AR5",0,0.0199
"35","YR1971","ABW","EN.GHG.CO2.TR.MT.CE.AR5",0,0.0021
"36","YR1971","ABW","EN.GHG.ALL.MT.CE.AR5",0,0.0418
"37","YR1971","ABW","EN.GHG.N2O.AG.MT.CE.AR5",0,0
"38","YR1971","ABW","EN.GHG.N2O.BU.MT.CE.AR5",0,0
"39","YR1971","ABW","EN.GHG.N2O.FE.MT.CE.AR5",0,0
"40","YR1971","ABW","EN.GHG.N2O.IC.MT.CE.AR5",0,0.0001
"41","YR1971","ABW","EN.GHG.N2O.IP.MT.CE.AR5",0,0.0002
"42","YR1971","ABW","EN.GHG.N2O.PI.MT.CE.AR5",0,0
"43","YR1971","ABW","EN.GHG.N2O.TR.MT.CE.AR5",0,0
