Nation,Year,CO2_emissions_ktCO2
WORLD,1751,3
WORLD,1752,3
WORLD,1753,3
WORLD,1754,3
WORLD,1755,3
WORLD,1756,3
WORLD,1757,3
WORLD,1758,3
WORLD,1759,3
WORLD,1760,3
WORLD,1761,3
WORLD,1762,3
WORLD,1763,3
WORLD,1764,3
WORLD,1765,3
WORLD,1766,3
WORLD,1767,3
WORLD,1768,3
WORLD,1769,3
WORLD,1770,3
WORLD,1771,4
WORLD,1772,4
WORLD,1773,4
WORLD,1774,4
WORLD,1775,4
WORLD,1776,4
WORLD,1777,4
WORLD,1778,4
WORLD,1779,4
WORLD,1780,4
WORLD,1781,5
WORLD,1782,5
WORLD,1783,5
WORLD,1784,5
WORLD,1785,5
WORLD,1786,5
WORLD,1787,5
WORLD,1788,5
WORLD,1789,5
WORLD,1790,5
WORLD,1791,6
WORLD,1792,6
WORLD,1793,6
WORLD,1794,6
WORLD,1795,6
WORLD,1796,6
WORLD,1797,7
WORLD,1798,7
WORLD,1799,7
WORLD,1800,8
WORLD,1801,8
WORLD,1802,10
WORLD,1803,9
WORLD,1804,9
WORLD,1805,9
WORLD,1806,10
WORLD,1807,10
WORLD,1808,10
WORLD,1809,10
WORLD,1810,10
WORLD,1811,11
WORLD,1812,11
WORLD,1813,11
WORLD,1814,11
WORLD,1815,12
WORLD,1816,13
WORLD,1817,14
WORLD,1818,14
WORLD,1819,14
WORLD,1820,14
WORLD,1821,14
WORLD,1822,15
WORLD,1823,16
WORLD,1824,16
WORLD,1825,17
WORLD,1826,17
WORLD,1827,18
WORLD,1828,18
WORLD,1829,18
WORLD,1830,24
WORLD,1831,23
WORLD,1832,23
WORLD,1833,24
WORLD,1834,24
WORLD,1835,25
WORLD,1836,29
WORLD,1837,29
WORLD,1838,30
WORLD,1839,31
WORLD,1840,33
WORLD,1841,34
WORLD,1842,36
WORLD,1843,37
WORLD,1844,39
WORLD,1845,43
WORLD,1846,43
WORLD,1847,46
WORLD,1848,47
WORLD,1849,50
WORLD,1850,54
WORLD,1851,54
WORLD,1852,57
WORLD,1853,59
WORLD,1854,69
WORLD,1855,71
WORLD,1856,76
WORLD,1857,77
WORLD,1858,78
WORLD,1859,83
WORLD,1860,91
WORLD,1861,95
WORLD,1862,97
WORLD,1863,104
WORLD,1864,112
WORLD,1865,119
WORLD,1866,122
WORLD,1867,130
WORLD,1868,135
WORLD,1869,142
WORLD,1870,147
WORLD,1871,156
WORLD,1872,173
WORLD,1873,184
WORLD,1874,174
WORLD,1875,188
WORLD,1876,191
WORLD,1877,194
WORLD,1878,196
WORLD,1879,210
WORLD,1880,236
WORLD,1881,243
WORLD,1882,256
WORLD,1883,272
WORLD,1884,275
WORLD,1885,277
WORLD,1886,281
WORLD,1887,295
WORLD,1888,327
WORLD,1889,327
WORLD,1890,356
WORLD,1891,372
WORLD,1892,374
WORLD,1893,370
WORLD,1894,383
WORLD,1895,406
WORLD,1896,419
WORLD,1897,440
WORLD,1898,465
WORLD,1899,507
WORLD,1900,534
WORLD,1901,552
WORLD,1902,566
WORLD,1903,617
WORLD,1904,624
WORLD,1905,663
WORLD,1906,707
WORLD,1907,784
WORLD,1908,750
WORLD,1909,785
WORLD,1910,819
WORLD,1911,836
WORLD,1912,879
WORLD,1913,943
WORLD,1914,850
WORLD,1915,838
WORLD,1916,901
WORLD,1917,955
WORLD,1918,936
WORLD,1919,806
WORLD,1920,932
WORLD,1921,803
WORLD,1922,845
WORLD,1923,970
WORLD,1924,963
WORLD,1925,975
WORLD,1926,983
WORLD,1927,1062
WORLD,1928,1065
WORLD,1929,1145
WORLD,1930,1053
WORLD,1931,940
WORLD,1932,847
WORLD,1933,893
WORLD,1934,973
WORLD,1935,1027
WORLD,1936,1130
WORLD,1937,1209
WORLD,1938,1142
WORLD,1939,1192
WORLD,1940,1299
WORLD,1941,1334
WORLD,1942,1342
WORLD,1943,1391
WORLD,1944,1383
WORLD,1945,1160
WORLD,1946,1238
WORLD,1947,1392
WORLD,1948,1469
WORLD,1949,1419
WORLD,1950,1630
WORLD,1951,1767
WORLD,1952,1795
WORLD,1953,1841
WORLD,1954,1865
WORLD,1955,2042
WORLD,1956,2177
WORLD,1957,2270
WORLD,1958,2330
WORLD,1959,2454
WORLD,1960,2569
WORLD,1961,2580
WORLD,1962,2686
WORLD,1963,2833
WORLD,1964,2995
WORLD,1965,3130
WORLD,1966,3288
WORLD,1967,3393
WORLD,1968,3566
WORLD,1969,3780
WORLD,1970,4053
WORLD,1971,4208
WORLD,1972,4376
WORLD,1973,4614
WORLD,1974,4623
WORLD,1975,4596
WORLD,1976,4864
WORLD,1977,5016
WORLD,1978,5074
WORLD,1979,5357
WORLD,1980,5301
WORLD,1981,5138
WORLD,1982,5094
WORLD,1983,5075
WORLD,1984,5258
WORLD,1985,5417
WORLD,1986,5583
WORLD,1987,5725
WORLD,1988,5936
WORLD,1989,6066
WORLD,1990,6074
WORLD,1991,6142
WORLD,1992,6078
WORLD,1993,6070
WORLD,1994,6174
WORLD,1995,6305
WORLD,1996,6448
WORLD,1997,6556
WORLD,1998,6576
WORLD,1999,6561
WORLD,2000,6733
WORLD,2001,6893
WORLD,2002,6994
WORLD,2003,7376
WORLD,2004,7743
WORLD,2005,8042
WORLD,2006,8336
WORLD,2007,8503
WORLD,2008,8776
WORLD,2009,8697
WORLD,2010,9128
WORLD,2011,9503
WORLD,2012,9673
WORLD,2013,9773
WORLD,2014,9855
