"","ISO3","year","value"
"1","AFG",1970,29.22856714297
"2","AFG",1971,29.22856714297
"3","AFG",1972,29.22856714297
"4","AFG",1973,29.22856714297
"5","AFG",1974,39.966660809679
"6","AFG",1975,45.309516866809
"7","AFG",1976,50.599992628773
"8","AFG",1977,61.442848371693
"9","AFG",1978,58.92856311455
"10","AFG",1979,55.471420885978
"11","AFG",1980,61.338085495393
"12","AFG",1981,47.299993000176
"13","AFG",1982,62.804751819194
"14","AFG",1983,60.395228981158
"15","AFG",1984,87.00474901937
"16","AFG",1985,87.738082409867
"17","AFG",1986,81.347605704921
"18","AFG",1987,88.680940409981
"19","AFG",1988,79.566653152486
"20","AFG",1989,79.776176847715
"21","AFG",1990,69.404749361913
"22","AFG",1991,68.461893190573
"23","AFG",1992,62.542846800113
"24","AFG",1993,62.857131428571
"25","AFG",1994,0
"26","AFG",1995,0
"27","AFG",1996,7.8571414285714
"28","AFG",1997,7.8571414285714
"29","AFG",1998,8.6428555714286
"30","AFG",1999,7.8571414285714
"31","AFG",2000,7.8571414285714
"32","AFG",2001,38.028566171611
"33","AFG",2002,32.685708342857
"34","AFG",2003,36.142850571429
"35","AFG",2004,40.857135428571
"36","AFG",2005,50.285708000314
"37","AFG",2006,0
"38","AFG",2007,0
"39","AFG",2008,0
"40","AFG",2009,0
"41","AFG",2010,0
"42","AFG",2011,0
"43","AFG",2012,62.857131428571
"44","AFG",2013,55.157132828571
"45","AFG",2014,84.49046090477
"46","AFG",2015,116.966645895294
"47","AFG",2016,162.799971085794
"48","AFG",2017,310.880896923924
"49","AFG",2018,160.914257485826
"50","AFG",2019,150.438069523994
"51","AFG",2020,64.795227495368
"52","AFG",2021,54.3609438153828
"53","AFG",2022,46.1614948773414
"54","ALB",1970,113.299999973691
"55","ALB",1971,113.299999973691
"56","ALB",1972,113.299999973691
"57","ALB",1973,113.299999973691
"58","ALB",1974,113.614285630834
"59","ALB",1975,112.514285602236
"60","ALB",1976,127.757140202263
"61","ALB",1977,135.14285314512
"62","ALB",1978,169.557132602263
"63","ALB",1979,167.985704316549
"64","ALB",1980,162.957133802263
"65","ALB",1981,170.499989573691
"66","ALB",1982,167.828561487977
"67","ALB",1983,172.857132573754
"68","ALB",1984,177.571418002389
"69","ALB",1985,177.571418002389
"70","ALB",1986,177.571418002389
