"","ISO3","year","value"
"1","AFG","2000",9.43107
"2","ALB","2000",1.4
"3","DZA","2000",-8.148
"4","AND","2000",0.141
"5","AGO","2000",40.062605
"6","ATG","2000",-0.0395732
"7","ARG","2000",84.96949
"8","ARM","2000",-2.00246
"9","AUS","2000",39.3828807957794
"10","AUT","2000",-16.7041401595123
"11","AZE","2000",-3.2869
"12","BHS","2000",-4.15961
"13","BHR","2000",-0.019
"14","BGD","2000",0.374253
"15","BRB","2000",-0.045
"16","BLR","2000",-34.6667642801996
"17","BEL","2000",-1.72913618172121
"18","BLZ","2000",-7.83999
"19","BEN","2000",-2.75451
"20","BTN","2000",-6.988165
"21","BOL","2000",40.7
"22","BIH","2000",-7.23141181818182
"23","BWA","2000",-2.821
"24","BRA","2000",1110.48
"25","BRN","2000",-2.5762
"26","BGR","2000",-18.1842652015381
"27","BFA","2000",33.756
"28","BDI","2000",-3.906
"29","CPV","2000",-0.229
"30","KHM","2000",71.49008
"31","CMR","2000",-76.602
"32","CAN","2000",-38.0062137702567
"33","CAF","2000",-228.971
"34","TCD","2000",-5.144
"35","CHL","2000",-73.3643
"36","CHN","2000",-803.000894262518
"37","COL","2000",102.97238
"38","COM","2000",-2.4
"39","COG","2000",-14.367
"40","COK","2000",-0.165
"41","CRI","2000",19
"42","CIV","2000",41.155938
"43","HRV","2000",-6.58469428106673
"44","CUB","2000",18.14008
"45","CYP","2000",-0.0769217451476003
"46","CZE","2000",-9.46233039924852
"47","PRK","2000",-16.781
"48","COD","2000",343.94999
"49","DNK","2000",4.86982231584901
"50","DJI","2000",-1.5
"51","DMA","2000",-0.1376
"52","DOM","2000",2.200494
"53","ECU","2000",41.15038112
"54","EGY","2000",NA
"55","SLV","2000",2.129357
"56","GNQ","2000",8.5529
"57","ERI","2000",-0.23
"58","EST","2000",-4.53744360255431
"59","ETH","2000",102.6486993
"60","FJI","2000",0.31
"61","FIN","2000",-18.5437505
"62","FRA","2000",-25.555640286666
"63","GAB","2000",-97.548
"64","GMB","2000",1.192
"65","GEO","2000",-5.0313
"66","DEU","2000",-11.9594915362638
"67","GHA","2000",12.74
"68","GRC","2000",-2.17591787496626
"69","GRD","2000",2e-04
"70","GTM","2000",-24.7393
"71","GIN","2000",33.6
"72","GNB","2000",-0.57
"73","GUY","2000",46.301251
"74","HTI","2000",1.1492
"75","HND","2000",-7.51276
"76","HUN","2000",-0.938795181021642
"77","ISL","2000",5.77137929512988
"78","IND","2000",-223
"79","IDN","2000",532.36
"80","IRN","2000",21.529
"81","IRQ","2000",NA
"82","IRL","2000",6.87972132917573
"83","ISR","2000",-0.286277124833333
"84","ITA","2000",-22.52198810721
