"","ISO3","year","value"
"1","ABW",1970,25.213788833574
"2","ABW",1971,28.8277519410684
"3","ABW",1972,39.4721083641915
"4","ABW",1973,44.2894393293368
"5","ABW",1974,43.4691473925455
"6","ABW",1975,57.3962737074055
"7","ABW",1976,56.4229100445289
"8","ABW",1977,67.0997631825121
"9","ABW",1978,71.936981372037
"10","ABW",1979,75.9190374959785
"11","ABW",1980,79.7996293732699
"12","ABW",1981,82.9222163051064
"13","ABW",1982,82.1651947000205
"14","ABW",1983,84.4633178911024
"15","ABW",1984,98.6289113204281
"16","ABW",1985,104.177530939139
"17","ABW",1986,113.781975637616
"18","ABW",1987,128.736675928771
"19","ABW",1988,142.889818813009
"20","ABW",1989,197.471822664191
"21","ABW",1990,189.326102750238
"22","ABW",1991,215.380097557207
"23","ABW",1992,238.992682079369
"24","ABW",1993,241.132263428168
"25","ABW",1994,266.496346205388
"26","ABW",1995,294.590738842069
"27","ABW",1996,194.072506217081
"28","ABW",1997,318.321530608129
"29","ABW",1998,325.822455360932
"30","ABW",1999,315.754504546375
"31","ABW",2000,246.084298233333
"32","ABW",2001,254.071672230597
"33","ABW",2002,272.610501593647
"34","ABW",2003,316.607969661926
"35","ABW",2004,326.958297657096
"36","ABW",2005,358.222681613735
"37","ABW",2006,385.569496551743
"38","ABW",2007,424.490754804323
"39","ABW",2008,420.771139173736
"40","ABW",2009,458.062745822306
"41","ABW",2010,450.067122206084
"42","ABW",2011,275.408989223049
"43","ABW",2012,368.54379684568
"44","ABW",2013,424.889796213758
"45","ABW",2014,435.250165513593
"46","ABW",2015,436.735938238541
"47","ABW",2016,453.740206771237
"48","ABW",2017,426.842069584727
"49","ABW",2018,461.101330953433
"50","ABW",2019,533.847579799515
"51","ABW",2020,453.586967128235
"52","ABW",2021,437.952664808435
"53","ABW",2022,455.064864049874
"54","AFG",1970,1734.05300659516
"55","AFG",1971,1733.84239795472
"56","AFG",1972,1693.67236723076
"57","AFG",1973,1733.88286913112
"58","AFG",1974,2190.25389238761
"59","AFG",1975,2028.87774894015
"60","AFG",1976,1892.59145227714
"61","AFG",1977,2282.42878902446
"62","AFG",1978,1933.97396956054
"63","AFG",1979,2059.18025784918
"64","AFG",1980,2006.28266753926
"65","AFG",1981,2259.79283830517
"66","AFG",1982,2309.46064804272
"67","AFG",1983,3001.54718828667
"68","AFG",1984,3224.53016652492
"69","AFG",1985,4123.17919426947
"70","AFG",1986,3941.43563131507
"71","AFG",1987,3272.64426643542
"72","AFG",1988,3087.81022449845
"73","AFG",1989,2895.93972282421
"74","AFG",1990,2896.48988058708
"75","AFG",1991,2766.34713204113
"76","AFG",1992,1682.61799369426
"77","AFG",1993,1608.27784939794
"78","AFG",1994,1535.77333867581
"79","AFG",1995,1359.50899731682
"80","AFG",1996,1331.66748459765
"81","AFG",1997,1315.42126671906
"82","AFG",1998,1325.81430119516
"83","AFG",1999,1283.22665560705
"84","AFG",2000,1071.216778497
"85","AFG",2001,988.309920815685
"86","AFG",2002,972.880800751587
"87","AFG",2003,1058.75292924932
"88","AFG",2004,939.16570042275
"89","AFG",2005,1333.83315249325
"90","AFG",2006,1477.35536244971
"91","AFG",2007,2063.58193761513
"92","AFG",2008,4029.58132318094
"93","AFG",2009,6486.43434256028
"94","AFG",2010,8086.28213850529
"95","AFG",2011,11800.6143534929
"96","AFG",2012,10176.5865063547
"97","AFG",2013,8691.0740701053
"98","AFG",2014,8279.68638893383
"99","AFG",2015,8719.59483875461
"100","AFG",2016,7937.2683070915
"101","AFG",2017,8546.88754272976
"102","AFG",2018,8128.9043134764
"103","AFG",2019,7447.90223965827
"104","AFG",2020,5468.68100144726
"105","AFG",2021,5639.21436852259
"106","AFG",2022,5675.77065906598
"107","AGO",1970,8948.15299213667
"108","AGO",1971,8533.77871835224
"109","AGO",1972,10383.7037349777
"110","AGO",1973,11367.3274311326
"111","AGO",1974,11827.8564649853
"112","AGO",1975,10924.0992820541
"113","AGO",1976,7310.83303801891
"114","AGO",1977,12051.0762069936
"115","AGO",1978,14232.4047142616
"116","AGO",1979,14197.3560953178
"117","AGO",1980,14334.6640016696
"118","AGO",1981,13248.203790239
"119","AGO",1982,12787.5175542681
"120","AGO",1983,13243.2397461148
"121","AGO",1984,13381.6828953444
"122","AGO",1985,14132.2417641517
