"","ISO3","year","value"
"1","AFG",1970,10531.3663788817
"2","AFG",1971,10470.3756123315
"3","AFG",1972,8952.20565021261
"4","AFG",1973,9336.03145974205
"5","AFG",1974,9894.79277202335
"6","AFG",1975,10504.3863482419
"7","AFG",1976,10664.3941161469
"8","AFG",1977,10429.882087371
"9","AFG",1978,10349.5343662773
"10","AFG",1979,10111.833526825
"11","AFG",1980,9987.05895736951
"12","AFG",1981,9911.26956293486
"13","AFG",1982,9816.27110419904
"14","AFG",1983,9191.81945678816
"15","AFG",1984,8007.45702051187
"16","AFG",1985,7114.0412190457
"17","AFG",1986,5899.81072919585
"18","AFG",1987,6395.58086859467
"19","AFG",1988,6779.59261376949
"20","AFG",1989,6655.78937918212
"21","AFG",1990,6741.46624365001
"22","AFG",1991,6802.21912828658
"23","AFG",1992,6880.18311286641
"24","AFG",1993,6946.3932188158
"25","AFG",1994,7172.91371972699
"26","AFG",1995,7459.29678058213
"27","AFG",1996,8481.23866388308
"28","AFG",1997,9272.52149834809
"29","AFG",1998,9840.63522651348
"30","AFG",1999,10582.7985006292
"31","AFG",2000,9087.38191962219
"32","AFG",2001,7587.49221217501
"33","AFG",2002,9690.46112478417
"34","AFG",2003,9999.32522864473
"35","AFG",2004,9999.50014293775
"36","AFG",2005,9661.08446736325
"37","AFG",2006,9679.74109915304
"38","AFG",2007,9968.28821917004
"39","AFG",2008,10994.1336950511
"40","AFG",2009,11343.7866273537
"41","AFG",2010,12921.6900868498
"42","AFG",2011,12849.5740862049
"43","AFG",2012,12401.5361227472
"44","AFG",2013,12170.2999726153
"45","AFG",2014,12472.4554247351
"46","AFG",2015,11892.1105788011
"47","AFG",2016,11541.3597575589
"48","AFG",2017,11197.6117548996
"49","AFG",2018,11468.7733753522
"50","AFG",2019,11122.957056755
"51","AFG",2020,11673.6585997098
"52","AFG",2021,11637.0154904273
"53","AFG",2022,11589.6840499853
"54","AGO",1970,3145.73181372668
"55","AGO",1971,3337.95190325416
"56","AGO",1972,3397.69221312245
"57","AGO",1973,3428.93247297679
"58","AGO",1974,3414.00608735313
"59","AGO",1975,3441.20739047823
"60","AGO",1976,3279.23970923721
"61","AGO",1977,3347.72051196087
"62","AGO",1978,3448.7623515516
"63","AGO",1979,3569.74795394755
"64","AGO",1980,3686.13922121862
"65","AGO",1981,3732.35520906555
"66","AGO",1982,3788.08441345762
"67","AGO",1983,3833.83265250489
"68","AGO",1984,3889.24253443592
"69","AGO",1985,3931.14612924658
"70","AGO",1986,3989.11800385295
"71","AGO",1987,3870.35778899147
"72","AGO",1988,3765.11803608994
