"","ISO3","year","value"
"1","ALB",1970,5.4541102
"2","ALB",1971,4.78048648
"3","ALB",1972,4.73539836
"4","ALB",1973,5.73731004
"5","ALB",1974,5.85425764
"6","ALB",1975,3.34439336
"7","ALB",1976,3.619
"8","ALB",1977,3.62625956
"9","ALB",1978,2.938944316
"10","ALB",1979,3.9599406
"11","ALB",1980,3.46287228
"12","ALB",1981,3.3005576408
"13","ALB",1982,1.860275228
"14","ALB",1983,0.567647304
"15","ALB",1984,1.370482232
"16","ALB",1985,1.570665488
"17","ALB",1986,1.5344
"18","ALB",1987,1.5344
"19","ALB",1988,1.5344
"20","ALB",1989,1.575
"21","ALB",1990,1.5652
"22","ALB",1991,1.05721
"23","ALB",1992,0.66682
"24","ALB",1993,1.09648
"25","ALB",1994,1.0399312
"26","ALB",1995,1.3239688
"27","ALB",1996,0.9606212
"28","ALB",1997,0.9461914
"29","ALB",1998,0.9317616
"30","ALB",1999,0.866096
"31","ALB",2000,0.385
"32","ALB",2001,0.36652
"33","ALB",2002,0.68068
"34","ALB",2003,1.16424
"35","ALB",2004,1.06722
"36","ALB",2005,1.05952
"37","ALB",2006,0.524832
"38","ALB",2007,0
"39","ALB",2008,0.3670128
"40","ALB",2009,0.2327248
"41","ALB",2010,0.7155764
"42","ALB",2011,0.8837752
"43","ALB",2012,0.7397544
"44","ALB",2013,0.760452
"45","ALB",2014,1.0748276
"46","ALB",2015,1.3450052
"47","ALB",2016,1.3721708
"48","ALB",2017,1.8233292
"49","ALB",2018,2.1251384
"50","ALB",2019,2.1252
"51","ALB",2020,1.71364693232132
"52","ALB",2021,3.31892473118276
"53","ALB",2022,3.31892473118276
"54","ARE",1970,0
"55","ARE",1971,0
"56","ARE",1972,0
"57","ARE",1973,0
"58","ARE",1974,0
"59","ARE",1975,0
"60","ARE",1976,0
"61","ARE",1977,0
"62","ARE",1978,0
"63","ARE",1979,0
"64","ARE",1980,0
"65","ARE",1981,0
"66","ARE",1982,0
"67","ARE",1983,0
"68","ARE",1984,0
"69","ARE",1985,0
"70","ARE",1986,0
"71","ARE",1987,0
"72","ARE",1988,0
"73","ARE",1989,0
"74","ARE",1990,0
"75","ARE",1991,0
"76","ARE",1992,0
"77","ARE",1993,0
"78","ARE",1994,0
"79","ARE",1995,0.924
"80","ARE",1996,1.924999692
"81","ARE",1997,2.926000308
"82","ARE",1998,3.927
"83","ARE",1999,4.927999692
"84","ARE",2000,5.929000308
"85","ARE",2001,6.93
"86","ARE",2002,7.930999692
"87","ARE",2003,8.932000308
"88","ARE",2004,9.933
"89","ARE",2005,10.933999692
"90","ARE",2006,11.935000308
"91","ARE",2007,12.936
"92","ARE",2008,13.936999692
"93","ARE",2009,14.938000308
"94","ARE",2010,15.939
"95","ARE",2011,16.939999692
"96","ARE",2012,17.941000308
"97","ARE",2013,18.942
"98","ARE",2014,18.942
"99","ARE",2015,18.942
"100","ARE",2016,18.942
"101","ARE",2017,18.942
"102","ARE",2018,18.942
"103","ARE",2019,18.942
"104","ARE",2020,19.7300030632113
"105","ARE",2021,21.6837814627476
"106","ARE",2022,23.0348712142013
"107","ARG",1970,18.32682526392
"108","ARG",1971,16.78431047192
"109","ARG",1972,18.8976256837707
"110","ARG",1973,18.2806366113686
"111","ARG",1974,16.0068890943343
"112","ARG",1975,14.8009731520246
"113","ARG",1976,16.3466947324576
"114","ARG",1977,16.2662894544993
"115","ARG",1978,15.2778957543344
"116","ARG",1979,16.1822224398282
"117","ARG",1980,13.2877684690761
"118","ARG",1981,12.7155837008455
"119","ARG",1982,10.347763192807
"120","ARG",1983,10.4108802385462
"121","ARG",1984,11.588457938078
"122","ARG",1985,11.4862545970234
"123","ARG",1986,12.333468407423
"124","ARG",1987,12.4755189207648
"125","ARG",1988,12.1238063301219
"126","ARG",1989,13.9716585226336
"127","ARG",1990,16.5776260648639
"128","ARG",1991,14.3312835753895
"129","ARG",1992,12.4324411264472
"130","ARG",1993,12.4775724440931
"131","ARG",1994,14.4097543277766
"132","ARG",1995,13.8258643095868
"133","ARG",1996,11.9177901965951
"134","ARG",1997,12.6343474060101
"135","ARG",1998,12.0873434844532
"136","ARG",1999,11.9387908919972
"137","ARG",2000,12.7197395113572
"138","ARG",2001,13.87180402468
"139","ARG",2002,22.68675533096
"140","ARG",2003,43.41923187448
"141","ARG",2004,43.36062817604
"142","ARG",2005,41.63727437604
"143","ARG",2006,39.67060866468
"144","ARG",2007,38.5633886792
"145","ARG",2008,39.57838727136
"146","ARG",2009,34.0282325698
"147","ARG",2010,40.17258346136
"148","ARG",2011,40.58841965136
"149","ARG",2012,40.69660856436
"150","ARG",2013,37.4718943242
"151","ARG",2014,40.87189169056
"152","ARG",2015,41.7434708302433
"153","ARG",2016,39.5293587172705
"154","ARG",2017,34.3416557392194
"155","ARG",2018,43.7875233885449
"156","ARG",2019,42.922341481712
"157","ARG",2020,40.8036381436628
"158","ARG",2021,34.1217387695439
"159","ARG",2022,34.2463368092065
"160","ARM",1970,0
"161","ARM",1971,0
"162","ARM",1972,0
"163","ARM",1973,0
"164","ARM",1974,0
"165","ARM",1975,0
