"","ISO3","year","value"
"1","ABW",1970,17.9656358190086
"2","ABW",1971,19.1345943919059
"3","ABW",1972,19.2440061633523
"4","ABW",1973,19.3798542204307
"5","ABW",1974,19.4456280942071
"6","ABW",1975,19.473541285176
"7","ABW",1976,19.4564319959119
"8","ABW",1977,19.3915205923223
"9","ABW",1978,19.2953360791551
"10","ABW",1979,19.2564522982986
"11","ABW",1980,19.2471229248232
"12","ABW",1981,19.384901670183
"13","ABW",1982,19.6244011907652
"14","ABW",1983,19.8745887273012
"15","ABW",1984,20.1156895983973
"16","ABW",1985,20.187904191012
"17","ABW",1986,20.0982019999609
"18","ABW",1987,19.8427225459052
"19","ABW",1988,19.6405370614487
"20","ABW",1989,19.7143599148806
"21","ABW",1990,20.4760907642748
"22","ABW",1991,21.4696908939759
"23","ABW",1992,22.3614240789172
"24","ABW",1993,23.5903711210226
"25","ABW",1994,24.8827245564627
"26","ABW",1995,25.8881507002001
"27","ABW",1996,26.2388580624134
"28","ABW",1997,27.2342237320065
"29","ABW",1998,27.6328682005316
"30","ABW",1999,27.9128561031194
"31","ABW",2000,79.8138382292411
"32","ABW",2001,80.0972263236793
"33","ABW",2002,80.4539955080026
"34","ABW",2003,84.6502452427991
"35","ABW",2004,91.5762156586413
"36","ABW",2005,92.2677790530039
"37","ABW",2006,64.4332313024689
"38","ABW",2007,65.3441730548571
"39","ABW",2008,61.6489420501263
"40","ABW",2009,57.9742513292801
"41","ABW",2010,47.4640511926674
"42","ABW",2011,53.7804691270314
"43","ABW",2012,33.8026658014605
"44","ABW",2013,30.9773921821327
"45","ABW",2014,31.570206240145
"46","ABW",2015,31.5111800202136
"47","ABW",2016,31.7824793808909
"48","ABW",2017,31.9535616812684
"49","ABW",2018,32.2752662633153
"50","ABW",2019,32.4406560100331
"51","ABW",2020,32.5022392538678
"52","ABW",2021,32.7315840163781
"53","ABW",2022,32.8971379914796
"54","AFG",1970,12888.0970956856
"55","AFG",1971,12874.3728594205
"56","AFG",1972,11476.7006505697
"57","AFG",1973,11873.9319699473
"58","AFG",1974,12524.2349148741
"59","AFG",1975,13189.2556294622
"60","AFG",1976,13258.1214416114
"61","AFG",1977,13057.6633810679
"62","AFG",1978,12981.3684818957
"63","AFG",1979,12714.9729975097
"64","AFG",1980,12741.2728896787
"65","AFG",1981,12608.0990113641
"66","AFG",1982,12446.4023622896
"67","AFG",1983,11821.9101254504
"68","AFG",1984,10651.9644623754
"69","AFG",1985,9842.69436182438
"70","AFG",1986,8611.81705278575
"71","AFG",1987,8745.5943593331
"72","AFG",1988,9022.38893039875
"73","AFG",1989,8517.52931296595
"74","AFG",1990,8645.74821190434
"75","AFG",1991,8798.74169151763
"76","AFG",1992,8956.92153279214
"77","AFG",1993,9167.41533970479
"78","AFG",1994,9548.45683691537
"79","AFG",1995,10004.8628730323
"80","AFG",1996,11156.7067281931
"81","AFG",1997,12040.0874747836
"82","AFG",1998,12690.4411998014
"83","AFG",1999,13519.2762254271
"84","AFG",2000,12142.8526532217
"85","AFG",2001,10754.0818488757
"86","AFG",2002,13025.5520198487
"87","AFG",2003,13472.4570439713
"88","AFG",2004,13612.8987801921
"89","AFG",2005,13447.9472528007
"90","AFG",2006,13581.6151216746
"91","AFG",2007,14105.4461188744
"92","AFG",2008,15306.4234007023
"93","AFG",2009,15842.1995190625
"94","AFG",2010,17726.942507627
"95","AFG",2011,18164.4985221815
"96","AFG",2012,17770.2326594
"97","AFG",2013,17761.5392001969
"98","AFG",2014,18295.0368685474
"99","AFG",2015,17774.1892006871
"100","AFG",2016,17717.9127526066
"101","AFG",2017,17743.8746293562
"102","AFG",2018,18259.2963210911
"103","AFG",2019,17899.8684890101
"104","AFG",2020,17821.428195951
"105","AFG",2021,18385.7099118492
"106","AFG",2022,18445.9058333068
"107","AGO",1970,9276.81993586386
"108","AGO",1971,9480.37879912194
"109","AGO",1972,10227.2984216233
"110","AGO",1973,10830.689336306
"111","AGO",1974,11034.7768885097
"112","AGO",1975,10748.0423844377
"113","AGO",1976,10528.0338349438
"114","AGO",1977,10420.34924888
"115","AGO",1978,10310.9180681444
"116","AGO",1979,10860.1857082242
"117","AGO",1980,11168.7924970696
"118","AGO",1981,10814.7962273589
"119","AGO",1982,10788.4022249948
"120","AGO",1983,12156.3607773885
"121","AGO",1984,13029.8958040065
"122","AGO",1985,13723.3963468861
"123","AGO",1986,15085.7507096223
"124","AGO",1987,16922.822577619
"125","AGO",1988,19112.8257498645
"126","AGO",1989,19181.7211998636
"127","AGO",1990,19878.9864701515
"128","AGO",1991,19329.0322085404
"129","AGO",1992,18020.7908262932
"130","AGO",1993,21600.3203718455
"131","AGO",1994,32635.5832122136
"132","AGO",1995,38150.1252136185
"133","AGO",1996,45680.6178144409
"134","AGO",1997,47751.4686323385
"135","AGO",1998,51708.4362347464
"136","AGO",1999,51671.3177193915
"137","AGO",2000,48562.9886133482
"138","AGO",2001,46587.5058389672
"139","AGO",2002,45925.8998617419
"140","AGO",2003,44747.9525092352
"141","AGO",2004,50064.5229455777
"142","AGO",2005,50803.28940352
"143","AGO",2006,43487.7116399892
"144","AGO",2007,42168.8900033541
"145","AGO",2008,43996.2039912687
"146","AGO",2009,43190.4044621606
"147","AGO",2010,48030.5126742694
"148","AGO",2011,45798.0792796317
"149","AGO",2012,46920.1745354214
"150","AGO",2013,47658.8443634432
"151","AGO",2014,47157.8544917229
"152","AGO",2015,49532.1265792991
"153","AGO",2016,48596.6500402439
"154","AGO",2017,47811.0296457092
"155","AGO",2018,45693.1790451125
"156","AGO",2019,44210.0480619905
"157","AGO",2020,43077.6924152888
"158","AGO",2021,40292.1756417307
"159","AGO",2022,38573.8245528429
"160","ALB",1970,2617.7491940112
"161","ALB",1971,2580.23188076208
"162","ALB",1972,2816.86556349043
"163","ALB",1973,2869.28131173279
"164","ALB",1974,2758.51218559027
"165","ALB",1975,2862.32304960304
"166","ALB",1976,3019.03907813992
"167","ALB",1977,3110.0485409164
"168","ALB",1978,3350.33481037763
"169","ALB",1979,3370.66787918204
"170","ALB",1980,3432.24945248495
"171","ALB",1981,3431.99365324046
"172","ALB",1982,3848.58589506515
"173","ALB",1983,4127.03602858527
"174","ALB",1984,3795.15301874241
"175","ALB",1985,3741.19154830684
"176","ALB",1986,3857.5322717077
"177","ALB",1987,4009.90104306396
"178","ALB",1988,3968.05538436595
"179","ALB",1989,4070.18050044838
"180","ALB",1990,3626.85332998898
"181","ALB",1991,3688.42687814242
"182","ALB",1992,2931.00482479851
"183","ALB",1993,3058.74713215776
"184","ALB",1994,3478.19980878256
"185","ALB",1995,3440.22826373479
"186","ALB",1996,3255.05376933226
"187","ALB",1997,3041.16382315468
"188","ALB",1998,2920.54334124168
"189","ALB",1999,2953.34441235344
"190","ALB",2000,2989.88416163996
"191","ALB",2001,2959.90980601242
"192","ALB",2002,2951.04653854782
"193","ALB",2003,2968.55723067449
"194","ALB",2004,2908.85769208462
"195","ALB",2005,2868.01390902668
"196","ALB",2006,2859.78893851714
"197","ALB",2007,2755.47637696131
"198","ALB",2008,2642.98396766558
"199","ALB",2009,2552.65536341266
"200","ALB",2010,2584.84751806276
"201","ALB",2011,2559.25944371452
"202","ALB",2012,2629.14365059124
"203","ALB",2013,2701.26825166163
"204","ALB",2014,2772.90793351441
"205","ALB",2015,2815.01036672066
"206","ALB",2016,2771.23980106268
"207","ALB",2017,2766.11066831859
"208","ALB",2018,2784.37636705749
"209","ALB",2019,2581.35588667685
"210","ALB",2020,2416.54155622856
