"","ISO3","year","value"
"1","AUS",1970,16.8
"2","AUS",1971,16.8
"3","AUS",1972,16.8
"4","AUS",1973,16.8
"5","AUS",1974,16.8
"6","AUS",1975,16.8
"7","AUS",1976,16.8
"8","AUS",1977,16.8
"9","AUS",1978,16.8
"10","AUS",1979,16.8
"11","AUS",1980,16.8
"12","AUS",1981,16.8
"13","AUS",1982,16.8
"14","AUS",1983,16.8
"15","AUS",1984,16.8
"16","AUS",1985,16.8
"17","AUS",1986,16.8
"18","AUS",1987,16.8
"19","AUS",1988,16.8
"20","AUS",1989,16.8
"21","AUS",1990,16.8
"22","AUS",1991,16.8
"23","AUS",1992,16.8
"24","AUS",1993,16.8
"25","AUS",1994,16.8
"26","AUS",1995,16.8
"27","AUS",1996,16.8
"28","AUS",1997,16.8
"29","AUS",1998,16.8
"30","AUS",1999,16.8
"31","AUS",2000,16.8
"32","AUS",2001,16.8
"33","AUS",2002,16.8
"34","AUS",2003,16.8
"35","AUS",2004,16.8
"36","AUS",2005,16.8
"37","AUS",2006,16.8
"38","AUS",2007,16.8
"39","AUS",2008,16.8
"40","AUS",2009,16.8
"41","AUS",2010,16.8
"42","AUS",2011,16.8
"43","AUS",2012,16.8
"44","AUS",2013,16.8
"45","AUS",2014,16.8
"46","AUS",2015,16.8
"47","AUS",2016,16.8
"48","AUS",2017,16.8
"49","AUS",2018,16.8
"50","AUS",2019,16.8
"51","AUS",2020,16.8
"52","AUS",2021,16.8
"53","AUS",2022,16.8
"54","CHN",1970,2520
"55","CHN",1971,2520
"56","CHN",1972,2520
"57","CHN",1973,2520
"58","CHN",1974,2520
"59","CHN",1975,2520
"60","CHN",1976,2520
"61","CHN",1977,2520
"62","CHN",1978,2520
"63","CHN",1979,2520
"64","CHN",1980,2520
"65","CHN",1981,2520
"66","CHN",1982,2520
"67","CHN",1983,2520
"68","CHN",1984,2520
"69","CHN",1985,2520
"70","CHN",1986,2520
"71","CHN",1987,2520
"72","CHN",1988,2520
"73","CHN",1989,2520
"74","CHN",1990,2520
"75","CHN",1991,2520
"76","CHN",1992,2520
"77","CHN",1993,2520
"78","CHN",1994,2520
"79","CHN",1995,2520
"80","CHN",1996,2520
"81","CHN",1997,2520
"82","CHN",1998,2520
"83","CHN",1999,2520
"84","CHN",2000,2520
"85","CHN",2001,2520
"86","CHN",2002,2520
"87","CHN",2003,2520
"88","CHN",2004,2520
"89","CHN",2005,2520
"90","CHN",2006,2520
"91","CHN",2007,2520
"92","CHN",2008,2520
"93","CHN",2009,2520
"94","CHN",2010,2520
"95","CHN",2011,2520
"96","CHN",2012,2520
"97","CHN",2013,2520
"98","CHN",2014,2520
"99","CHN",2015,2520
"100","CHN",2016,2520
"101","CHN",2017,2520
"102","CHN",2018,2520
"103","CHN",2019,2520
"104","CHN",2020,2520
"105","CHN",2021,2520
"106","CHN",2022,2520
"107","IND",1970,1103.76
"108","IND",1971,1113.84
"109","IND",1972,1123.92
"110","IND",1973,1134
"111","IND",1974,1144.08
"112","IND",1975,1154.16
"113","IND",1976,1164.24
"114","IND",1977,1174.32
"115","IND",1978,1184.4
"116","IND",1979,1194.48
"117","IND",1980,1204.56
"118","IND",1981,1214.64
"119","IND",1982,1224.72
"120","IND",1983,1260
"121","IND",1984,1260
"122","IND",1985,1260
"123","IND",1986,1260
"124","IND",1987,1260
"125","IND",1988,1260
"126","IND",1989,1260
"127","IND",1990,1260
"128","IND",1991,1260
"129","IND",1992,1260
"130","IND",1993,1260
"131","IND",1994,1260
"132","IND",1995,1260
"133","IND",1996,1260
"134","IND",1997,1260
"135","IND",1998,1260
"136","IND",1999,1260
"137","IND",2000,1260
"138","IND",2001,1260
"139","IND",2002,1260
"140","IND",2003,1260
"141","IND",2004,1260
"142","IND",2005,1260
"143","IND",2006,1260
"144","IND",2007,1260
"145","IND",2008,1260
"146","IND",2009,1260
"147","IND",2010,1260
"148","IND",2011,1260
"149","IND",2012,1260
"150","IND",2013,1260
"151","IND",2014,1260
"152","IND",2015,1260
"153","IND",2016,1260
"154","IND",2017,1260
"155","IND",2018,1260
"156","IND",2019,1260
"157","IND",2020,1260
"158","IND",2021,1260
"159","IND",2022,1260
"160","KWT",1970,0
"161","KWT",1971,0
"162","KWT",1972,0
"163","KWT",1973,0
"164","KWT",1974,0
"165","KWT",1975,0
"166","KWT",1976,0
"167","KWT",1977,0
"168","KWT",1978,0
"169","KWT",1979,0
"170","KWT",1980,0
"171","KWT",1981,0
"172","KWT",1982,0
"173","KWT",1983,0
"174","KWT",1984,0
"175","KWT",1985,0
"176","KWT",1986,0
"177","KWT",1987,0
"178","KWT",1988,0
"179","KWT",1989,0
"180","KWT",1990,0
"181","KWT",1991,528.49507735584
"182","KWT",1992,0
"183","KWT",1993,0
"184","KWT",1994,0
"185","KWT",1995,0
"186","KWT",1996,0
"187","KWT",1997,0
"188","KWT",1998,0
"189","KWT",1999,0
"190","KWT",2000,0
