"","ISO3","year","value"
"1","AFG",1970,12998.3516185239
"2","AFG",1971,12900.4927849257
"3","AFG",1972,10855.9652853435
"4","AFG",1973,11421.4600425208
"5","AFG",1974,12183.9587210409
"6","AFG",1975,12992.0214920065
"7","AFG",1976,13230.6326921422
"8","AFG",1977,12969.9514268453
"9","AFG",1978,12853.5587194334
"10","AFG",1979,12542.315923295
"11","AFG",1980,12458.5987613648
"12","AFG",1981,12335.2150601911
"13","AFG",1982,12308.8044226422
"14","AFG",1983,11536.588857084
"15","AFG",1984,10261.3922910855
"16","AFG",1985,9188.96859196408
"17","AFG",1986,7652.40247219237
"18","AFG",1987,8295.38080762792
"19","AFG",1988,8745.07019727014
"20","AFG",1989,8612.12936464826
"21","AFG",1990,8650.36298998941
"22","AFG",1991,8762.93092156296
"23","AFG",1992,8805.1973468528
"24","AFG",1993,8892.10293761798
"25","AFG",1994,8884.40439352987
"26","AFG",1995,9255.50237865528
"27","AFG",1996,10479.3750279589
"28","AFG",1997,11474.0690429502
"29","AFG",1998,12217.5944237052
"30","AFG",1999,13182.24408678
"31","AFG",2000,11326.1024716732
"32","AFG",2001,9611.20010466516
"33","AFG",2002,12059.3940016467
"34","AFG",2003,12458.727707436
"35","AFG",2004,12447.079127657
"36","AFG",2005,12222.2420344696
"37","AFG",2006,12146.2728065637
"38","AFG",2007,12440.3048137033
"39","AFG",2008,13698.694717376
"40","AFG",2009,14201.3963386392
"41","AFG",2010,16111.2682128502
"42","AFG",2011,16084.2330785977
"43","AFG",2012,15711.9436039547
"44","AFG",2013,15404.1304232358
"45","AFG",2014,15884.7575278974
"46","AFG",2015,15353.0896186405
"47","AFG",2016,15179.4207554899
"48","AFG",2017,15464.6786984229
"49","AFG",2018,15058.0944795567
"50","AFG",2019,14568.7097239621
"51","AFG",2020,14919.6906249138
"52","AFG",2021,14822.4887434732
"53","AFG",2022,14746.252314871
"54","AGO",1970,4340.84365552436
"55","AGO",1971,4618.51685603936
"56","AGO",1972,4711.76526279331
"57","AGO",1973,4765.87265059745
"58","AGO",1974,4770.03777599285
"59","AGO",1975,4821.41257031166
"60","AGO",1976,4582.27996055348
"61","AGO",1977,4671.5643195136
"62","AGO",1978,4818.02453017718
"63","AGO",1979,4987.18462150822
"64","AGO",1980,5146.2627926159
"65","AGO",1981,5214.5568992943
"66","AGO",1982,5294.93280310484
"67","AGO",1983,5366.36396005943
"68","AGO",1984,5446.9355905308
"69","AGO",1985,5512.37022116448
"70","AGO",1986,5596.99814688456
"71","AGO",1987,5443.57091616272
"72","AGO",1988,5299.59940286706
"73","AGO",1989,5162.6062601879
"74","AGO",1990,5133.20789769742
"75","AGO",1991,5321.00625689267
"76","AGO",1992,5524.18988495154
"77","AGO",1993,5466.00314636658
"78","AGO",1994,5469.87203359928
"79","AGO",1995,5523.11466007771
"80","AGO",1996,6029.01302239215
"81","AGO",1997,6434.92651393696
"82","AGO",1998,7010.66461695434
"83","AGO",1999,7018.34928784436
"84","AGO",2000,7268.71674517247
"85","AGO",2001,7294.21184991328
"86","AGO",2002,7226.55998030112
"87","AGO",2003,7162.19006309538
"88","AGO",2004,7050.341914105
"89","AGO",2005,7654.69165281758
"90","AGO",2006,7820.25427744224
"91","AGO",2007,8049.92191455334
"92","AGO",2008,8250.31746152672
"93","AGO",2009,8559.11999618806
"94","AGO",2010,8807.40129106006
"95","AGO",2011,9076.04718356759
"96","AGO",2012,9206.63471778691
"97","AGO",2013,9593.43534145293
"98","AGO",2014,9817.02410223021
"99","AGO",2015,10081.291419518
"100","AGO",2016,10166.3742381631
"101","AGO",2017,10202.1413323515
"102","AGO",2018,10330.8563513631
"103","AGO",2019,10380.777759979
"104","AGO",2020,10537.7468157595
"105","AGO",2021,10627.0222251486
