"","ISO3","year","value"
"1","ABW",1970,0.51358773099811
"2","ABW",1971,0.51896665066206
"3","ABW",1972,0.5274837215677
"4","ABW",1973,0.5466302826376
"5","ABW",1974,0.55657992110073
"6","ABW",1975,0.58247298408115
"7","ABW",1976,0.60171708273223
"8","ABW",1977,0.61729680292669
"9","ABW",1978,0.62894758087696
"10","ABW",1979,0.64760133476191
"11","ABW",1980,0.66343203740058
"12","ABW",1981,0.67033372079039
"13","ABW",1982,0.70596443140538
"14","ABW",1983,0.77552392618212
"15","ABW",1984,0.76008940543784
"16","ABW",1985,0.85521064358413
"17","ABW",1986,0.80915959528653
"18","ABW",1987,0.88784453744152
"19","ABW",1988,0.81264689653
"20","ABW",1989,0.9087973843169
"21","ABW",1990,0.92370572521203
"22","ABW",1991,1.0895112906297
"23","ABW",1992,1.1388126683755
"24","ABW",1993,1.2258223474638
"25","ABW",1994,1.3101059110265
"26","ABW",1995,1.2589729037436
"27","ABW",1996,1.1376789767316
"28","ABW",1997,1.3332017048286
"29","ABW",1998,1.3613599802614
"30","ABW",1999,1.3989804659691
"31","ABW",2000,1.1526854727987
"32","ABW",2001,1.1899238887582
"33","ABW",2002,1.1787020322576
"34","ABW",2003,1.2461822888101
"35","ABW",2004,1.2591639873969
"36","ABW",2005,1.5043450752455
"37","ABW",2006,1.5858379053021
"38","ABW",2007,1.6182627051386
"39","ABW",2008,1.5898284193146
"40","ABW",2009,1.8269604746076
"41","ABW",2010,1.7638077758141
"42","ABW",2011,1.3203275720136
"43","ABW",2012,1.9023402436948
"44","ABW",2013,2.02888698375188
"45","ABW",2014,2.13392696712594
"46","ABW",2015,2.19072326154654
"47","ABW",2016,2.25325459053275
"48","ABW",2017,2.15601915932119
"49","ABW",2018,2.12099860229661
"50","ABW",2019,2.34345730062661
"51","ABW",2020,2.15039698997009
"52","ABW",2021,2.14248792627716
"53","ABW",2022,2.1341133848879
"54","AFG",1970,170.872514496922
"55","AFG",1971,162.382399219274
"56","AFG",1972,164.538119728674
"57","AFG",1973,186.594034637641
"58","AFG",1974,202.916856637226
"59","AFG",1975,200.710130444945
"60","AFG",1976,260.373918471617
"61","AFG",1977,256.860003305934
"62","AFG",1978,238.275038737443
"63","AFG",1979,220.959847123069
"64","AFG",1980,220.47555714118
"65","AFG",1981,217.587490681095
"66","AFG",1982,223.510589759334
"67","AFG",1983,240.32045976195
"68","AFG",1984,227.649996174579
"69","AFG",1985,241.875687899658
"70","AFG",1986,209.566668312648
"71","AFG",1987,207.282618599743
"72","AFG",1988,188.517982219568
"73","AFG",1989,202.885199492787
"74","AFG",1990,147.378163171662
"75","AFG",1991,161.420071682973
"76","AFG",1992,171.615535035007
"77","AFG",1993,151.818611788678
"78","AFG",1994,138.400106054031
"79","AFG",1995,136.112509254307
"80","AFG",1996,136.192943920342
"81","AFG",1997,145.128530295314
"82","AFG",1998,155.699402168413
"83","AFG",1999,172.933307944225
"84","AFG",2000,216.765229238876
"85","AFG",2001,241.605062212184
"86","AFG",2002,280.313037930947
"87","AFG",2003,323.832785232082
"88","AFG",2004,362.633973795705
"89","AFG",2005,405.674195923312
"90","AFG",2006,417.695326618747
"91","AFG",2007,427.111089105812
"92","AFG",2008,436.293688861481
"93","AFG",2009,456.445059569043
"94","AFG",2010,471.866816309478
"95","AFG",2011,480.389176389433
"96","AFG",2012,568.24332471738
"97","AFG",2013,650.08153295355
"98","AFG",2014,630.573067925021
"99","AFG",2015,619.301281026233
"100","AFG",2016,694.748793840291
"101","AFG",2017,744.246552930867
"102","AFG",2018,823.993161010366
"103","AFG",2019,884.429433302076
"104","AFG",2020,824.738705027338
"105","AFG",2021,895.990676288945
"106","AFG",2022,970.633884248129
"107","AGO",1970,271.282928930796
"108","AGO",1971,312.292890388529
"109","AGO",1972,357.614809927941
"110","AGO",1973,427.090748849594
"111","AGO",1974,465.851909441436
"112","AGO",1975,492.551220112444
"113","AGO",1976,201.570164954087
"114","AGO",1977,202.344301142493
"115","AGO",1978,250.360221188746
"116","AGO",1979,251.09068288874
"117","AGO",1980,183.791143739264
"118","AGO",1981,180.990775152001
"119","AGO",1982,151.76502998119
"120","AGO",1983,130.578086288166
"121","AGO",1984,133.199059362389
"122","AGO",1985,170.294194020569
"123","AGO",1986,237.863527090951
"124","AGO",1987,189.568908340348
"125","AGO",1988,229.726058894708
"126","AGO",1989,216.475295081798
"127","AGO",1990,221.223487188758
"128","AGO",1991,227.897493338485
"129","AGO",1992,254.858265262535
"130","AGO",1993,207.658929521498
"131","AGO",1994,234.194344945721
"132","AGO",1995,239.877347182207
"133","AGO",1996,234.64003283731
"134","AGO",1997,255.057894092573
"135","AGO",1998,284.460865784542
"136","AGO",1999,297.873489271001
"137","AGO",2000,328.206267148493
"138","AGO",2001,438.304398532235
"139","AGO",2002,484.489576692385
"140","AGO",2003,557.067937959248
