"","ISO3","year","value"
"1","ABW",1970,45.1757518938476
"2","ABW",1971,50.0629038862127
"3","ABW",1972,60.857416975044
"4","ABW",1973,65.8473109193175
"5","ABW",1974,65.1078739941247
"6","ABW",1975,79.1276479672954
"7","ABW",1976,78.179274263745
"8","ABW",1977,88.8958594501378
"9","ABW",1978,93.7147048978204
"10","ABW",1979,97.6657852046388
"11","ABW",1980,101.651922122819
"12","ABW",1981,104.907288054007
"13","ABW",1982,104.413872570367
"14","ABW",1983,106.993982353525
"15","ABW",1984,121.652279749782
"16","ABW",1985,127.340981030036
"17","ABW",1986,137.034459520569
"18","ABW",1987,151.83371003309
"19","ABW",1988,165.910583111553
"20","ABW",1989,221.021187381419
"21","ABW",1990,214.378929634254
"22","ABW",1991,241.864952035815
"23","ABW",1992,266.760397623804
"24","ABW",1993,270.405812467347
"25","ABW",1994,297.539462754627
"26","ABW",1995,327.189315716245
"27","ABW",1996,225.761005307069
"28","ABW",1997,353.29313081485
"29","ABW",1998,361.870045794269
"30","ABW",1999,352.332055484012
"31","ABW",2000,335.765356653021
"32","ABW",2001,344.13526901529
"33","ABW",2002,363.221989276289
"34","ABW",2003,412.245778916148
"35","ABW",2004,430.187144943959
"36","ABW",2005,462.647521723664
"37","ABW",2006,460.57352029614
"38","ABW",2007,500.896333335256
"39","ABW",2008,493.07078241268
"40","ABW",2009,526.922595594668
"41","ABW",2010,507.506961922097
"42","ABW",2011,337.124797709641
"43","ABW",2012,409.986185264684
"44","ABW",2013,463.848197321681
"45","ABW",2014,475.080545670168
"46","ABW",2015,476.461183575444
"47","ABW",2016,494.114021620856
"48","ABW",2017,467.18855186058
"49","ABW",2018,502.076806117274
"50","ABW",2019,575.822321379381
"51","ABW",2020,494.730746898123
"52","ABW",2021,479.191757488425
"53","ABW",2022,496.682754909736
"54","AFG",1970,17300.6690539802
"55","AFG",1971,17256.3821178691
"56","AFG",1972,15304.9515115785
"57","AFG",1973,15927.8729008802
"58","AFG",1974,17239.367466164
"59","AFG",1975,17944.289859626
"60","AFG",1976,17946.0150748838
"61","AFG",1977,18107.081885128
"62","AFG",1978,17650.7752102952
"63","AFG",1979,17441.6144403839
"64","AFG",1980,17465.0558738616
"65","AFG",1981,17553.9764994981
"66","AFG",1982,17493.3545841216
"67","AFG",1983,17424.6994925421
"68","AFG",1984,16363.7889240771
"69","AFG",1985,16293.2148680267
"70","AFG",1986,14566.8621230037
"71","AFG",1987,14150.2681812673
"72","AFG",1988,14310.2274998741
"73","AFG",1989,13576.7558055245
"74","AFG",1990,13676.9669456892
"75","AFG",1991,13760.6675079943
"76","AFG",1992,12805.4807324699
"77","AFG",1993,12981.7984416016
"78","AFG",1994,13140.4254922628
"79","AFG",1995,13537.2977968214
"80","AFG",1996,14882.6309267622
"81","AFG",1997,15974.28620367
"82","AFG",1998,16824.5387880177
"83","AFG",1999,17853.4222571423
"84","AFG",2000,15959.3206159476
"85","AFG",2001,14292.0450403159
"86","AFG",2002,16952.4389210731
"87","AFG",2003,17640.4675190881
"88","AFG",2004,17697.7287333088
"89","AFG",2005,18099.825992487
"90","AFG",2006,18369.530072575
"91","AFG",2007,19526.1670243783
"92","AFG",2008,22998.3812889789
"93","AFG",2009,26222.0069620348
"94","AFG",2010,30099.5215249883
"95","AFG",2011,34378.7681358479
"96","AFG",2012,32373.0443646745
"97","AFG",2013,30808.323907902
"98","AFG",2014,31122.6499373414
"99","AFG",2015,31116.5435838395
"100","AFG",2016,30475.1363040454
"101","AFG",2017,31682.6686374096
"102","AFG",2018,31349.3815004309
"103","AFG",2019,30232.2297302269
"104","AFG",2020,28059.8259240922
"105","AFG",2021,28862.5820019036
"106","AFG",2022,29026.3877330983
"107","AGO",1970,20138.3644105556
"108","AGO",1971,20018.4157921555
"109","AGO",1972,22721.0011796938
"110","AGO",1973,24375.9112549662
"111","AGO",1974,25083.207728244
"112","AGO",1975,23889.9238349712
"113","AGO",1976,19960.4193788962
"114","AGO",1977,24620.9451118116
"115","AGO",1978,26753.4131739833
"116","AGO",1979,27347.3333478899
"117","AGO",1980,27854.703806423
"118","AGO",1981,26407.8536429051
"119","AGO",1982,26690.6072889389
"120","AGO",1983,28580.0648755284
"121","AGO",1984,29537.9861987823
