"","ISO3","year","value"
"1","ABW",1970,19.3847341910674
"2","ABW",1971,20.641870435791
"3","ABW",1972,20.7671910891639
"4","ABW",1973,20.8556943775283
"5","ABW",1974,20.9340807052153
"6","ABW",1975,20.9607638428526
"7","ABW",1976,20.921442815176
"8","ABW",1977,20.8786980474193
"9","ABW",1978,20.8012722967728
"10","ABW",1979,20.7384159165739
"11","ABW",1980,20.7814846687723
"12","ABW",1981,20.9301625953797
"13","ABW",1982,21.1717125728833
"14","ABW",1983,21.4236220998778
"15","ABW",1984,21.6640864328087
"16","ABW",1985,21.7405871884781
"17","ABW",1986,21.6659285314307
"18","ABW",1987,21.4073834534218
"19","ABW",1988,21.1687548451915
"20","ABW",1989,21.1461160855761
"21","ABW",1990,21.4773566729462
"22","ABW",1991,22.2724135881462
"23","ABW",1992,23.3639857359012
"24","ABW",1993,24.6369588014289
"25","ABW",1994,25.962828733618
"26","ABW",1995,27.0169440402879
"27","ABW",1996,27.7258328664478
"28","ABW",1997,28.3473570864218
"29","ABW",1998,28.7711007322257
"30","ABW",1999,29.1145794443141
"31","ABW",2000,29.5955056266187
"32","ABW",2001,29.8988725522599
"33","ABW",2002,30.1837676616178
"34","ABW",2003,30.5634337751279
"35","ABW",2004,31.0131324334152
"36","ABW",2005,31.2045649986929
"37","ABW",2006,31.327416246584
"38","ABW",2007,31.3499711042325
"39","ABW",2008,31.2419893821996
"40","ABW",2009,30.8583404986004
"41","ABW",2010,30.634471928725
"42","ABW",2011,30.7331309655873
"43","ABW",2012,30.8312638159224
"44","ABW",2013,31.0596457501675
"45","ABW",2014,31.234658305796
"46","ABW",2015,31.3579392011238
"47","ABW",2016,31.5359730509409
"48","ABW",2017,31.7445989904662
"49","ABW",2018,31.9318542725544
"50","ABW",2019,32.0820748869518
"51","ABW",2020,32.2463387693509
"52","ABW",2021,32.4376137229083
"53","ABW",2022,32.585840492378
"54","AFG",1970,1577.96724953068
"55","AFG",1971,1630.60723168234
"56","AFG",1972,1675.50043162411
"57","AFG",1973,1724.01371364093
"58","AFG",1974,1770.64676872177
"59","AFG",1975,1814.44264978349
"60","AFG",1976,1868.49220295317
"61","AFG",1977,1908.33767854261
"62","AFG",1978,1940.36056517943
"63","AFG",1979,1956.67285221259
"64","AFG",1980,1957.22737119482
"65","AFG",1981,1938.14659504618
"66","AFG",1982,1903.71579999093
"67","AFG",1983,1860.30114539873
"68","AFG",1984,1819.44510190721
"69","AFG",1985,1790.79671646329
"70","AFG",1986,1772.5316295955
"71","AFG",1987,1769.2206565353
"72","AFG",1988,1784.62058239037
"73","AFG",1989,1818.67066639364
"74","AFG",1990,1890.58118680092
"75","AFG",1991,1996.83253095505
"76","AFG",1992,2142.49498229955
"77","AFG",1993,2311.29935466462
"78","AFG",1994,2468.46054030837
"79","AFG",1995,2613.91174421423
"80","AFG",1996,2729.82701796044
"81","AFG",1997,2822.07651970873
"82","AFG",1998,2893.97097641537
"83","AFG",1999,2970.98842684155
"84","AFG",2000,3074.64659123277
"85","AFG",2001,3207.1666697338
"86","AFG",2002,3367.65331213606
"87","AFG",2003,3546.57963747736
"88","AFG",2004,3710.7753603082
"89","AFG",2005,3869.85070990006
"90","AFG",2006,4003.74449833408
"91","AFG",2007,4141.11961112219
"92","AFG",2008,4259.36202481663
"93","AFG",2009,4416.94997280822
"94","AFG",2010,4577.82361577758
"95","AFG",2011,4726.51220939673
"96","AFG",2012,4907.60186264752
"97","AFG",2013,5095.0145804328
"98","AFG",2014,5264.87189887579
"99","AFG",2015,5423.66943805801
"100","AFG",2016,5574.22364316263
"101","AFG",2017,5721.21299602388
"102","AFG",2018,5857.57969595357
"103","AFG",2019,5993.21585811481
"104","AFG",2020,6137.65483404096
"105","AFG",2021,6279.55398457701
"106","AFG",2022,6423.33028791347
"107","AGO",1970,1142.97336020888
"108","AGO",1971,1170.23291528844
"109","AGO",1972,1202.62383891493
"110","AGO",1973,1242.60226980581
"111","AGO",1974,1266.51963106624
"112","AGO",1975,1304.24321600214
"113","AGO",1976,1342.36331906691
"114","AGO",1977,1389.10548441366
"115","AGO",1978,1434.48647354105
"116","AGO",1979,1483.07411679522
"117","AGO",1980,1535.89066033159
"118","AGO",1981,1594.47482087494
"119","AGO",1982,1653.69296831675
"120","AGO",1983,1650.30406483074
"121","AGO",1984,1714.25885645252
"122","AGO",1985,1783.03692798005
"123","AGO",1986,1836.62130134443
"124","AGO",1987,1895.75960995881
"125","AGO",1988,1954.15841316234
"126","AGO",1989,2016.30494403655
"127","AGO",1990,2080.31717547095
"128","AGO",1991,2155.26456251532
"129","AGO",1992,2232.75079149272
"130","AGO",1993,2294.20472861915
"131","AGO",1994,2379.42968101044
"132","AGO",1995,2474.94281288549
"133","AGO",1996,2576.05833917486
"134","AGO",1997,2668.18479463263
"135","AGO",1998,2759.8696824022
"136","AGO",1999,2855.74340211036
"137","AGO",2000,2973.76959743411
"138","AGO",2001,3088.5643036342
"139","AGO",2002,3233.11020977773
"140","AGO",2003,3370.81005496379
"141","AGO",2004,7804.63677251125
"142","AGO",2005,7821.62014654052
"143","AGO",2006,3898.42937133606
"144","AGO",2007,4114.50989577756
"145","AGO",2008,4341.73593191869
"146","AGO",2009,4532.1443188083
"147","AGO",2010,4727.17184033575
"148","AGO",2011,4931.89237442731
"149","AGO",2012,5166.72731160588
"150","AGO",2013,5407.36262040154
"151","AGO",2014,5645.29481385351
"152","AGO",2015,5858.31765307044
"153","AGO",2016,6049.35192397921
"154","AGO",2017,6255.22349420965
"155","AGO",2018,6459.00666656635
"156","AGO",2019,6670.74625191552
"157","AGO",2020,6884.91783556516
"158","AGO",2021,7101.52815075519
"159","AGO",2022,7323.07366178239
"160","ALB",1970,262.777102368824
"161","ALB",1971,280.22240928495
"162","ALB",1972,289.646698883303
"163","ALB",1973,298.060410540433
"164","ALB",1974,307.025364067648
"165","ALB",1975,314.860625567773
"166","ALB",1976,327.308931808152
"167","ALB",1977,338.815487646785
"168","ALB",1978,356.525659004321
"169","ALB",1979,364.24364364086
"170","ALB",1980,373.997519592681
"171","ALB",1981,385.776567638824
"172","ALB",1982,393.880058352681
"173","ALB",1983,405.521654513842
"174","ALB",1984,415.431106388598
"175","ALB",1985,424.005077852637
"176","ALB",1986,440.603129191035
"177","ALB",1987,449.801411171218
"178","ALB",1988,467.481468492325
"179","ALB",1989,482.92965027654
"180","ALB",1990,502.976879679315
"181","ALB",1991,489.079906143479
"182","ALB",1992,474.128779323301
"183","ALB",1993,477.232470669814
"184","ALB",1994,480.282816963953
"185","ALB",1995,485.037432145209
"186","ALB",1996,492.098984220735
"187","ALB",1997,491.483271014972
"188","ALB",1998,501.883971930977
"189","ALB",1999,495.439509417472
"190","ALB",2000,506.513622246317
"191","ALB",2001,519.394828142647
"192","ALB",2002,532.601135278477
"193","ALB",2003,545.152149784619
"194","ALB",2004,556.743403266596
"195","ALB",2005,567.778018211645
"196","ALB",2006,578.81482112448
"197","ALB",2007,589.617789182028
"198","ALB",2008,596.58982720835
"199","ALB",2009,607.529273941965
"200","ALB",2010,618.269471472988
"201","ALB",2011,629.837968571714
"202","ALB",2012,641.698215961318
"203","ALB",2013,653.71504537202
"204","ALB",2014,666.523370347821
"205","ALB",2015,680.877395718576
"206","ALB",2016,693.137576770269
"207","ALB",2017,705.002816713258
"208","ALB",2018,717.770019455161
"209","ALB",2019,733.688704733014
"210","ALB",2020,745.094527219516
"211","ALB",2021,757.77816122259
"212","ALB",2022,770.807091265214
"213","ARE",1970,166.958297923554
"214","ARE",1971,213.761853378219
"215","ARE",1972,254.865418357398
"216","ARE",1973,304.698125573604
"217","ARE",1974,362.246341843652
"218","ARE",1975,425.610458608255
"219","ARE",1976,498.171800354746
"220","ARE",1977,577.76075234839
"221","ARE",1978,661.00260720588
"222","ARE",1979,741.408782092028
"223","ARE",1980,816.008442551677
"224","ARE",1981,876.950128230153
"225","ARE",1982,931.498735323881
"226","ARE",1983,978.264683765803
"227","ARE",1984,1073.74657288255
"228","ARE",1985,1175.04256277661
"229","ARE",1986,1245.51009841828
"230","ARE",1987,1316.26385828244
"231","ARE",1988,1386.14107957132
"232","ARE",1989,1461.02341731773
"233","ARE",1990,1533.96711394625
"234","ARE",1991,1600.64135829408
"235","ARE",1992,1677.08974053412
"236","ARE",1993,1757.38076010764
"237","ARE",1994,1848.54189447135
"238","ARE",1995,1970.23205809026
"239","ARE",1996,2094.92568441252
"240","ARE",1997,2230.18329672079
"241","ARE",1998,2352.22878364317
"242","ARE",1999,2490.61377068322
"243","ARE",2000,2661.68742693047
"244","ARE",2001,2813.23703219307
"245","ARE",2002,2980.96986008032
"246","ARE",2003,3213.30077202092
"247","ARE",2004,3509.21944809803
"248","ARE",2005,3858.07566891095
"249","ARE",2006,4384.20175066482
"250","ARE",2007,4975.90065404677
"251","ARE",2008,5604.09616203179
"252","ARE",2009,6117.88665082876
"253","ARE",2010,6590.26557713874
"254","ARE",2011,7031.456400061
"255","ARE",2012,7282.7994265045
"256","ARE",2013,7521.195947932
"257","ARE",2014,7673.5220229104
"258","ARE",2015,7880.2746750138
"259","ARE",2016,8016.0666313921
"260","ARE",2017,8120.3072692747
"261","ARE",2018,8239.8135078093
"262","ARE",2019,8385.6021962233
"263","ARE",2020,8543.48776850931
"264","ARE",2021,8754.20029261551
"265","ARE",2022,8941.62696881447
"266","ARG",1970,10394.1392993604
"267","ARG",1971,11075.1077759505
"268","ARG",1972,11410.6392385554
"269","ARG",1973,11667.5078656491
"270","ARG",1974,11940.1576525679
"271","ARG",1975,12172.5371926128
"272","ARG",1976,12559.0135524435
"273","ARG",1977,12769.8719520277
"274","ARG",1978,13077.7161222464
"275","ARG",1979,13477.1182206575
"276","ARG",1980,13487.3279981981
"277","ARG",1981,13647.3026030762
"278","ARG",1982,14185.0096290548
"279","ARG",1983,14724.4650327836
"280","ARG",1984,15082.0993089874
"281","ARG",1985,15423.3361275881
"282","ARG",1986,15832.0764239779
"283","ARG",1987,16144.1833774726
"284","ARG",1988,16193.7148175084
"285","ARG",1989,16398.9825253153
"286","ARG",1990,16708.1447520071
"287","ARG",1991,17044.1688267069
"288","ARG",1992,17463.1010017859
"289","ARG",1993,17953.2696799673
"290","ARG",1994,18334.2983511765
"291","ARG",1995,18426.9870134131
"292","ARG",1996,18597.464787637
"293","ARG",1997,19280.6792531321
"294","ARG",1998,19262.599031093
"295","ARG",1999,19302.1398892216
"296","ARG",2000,19639.0297523529
"297","ARG",2001,19969.4520177952
"298","ARG",2002,20006.9269401747
"299","ARG",2003,20659.5250081492
"300","ARG",2004,21332.9323061131
"301","ARG",2005,19836.52899218
"302","ARG",2006,20359.5489417323
"303","ARG",2007,17099.3482086822
"304","ARG",2008,15984.2289458328
"305","ARG",2009,15816.2169260819
"306","ARG",2010,15891.4622554777
"307","ARG",2011,16004.907979169
"308","ARG",2012,16331.2794830915
"309","ARG",2013,16668.3882450596
"310","ARG",2014,16980.8627727792
"311","ARG",2015,17183.1475127945
"312","ARG",2016,17311.1541736495
"313","ARG",2017,17585.2693384221
"314","ARG",2018,17793.2218098486
"315","ARG",2019,17846.813816091
"316","ARG",2020,17724.4644809849
"317","ARG",2021,17731.5397987847
"318","ARG",2022,17868.5619212444
"319","ARM",1970,453.185623368548
"320","ARM",1971,509.456130534349
"321","ARM",1972,530.342985227713
"322","ARM",1973,551.631873641493
"323","ARM",1974,573.621220062126
"324","ARM",1975,592.722278343642
"325","ARM",1976,610.676688224445
"326","ARM",1977,628.076781344689
"327","ARM",1978,646.555944737835
"328","ARM",1979,664.438845750929
"329","ARM",1980,679.090234973764
"330","ARM",1981,694.540162243031
"331","ARM",1982,706.768793649222
"332","ARM",1983,718.494838087708
"333","ARM",1984,733.02737114134
"334","ARM",1985,745.529987274276
"335","ARM",1986,765.294263493433
"336","ARM",1987,781.499347986131
"337","ARM",1988,788.017700665535
"338","ARM",1989,795.237861248921
"339","ARM",1990,788.847743759447
"340","ARM",1991,761.443501726169
"341","ARM",1992,666.761054913459
"342","ARM",1993,625.359681502501
"343","ARM",1994,621.342243457229
"344","ARM",1995,620.17308501862
"345","ARM",1996,620.8211299479
"346","ARM",1997,619.04552093365
"347","ARM",1998,622.39155380377
"348","ARM",1999,617.42081158385
"349","ARM",2000,636.57592576491
"350","ARM",2001,643.0770937463
"351","ARM",2002,656.44510119437
"352","ARM",2003,667.48729230834
"353","ARM",2004,680.02897481035
"354","ARM",2005,693.25397607234
"355","ARM",2006,706.84859302004
"356","ARM",2007,536.16822587468
"357","ARM",2008,552.4446771104
"358","ARM",2009,540.43750741841
"359","ARM",2010,537.70049570325
"360","ARM",2011,544.42717763192
"361","ARM",2012,551.72608970892
"362","ARM",2013,570.55686004885
"363","ARM",2014,574.94352512196
"364","ARM",2015,576.97368980001
"365","ARM",2016,586.45211902599
"366","ARM",2017,583.37659317365
"367","ARM",2018,584.60845478376
"368","ARM",2019,595.0663919567
"369","ARM",2020,597.2882028652
"370","ARM",2021,601.63816900949
"371","ARM",2022,604.867113265474
"372","ASM",1970,1.2015674903575
"373","ASM",1971,1.2298294827033
"374","ASM",1972,1.2559724999958
"375","ASM",1973,1.2797219048545
"376","ASM",1974,1.3013531025254
"377","ASM",1975,1.3215902669578
"378","ASM",1976,1.3393870696093
"379","ASM",1977,1.3562424250282
"380","ASM",1978,1.3750147130966
"381","ASM",1979,1.4007504660694
"382","ASM",1980,1.4371952731413
"383","ASM",1981,1.4849719505403
"384","ASM",1982,1.5419553699089
"385","ASM",1983,1.6066666622352
"386","ASM",1984,1.6760224402878
"387","ASM",1985,1.7463312093985
"388","ASM",1986,1.8191727643732
"389","ASM",1987,1.8926847790891
"390","ASM",1988,1.9653951674796
"391","ASM",1989,2.0355278269786
"392","ASM",1990,2.1030214037497
"393","ASM",1991,2.1671069831932
"394","ASM",1992,2.2253296459506
"395","ASM",1993,2.278682345176
"396","ASM",1994,2.3294312476329
"397","ASM",1995,2.3785535329111
"398","ASM",1996,2.4311061175829
"399","ASM",1997,2.480777924226
"400","ASM",1998,2.527408462098
"401","ASM",1999,2.5691986127086
"402","ASM",2000,2.6002165765647
"403","ASM",2001,3.0832637888276
"404","ASM",2002,3.1217753343895
"405","ASM",2003,3.1442392317294
"406","ASM",2004,3.1579994069154
"407","ASM",2005,3.1450456826583
"408","ASM",2006,3.1244975329841
"409","ASM",2007,3.0874603726109
"410","ASM",2008,3.0474036026955
"411","ASM",2009,3.0085864514313
"412","ASM",2010,2.9773782580007
"413","ASM",2011,2.9670161571042
"414","ASM",2012,2.9631436515884
"415","ASM",2013,2.9736865036357
"416","ASM",2014,2.9821794572343
"417","ASM",2015,2.9878232998712
"418","ASM",2016,2.9905175989983
"419","ASM",2017,2.9872211843643
"420","ASM",2018,2.9914512755124
"421","ASM",2019,2.994274458738
"422","ASM",2020,2.9986216159648
"423","ASM",2021,3.0003196533079
"424","ASM",2022,3.0008611048529
"425","ATG",1970,43.4552974763781
"426","ATG",1971,48.7851697852147
"427","ATG",1972,48.6717559400323
"428","ATG",1973,49.3479717345737
"429","ATG",1974,50.007430835785
"430","ATG",1975,50.6310031341153
"431","ATG",1976,51.2017304502357
"432","ATG",1977,51.749418237693
"433","ATG",1978,52.2022131015083
"434","ATG",1979,52.4994899530464
"435","ATG",1980,52.6674335115177
"436","ATG",1981,52.5208978242301
"437","ATG",1982,52.2173005724601
"438","ATG",1983,51.7790827581536
"439","ATG",1984,51.3782235620862
"440","ATG",1985,50.8105652902332
"441","ATG",1986,50.2463792403736
"442","ATG",1987,49.6497101789371
"443","ATG",1988,49.1975198312835
"444","ATG",1989,48.9605617169776
"445","ATG",1990,49.0806389375422
"446","ATG",1991,49.1846167531787
"447","ATG",1992,49.5314474081523
"448","ATG",1993,50.2552725482215
"449","ATG",1994,51.339643422714
"450","ATG",1995,51.6609822241571
"451","ATG",1996,52.675555011277
"452","ATG",1997,53.7445841602604
"453","ATG",1998,54.6992331153542
"454","ATG",1999,55.498000292938
"455","ATG",2000,56.3628365313925
"456","ATG",2001,55.5726586421001
"457","ATG",2002,55.1819538078583
"458","ATG",2003,55.1046581806281
"459","ATG",2004,55.0008497799275
"460","ATG",2005,54.9327872382019
"461","ATG",2006,55.3237807965203
"462","ATG",2007,55.5189388424955
"463","ATG",2008,57.5756052908539
"464","ATG",2009,53.4819406591483
"465","ATG",2010,52.1625840669621
"466","ATG",2011,51.7703319441
"467","ATG",2012,51.9220493705921
"468","ATG",2013,51.8615931858309
"469","ATG",2014,52.0850238881747
"470","ATG",2015,52.3058270861471
"471","ATG",2016,52.9722379992514
"472","ATG",2017,53.5286546318435
"473","ATG",2018,54.1626027261513
"474","ATG",2019,54.69825221328
"475","ATG",2020,55.2544555732432
"476","ATG",2021,55.8144473761151
"477","ATG",2022,56.44283409379
"478","AUS",1970,15209.3298248223
"479","AUS",1971,15465.3586324571
"480","AUS",1972,15735.3435085728
"481","AUS",1973,15946.2241509851
"482","AUS",1974,16164.2951368536
"483","AUS",1975,16425.471714995
"484","AUS",1976,16738.9464045125
"485","AUS",1977,17018.5961209536
"486","AUS",1978,17293.9072594365
"487","AUS",1979,17546.5355300795
"488","AUS",1980,17795.7509922019
"489","AUS",1981,18051.2369788093
"490","AUS",1982,18329.0679574325
"491","AUS",1983,18604.7582523247
"492","AUS",1984,18887.7840307653
"493","AUS",1985,19209.7117901539
"494","AUS",1986,19518.5551203641
"495","AUS",1987,19855.4119218266
"496","AUS",1988,20208.9218501015
"497","AUS",1989,20511.3148317171
"498","AUS",1990,20866.2519099499
"499","AUS",1991,20889.6076489286
"500","AUS",1992,20747.1314093322
"501","AUS",1993,20762.4767219738
"502","AUS",1994,20202.0146031386
"503","AUS",1995,20407.6445052941
"504","AUS",1996,18648.9113906452
"505","AUS",1997,18584.4928622711
"506","AUS",1998,17798.61116236
"507","AUS",1999,17982.9829830236
"508","AUS",2000,17811.0529686214
"509","AUS",2001,17959.433913298
"510","AUS",2002,18338.4860450499
"511","AUS",2003,17191.0277021485
"512","AUS",2004,16674.979827287
"513","AUS",2005,16533.0815523667
"514","AUS",2006,16323.9509251832
"515","AUS",2007,16727.6413508709
"516","AUS",2008,17267.1853089404
"517","AUS",2009,17223.5931275642
"518","AUS",2010,17677.9937261923
"519","AUS",2011,17292.5242732371
"520","AUS",2012,15795.6971842226
"521","AUS",2013,15758.8417644388
"522","AUS",2014,15033.0914034013
"523","AUS",2015,14216.4253266954
"524","AUS",2016,14418.5165437947
"525","AUS",2017,14301.6963885475
"526","AUS",2018,15350.9785764359
"527","AUS",2019,15279.9312553617
"528","AUS",2020,14505.7537085333
"529","AUS",2021,14453.4380012369
"530","AUS",2022,14486.5609688387
"531","AUT",1970,5707.90254704082
"532","AUT",1971,6111.44117819423
"533","AUT",1972,6131.62779545534
"534","AUT",1973,6153.91868041032
"535","AUT",1974,6180.43807793702
"536","AUT",1975,6149.26838453219
"537","AUT",1976,6223.8783880678
"538","AUT",1977,6266.64482200969
"539","AUT",1978,6162.81389629472
"540","AUT",1979,6232.45429124596
"541","AUT",1980,6313.7474919011
"542","AUT",1981,6285.47086477041
"543","AUT",1982,6254.54623247162
"544","AUT",1983,6221.74869958691
"545","AUT",1984,6256.32518603392
"546","AUT",1985,6280.17313163849
"547","AUT",1986,6293.45072468029
"548","AUT",1987,6257.9597428079
"549","AUT",1988,6288.01201734737
"550","AUT",1989,6306.43858827326
"551","AUT",1990,6311.50615629026
"552","AUT",1991,6274.72285132893
"553","AUT",1992,6138.06096184035
"554","AUT",1993,6074.68701414688
"555","AUT",1994,5882.8893889919
"556","AUT",1995,5666.88107336581
"557","AUT",1996,5413.24977728665
"558","AUT",1997,5264.36498465879
"559","AUT",1998,5145.61509403271
"560","AUT",1999,5023.55329462366
"561","AUT",2000,4911.35088365658
"562","AUT",2001,4784.19343387219
"563","AUT",2002,4856.30525594237
"564","AUT",2003,5659.63382714307
"565","AUT",2004,4768.32188198488
"566","AUT",2005,4671.94280917993
"567","AUT",2006,4527.58347876904
"568","AUT",2007,4263.51612131285
"569","AUT",2008,4178.99866225466
"570","AUT",2009,3976.3980366495
"571","AUT",2010,3978.54612229465
"572","AUT",2011,3856.33837492728
"573","AUT",2012,3680.32515318988
"574","AUT",2013,3779.09763152551
"575","AUT",2014,3671.57115172525
"576","AUT",2015,3162.83651896188
"577","AUT",2016,3336.50045608586
"578","AUT",2017,3507.94951689085
"579","AUT",2018,3642.50623100042
"580","AUT",2019,3675.69973118879
"581","AUT",2020,3628.92079290983
"582","AUT",2021,3728.43500022282
"583","AUT",2022,3726.85274675283
"584","AZE",1970,1850.49081682964
"585","AZE",1971,1970.86475869852
"586","AZE",1972,2022.7463027293
"587","AZE",1973,2079.95193140993
"588","AZE",1974,2133.75129184945
"589","AZE",1975,2171.50854487304
"590","AZE",1976,2214.6388754542
"591","AZE",1977,2263.45541310096
"592","AZE",1978,2312.15043991808
"593","AZE",1979,2361.97790044572
"594","AZE",1980,2400.86354613775
"595","AZE",1981,2447.05161420788
"596","AZE",1982,2487.06283121167
"597","AZE",1983,2538.01448135332
"598","AZE",1984,2520.18288842265
"599","AZE",1985,2565.12109956057
"600","AZE",1986,2629.60186178273
"601","AZE",1987,2667.00018613233
"602","AZE",1988,2728.31209435471
"603","AZE",1989,2764.19602462897
"604","AZE",1990,2800.84503264526
"605","AZE",1991,2825.06318064421
"606","AZE",1992,2726.4987874632
"607","AZE",1993,2650.74341190593
"608","AZE",1994,2593.84000766194
"609","AZE",1995,2568.97450199899
"610","AZE",1996,2586.88647765059
"611","AZE",1997,2613.96432831864
"612","AZE",1998,2658.06408597486
"613","AZE",1999,2697.85068424536
"614","AZE",2000,2753.33195364613
"615","AZE",2001,2807.92027661788
"616","AZE",2002,2872.99296546581
"617","AZE",2003,2943.32566230187
"618","AZE",2004,3009.78438445123
"619","AZE",2005,3130.0125615686
"620","AZE",2006,3278.88639159501
"621","AZE",2007,3404.58651401128
"622","AZE",2008,3492.14951098503
"623","AZE",2009,3587.29944596916
"624","AZE",2010,3656.87567495426
"625","AZE",2011,3711.73040051771
"626","AZE",2012,3787.54678833128
"627","AZE",2013,3853.48415334771
"628","AZE",2014,3952.77678591056
"629","AZE",2015,3989.56056793771
"630","AZE",2016,4075.12308103287
"631","AZE",2017,4082.09389119186
"632","AZE",2018,4147.84160363418
"633","AZE",2019,4196.17021628478
"634","AZE",2020,4258.10169216813
"635","AZE",2021,4306.79459247405
"636","AZE",2022,4353.21061765206
"637","BDI",1970,544.160633019013
"638","BDI",1971,553.705426710175
"639","BDI",1972,556.747825571101
"640","BDI",1973,564.718324982806
"641","BDI",1974,566.613591306347
"642","BDI",1975,579.792882299635
"643","BDI",1976,591.043736180168
"644","BDI",1977,603.906271726421
"645","BDI",1978,615.912226121837
"646","BDI",1979,630.888665362802
"647","BDI",1980,647.92895310874
"648","BDI",1981,664.253944462586
"649","BDI",1982,679.970040152896
"650","BDI",1983,697.615872924914
"651","BDI",1984,713.419273300261
"652","BDI",1985,738.939930632201
"653","BDI",1986,761.636761548662
"654","BDI",1987,784.649920477817
"655","BDI",1988,807.774402680815
"656","BDI",1989,825.834851430866
"657","BDI",1990,852.709656931495
"658","BDI",1991,872.533544744902
"659","BDI",1992,890.093984019218
