"","ISO3","year","value"
"1","ABW",1970,24.7003732712209
"2","ABW",1971,28.3089585580063
"3","ABW",1972,38.9447990762238
"4","ABW",1973,43.7429846550442
"5","ABW",1974,42.9127439105648
"6","ABW",1975,56.8139775384794
"7","ABW",1976,55.8213695699866
"8","ABW",1977,66.4826423464754
"9","ABW",1978,71.308208991405
"10","ABW",1979,75.2716110029166
"11","ABW",1980,79.1363725157093
"12","ABW",1981,82.252059137121
"13","ABW",1982,81.4594090892902
"14","ABW",1983,83.6879752808353
"15","ABW",1984,97.8690050819303
"16","ABW",1985,103.322504016345
"17","ABW",1986,112.97299864959
"18","ABW",1987,127.849011634525
"19","ABW",1988,142.077349961764
"20","ABW",1989,196.563203188154
"21","ABW",1990,188.402578189361
"22","ABW",1991,214.290774639707
"23","ABW",1992,237.854068316018
"24","ABW",1993,239.906652429865
"25","ABW",1994,265.186463874861
"26","ABW",1995,293.332000082785
"27","ABW",1996,192.93506976835
"28","ABW",1997,316.988577992965
"29","ABW",1998,324.461349793125
"30","ABW",1999,314.355783529981
"31","ABW",2000,244.931877597029
"32","ABW",2001,252.882019139509
"33","ABW",2002,271.43207646307
"34","ABW",2003,315.362070177671
"35","ABW",2004,325.699421488054
"36","ABW",2005,356.718628128855
"37","ABW",2006,383.983952571721
"38","ABW",2007,422.872787155485
"39","ABW",2008,419.181606198417
"40","ABW",2009,456.236081083193
"41","ABW",2010,448.303610795405
"42","ABW",2011,274.088959135531
"43","ABW",2012,366.64175561394
"44","ABW",2013,422.861210020111
"45","ABW",2014,433.116541108892
"46","ABW",2015,434.54551913101
"47","ABW",2016,451.487257736835
"48","ABW",2017,424.686357269965
"49","ABW",2018,458.980640379187
"50","ABW",2019,531.504431643383
"51","ABW",2020,451.436880405035
"52","ABW",2021,435.810488787158
"53","ABW",2022,452.931062569986
"54","AFG",1970,1534.84038667552
"55","AFG",1971,1543.14318667552
"56","AFG",1972,1500.84171899263
"57","AFG",1973,1519.020733271
"58","AFG",1974,1948.35429393182
"59","AFG",1975,1783.86348532947
"60","AFG",1976,1582.6428883359
"61","AFG",1977,1965.16942729637
"62","AFG",1978,1637.82744878029
"63","AFG",1979,1783.81158082669
"64","AFG",1980,1725.52696041052
"65","AFG",1981,1995.94776654695
"66","AFG",1982,2024.16341088109
"67","AFG",1983,2701.82083262472
"68","AFG",1984,2910.8374284305
"69","AFG",1985,3794.50634166243
"70","AFG",1986,3651.44774160257
"71","AFG",1987,2977.59925008446
"72","AFG",1988,2820.64717421616
"73","AFG",1989,2614.21883297551
"74","AFG",1990,2680.85547263209
"75","AFG",1991,2538.61195287857
"76","AFG",1992,1451.33057259522
"77","AFG",1993,1397.63945221048
"78","AFG",1994,1405.32795905886
"79","AFG",1995,1236.20465566317
"80","AFG",1996,1206.99124932123
"81","AFG",1997,1188.67620308584
"82","AFG",1998,1196.69252200454
"83","AFG",1999,1153.15061046769
