"","ISO3","year","value"
"1","ABW",1970,0.51341556235311
"2","ABW",1971,0.51879338306206
"3","ABW",1972,0.5273092879677
"4","ABW",1973,0.5464546742926
"5","ABW",1974,0.55640348198073
"6","ABW",1975,0.58229616892615
"7","ABW",1976,0.60154047454223
"8","ABW",1977,0.61712083603669
"9","ABW",1978,0.62877238063196
"10","ABW",1979,0.64742649306191
"11","ABW",1980,0.66325685756058
"12","ABW",1981,0.67015716798539
"13","ABW",1982,0.70578561073038
"14","ABW",1983,0.77534261026712
"15","ABW",1984,0.75990623849784
"16","ABW",1985,0.85502692279413
"17","ABW",1986,0.80897698802653
"18","ABW",1987,0.88766429424652
"19","ABW",1988,0.812468851245
"20","ABW",1989,0.9086194760369
"21","ABW",1990,0.92352456087703
"22","ABW",1991,1.0893229174997
"23","ABW",1992,1.1386137633505
"24","ABW",1993,1.2256109983038
"25","ABW",1994,1.3098823305265
"26","ABW",1995,1.2587387592836
"27","ABW",1996,1.1374364487316
"28","ABW",1997,1.3329526151636
"29","ABW",1998,1.3611055678064
"30","ABW",1999,1.3987210163941
"31","ABW",2000,1.1524206363037
"32","ABW",2001,1.1896530910882
"33","ABW",2002,1.1784251305776
"34","ABW",2003,1.2458994842551
"35","ABW",2004,1.2588761690419
"36","ABW",2005,1.5040534848805
"37","ABW",2006,1.5855439800221
"38","ABW",2007,1.6179676488386
"39","ABW",2008,1.5895329753196
"40","ABW",2009,1.8266647391126
"41","ABW",2010,1.7635114106791
"42","ABW",2011,1.3200300875186
"43","ABW",2012,1.9020412317398
"44","ABW",2013,2.02858619364688
"45","ABW",2014,2.13362440470094
"46","ABW",2015,2.19041910753154
"47","ABW",2016,2.25294903440275
"48","ABW",2017,2.15571231476119
"49","ABW",2018,2.12069057424661
"50","ABW",2019,2.34314815613161
"51","ABW",2020,2.15008672320009
"52","ABW",2021,2.14217602127716
"53","ABW",2022,2.1338014798879
"54","AFG",1970,169.984052776672
"55","AFG",1971,161.470644136229
"56","AFG",1972,163.602081095157
"57","AFG",1973,185.633568717154
"58","AFG",1974,201.93293764612
"59","AFG",1975,199.704746743876
"60","AFG",1976,259.348571312468
"61","AFG",1977,255.816513356393
"62","AFG",1978,237.217957665695
"63","AFG",1979,219.897256136514
"64","AFG",1980,219.41762163335
"65","AFG",1981,216.545078758047
"66","AFG",1982,222.492485342428
"67","AFG",1983,239.331126680794
"68","AFG",1984,226.687989075054
"69","AFG",1985,240.934770197165
"70","AFG",1986,208.64028400758
"71","AFG",1987,206.364075940978
"72","AFG",1988,187.596397129803
"73","AFG",1989,201.944713000987
"74","AFG",1990,146.229658593073
"75","AFG",1991,159.273285971994
"76","AFG",1992,168.744574298925
"77","AFG",1993,147.781265758888
"78","AFG",1994,130.445379616955
"79","AFG",1995,123.30434165365
"80","AFG",1996,116.819093847853
"81","AFG",1997,118.887922204647
"82","AFG",1998,120.478923619187
"83","AFG",1999,122.218903710787
"84","AFG",2000,125.918888605052
"85","AFG",2001,117.67532600965
"86","AFG",2002,124.619378795582
"87","AFG",2003,131.833305142154
"88","AFG",2004,133.939238511782
"89","AFG",2005,132.821088572609
"90","AFG",2006,129.847638356615
"91","AFG",2007,133.087307039151
"92","AFG",2008,130.562436998628
"93","AFG",2009,140.421399914638
"94","AFG",2010,157.625141041286
"95","AFG",2011,163.922848638586
"96","AFG",2012,245.5109231623
"97","AFG",2013,318.365112849976
"98","AFG",2014,269.144479680103
"99","AFG",2015,220.094628960019
"100","AFG",2016,239.605819099311
"101","AFG",2017,233.933628485173
"102","AFG",2018,246.178317291323
"103","AFG",2019,247.081964285335
"104","AFG",2020,127.857803948836
"105","AFG",2021,132.399738417636
"106","AFG",2022,133.618408927175
"107","AGO",1970,235.088857380227
"108","AGO",1971,275.292883595801
"109","AGO",1972,319.719829915142
"110","AGO",1973,388.217632970292
"111","AGO",1974,425.929886657402
"112","AGO",1975,451.517477788988
"113","AGO",1976,159.369261326922
"114","AGO",1977,158.914972527959
"115","AGO",1978,205.62144142458
"116","AGO",1979,204.934506112103
"117","AGO",1980,136.094437206404
"118","AGO",1981,131.611520293271
"119","AGO",1982,100.582949714908
"120","AGO",1983,77.52950540019
"121","AGO",1984,78.303672115881
"122","AGO",1985,113.628031317841
"123","AGO",1986,179.525612336044
"124","AGO",1987,129.64327083066
"125","AGO",1988,168.220143528529
"126","AGO",1989,153.294259902761
"127","AGO",1990,156.08044327465
"128","AGO",1991,160.071217128296
"129","AGO",1992,184.375637091114
"130","AGO",1993,134.126397072687
"131","AGO",1994,155.71671698287
"132","AGO",1995,155.859698996897
"133","AGO",1996,143.933016438049
"134","AGO",1997,157.485810556216
"135","AGO",1998,178.531945386966
"136","AGO",1999,179.016631210349
"137","AGO",2000,179.337375087841
"138","AGO",2001,263.551479521997
"139","AGO",2002,284.249070031876
"140","AGO",2003,328.303665047318
"141","AGO",2004,352.592971483467
"142","AGO",2005,590.020191532128
"143","AGO",2006,586.17746947205
"144","AGO",2007,576.412759395115
"145","AGO",2008,714.359379985083
