"","ISO3","year","value"
"1","AUS",1970,189.2
"2","AUS",1971,189.2
"3","AUS",1972,189.2
"4","AUS",1973,189.2
"5","AUS",1974,189.2
"6","AUS",1975,189.2
"7","AUS",1976,189.2
"8","AUS",1977,189.2
"9","AUS",1978,189.2
"10","AUS",1979,189.2
"11","AUS",1980,189.2
"12","AUS",1981,189.2
"13","AUS",1982,189.2
"14","AUS",1983,189.2
"15","AUS",1984,189.2
"16","AUS",1985,189.2
"17","AUS",1986,189.2
"18","AUS",1987,189.2
"19","AUS",1988,189.2
"20","AUS",1989,189.2
"21","AUS",1990,189.2
"22","AUS",1991,189.2
"23","AUS",1992,189.2
"24","AUS",1993,189.2
"25","AUS",1994,189.2
"26","AUS",1995,189.2
"27","AUS",1996,189.2
"28","AUS",1997,189.2
"29","AUS",1998,189.2
"30","AUS",1999,189.2
"31","AUS",2000,189.2
"32","AUS",2001,189.2
"33","AUS",2002,189.2
"34","AUS",2003,189.2
"35","AUS",2004,189.2
"36","AUS",2005,189.2
"37","AUS",2006,189.2
"38","AUS",2007,189.2
"39","AUS",2008,189.2
"40","AUS",2009,189.2
"41","AUS",2010,189.2
"42","AUS",2011,189.2
"43","AUS",2012,189.2
"44","AUS",2013,189.2
"45","AUS",2014,189.2
"46","AUS",2015,189.2
"47","AUS",2016,189.2
"48","AUS",2017,189.2
"49","AUS",2018,189.2
"50","AUS",2019,189.2
"51","AUS",2020,189.2
"52","AUS",2021,189.2
"53","AUS",2022,189.2
"54","CHN",1970,28380
"55","CHN",1971,28380
"56","CHN",1972,28380
"57","CHN",1973,28380
"58","CHN",1974,28380
"59","CHN",1975,28380
"60","CHN",1976,28380
"61","CHN",1977,28380
"62","CHN",1978,28380
"63","CHN",1979,28380
"64","CHN",1980,28380
"65","CHN",1981,28380
"66","CHN",1982,28380
"67","CHN",1983,28380
"68","CHN",1984,28380
"69","CHN",1985,28380
"70","CHN",1986,28380
"71","CHN",1987,28380
"72","CHN",1988,28380
"73","CHN",1989,28380
"74","CHN",1990,28380
"75","CHN",1991,28380
"76","CHN",1992,28380
"77","CHN",1993,28380
"78","CHN",1994,28380
"79","CHN",1995,28380
"80","CHN",1996,28380
"81","CHN",1997,28380
"82","CHN",1998,28380
"83","CHN",1999,28380
"84","CHN",2000,28380
"85","CHN",2001,28380
"86","CHN",2002,28380
"87","CHN",2003,28380
"88","CHN",2004,28380
"89","CHN",2005,28380
"90","CHN",2006,28380
"91","CHN",2007,28380
"92","CHN",2008,28380
"93","CHN",2009,28380
"94","CHN",2010,28380
"95","CHN",2011,28380
"96","CHN",2012,28380
"97","CHN",2013,28380
"98","CHN",2014,28380
"99","CHN",2015,28380
"100","CHN",2016,28380
"101","CHN",2017,28380
"102","CHN",2018,28380
"103","CHN",2019,28380
"104","CHN",2020,28380
"105","CHN",2021,28380
"106","CHN",2022,28380
"107","IND",1970,12430.44
"108","IND",1971,12543.96
"109","IND",1972,12657.48
"110","IND",1973,12771
"111","IND",1974,12884.52
"112","IND",1975,12998.04
"113","IND",1976,13111.56
"114","IND",1977,13225.08
"115","IND",1978,13338.6
"116","IND",1979,13452.12
"117","IND",1980,13565.64
"118","IND",1981,13679.16
"119","IND",1982,13792.68
"120","IND",1983,14190
"121","IND",1984,14190
"122","IND",1985,14190
"123","IND",1986,14190
"124","IND",1987,14190
"125","IND",1988,14190
"126","IND",1989,14190
"127","IND",1990,14190
"128","IND",1991,14190
"129","IND",1992,14190
"130","IND",1993,14190
"131","IND",1994,14190
"132","IND",1995,14190
"133","IND",1996,14190
"134","IND",1997,14190
"135","IND",1998,14190
"136","IND",1999,14190
"137","IND",2000,14190
"138","IND",2001,14190
"139","IND",2002,14190
"140","IND",2003,14190
"141","IND",2004,14190
"142","IND",2005,14190
"143","IND",2006,14190
"144","IND",2007,14190
"145","IND",2008,14190
"146","IND",2009,14190
"147","IND",2010,14190
"148","IND",2011,14190
"149","IND",2012,14190
"150","IND",2013,14190
"151","IND",2014,14190
"152","IND",2015,14190
"153","IND",2016,14190
"154","IND",2017,14190
"155","IND",2018,14190
"156","IND",2019,14190
"157","IND",2020,14190
"158","IND",2021,14190
"159","IND",2022,14190
"160","KWT",1970,0
"161","KWT",1971,0
"162","KWT",1972,0
"163","KWT",1973,0
"164","KWT",1974,0
"165","KWT",1975,0
"166","KWT",1976,0
"167","KWT",1977,0
"168","KWT",1978,0
"169","KWT",1979,0
"170","KWT",1980,0
"171","KWT",1981,0
"172","KWT",1982,0
"173","KWT",1983,0
"174","KWT",1984,0
"175","KWT",1985,0
"176","KWT",1986,0
"177","KWT",1987,0
"178","KWT",1988,0
"179","KWT",1989,0
"180","KWT",1990,0
"181","KWT",1991,26840
"182","KWT",1992,0
"183","KWT",1993,0
"184","KWT",1994,0
"185","KWT",1995,0
"186","KWT",1996,0
"187","KWT",1997,0
"188","KWT",1998,0
"189","KWT",1999,0
"190","KWT",2000,0
"191","KWT",2001,0
"192","KWT",2002,0
"193","KWT",2003,0
"194","KWT",2004,0
"195","KWT",2005,0
"196","KWT",2006,0
"197","KWT",2007,0
"198","KWT",2008,0
"199","KWT",2009,0
"200","KWT",2010,0
"201","KWT",2011,0
"202","KWT",2012,0
"203","KWT",2013,0
"204","KWT",2014,0
"205","KWT",2015,0
"206","KWT",2016,0
"207","KWT",2017,0
"208","KWT",2018,0
"209","KWT",2019,0
"210","KWT",2020,0
"211","KWT",2021,0
"212","KWT",2022,0
"213","USA",1970,4730
"214","USA",1971,4730
"215","USA",1972,4730
"216","USA",1973,4730
"217","USA",1974,4730
"218","USA",1975,4730
"219","USA",1976,4730
"220","USA",1977,4730
"221","USA",1978,4730
"222","USA",1979,4730
"223","USA",1980,4730
"224","USA",1981,4730
"225","USA",1982,4730
"226","USA",1983,4730
"227","USA",1984,4730
"228","USA",1985,4730
"229","USA",1986,4730
"230","USA",1987,4730
"231","USA",1988,4730
"232","USA",1989,4730
"233","USA",1990,4730
"234","USA",1991,4730
"235","USA",1992,4730
"236","USA",1993,4730
"237","USA",1994,4730
"238","USA",1995,4730
"239","USA",1996,4730
"240","USA",1997,4730
"241","USA",1998,4730
"242","USA",1999,4730
"243","USA",2000,4730
"244","USA",2001,4730
"245","USA",2002,4730
"246","USA",2003,4730
"247","USA",2004,4730
"248","USA",2005,4730
"249","USA",2006,4730
"250","USA",2007,4730
"251","USA",2008,4730
"252","USA",2009,4730
"253","USA",2010,4730
"254","USA",2011,4730
"255","USA",2012,4730
"256","USA",2013,4730
"257","USA",2014,4730
"258","USA",2015,4730
"259","USA",2016,4730
"260","USA",2017,4730
"261","USA",2018,4730
"262","USA",2019,4730
"263","USA",2020,4730
"264","USA",2021,4730
"265","USA",2022,4730
