"","ISO3","year","value"
"1","ALB",1970,0.502691252665
"2","ALB",1971,0.52857817348354
"3","ALB",1972,0.55533975936833
"4","ALB",1973,0.58298499738574
"5","ALB",1974,0.61151675861185
"6","ALB",1975,0.64095300971816
"7","ALB",1976,0.67163718193868
"8","ALB",1977,0.70331384510597
"9","ALB",1978,0.7360103268241
"10","ALB",1979,0.76974923865144
"11","ALB",1980,0.80456547086378
"12","ALB",1981,0.84140282134614
"13","ALB",1982,0.87892968027858
"14","ALB",1983,0.91792170785024
"15","ALB",1984,0.95952383189432
"16","ALB",1985,1.0043938657422
"17","ALB",1986,1.0537916591776
"18","ALB",1987,1.1067998795374
"19","ALB",1988,1.1596974887875
"20","ALB",1989,1.2069969997533
"21","ALB",1990,1.2445759902511
"22","ALB",1991,1.1365377397034
"23","ALB",1992,1.1327870324988
"24","ALB",1993,1.1976160888171
"25","ALB",1994,1.2643814499764
"26","ALB",1995,1.3335787960569
"27","ALB",1996,1.4091771184354
"28","ALB",1997,1.3871454714724
"29","ALB",1998,1.4864782536235
"30","ALB",1999,1.5807777480969
"31","ALB",2000,1.6665499668535
"32","ALB",2001,1.7569213992949
"33","ALB",2002,1.8276045670363
"34","ALB",2003,1.9213361463146
"35","ALB",2004,2.0215038458647
"36","ALB",2005,2.1234233874822
"37","ALB",2006,2.1847450366698
"38","ALB",2007,2.2540839692313
"39","ALB",2008,2.3234231673362
"40","ALB",2009,2.3927650208741
"41","ALB",2010,2.4621066088686
"42","ALB",2011,2.5314481968632
"43","ALB",2012,2.600790050401
"44","ALB",2013,2.600790050401
"45","ALB",2014,2.600790050401
"46","ALB",2015,2.600790050401
"47","ALB",2016,2.600790050401
"48","ALB",2017,2.6459427679298
"49","ALB",2018,2.6915105296396
"50","ALB",2019,2.737096348294
"51","ALB",2020,2.7823640460725
"52","ALB",2021,2.8186788452068
"53","ALB",2022,2.8554676170543
"54","ARG",1970,5.1253572301594
"55","ARG",1971,5.2370411303993
"56","ARG",1972,5.3546287478309
"57","ARG",1973,5.4762004323397
"58","ARG",1974,5.5988784215307
"59","ARG",1975,5.7206455114976
"60","ARG",1976,5.8381868094951
"61","ARG",1977,5.9546311858469
"62","ARG",1978,6.071398159929
"63","ARG",1979,6.1907164263115
"64","ARG",1980,6.314160398941
"65","ARG",1981,6.4457260598617
"66","ARG",1982,6.5812854687702
"67","ARG",1983,6.7201998345006
"68","ARG",1984,6.8614496826922
"69","ARG",1985,7.0041784761576
"70","ARG",1986,7.1446916815169
"71","ARG",1987,7.2864026389299
"72","ARG",1988,7.4290335807292
"73","ARG",1989,7.5724428677452
"74","ARG",1990,7.7163683707047
"75","ARG",1991,7.847044877216
"76","ARG",1992,7.9776280001737
"77","ARG",1993,8.1074704589978
"78","ARG",1994,8.2358701642601
"79","ARG",1995,8.362332942706
"80","ARG",1996,8.4826449173329
"81","ARG",1997,8.6008631343908
"82","ARG",1998,8.717909067637
"83","ARG",1999,8.8351219593576
"84","ARG",2000,8.9534664750653
"85","ARG",2001,9.0715537764237
"86","ARG",2002,9.1909861286148
"87","ARG",2003,9.3113316140864
"88","ARG",2004,9.4319116754699
"89","ARG",2005,9.5522857568621
"90","ARG",2006,9.6707066772955
"91","ARG",2007,9.7889800010755
"92","ARG",2008,9.9078389454817
"93","ARG",2009,10.028243261103
"94","ARG",2010,10.150864207389
"95","ARG",2011,10.272237358761
"96","ARG",2012,10.622121555038
"97","ARG",2013,10.749346146684
"98","ARG",2014,10.876486737813
"99","ARG",2015,11.002603684343
"100","ARG",2016,11.126235019828
"101","ARG",2017,11.248631071113
"102","ARG",2018,11.369853051342
"103","ARG",2019,11.490096217034
"104","ARG",2020,11.609520824497
"105","ARG",2021,11.730904252528
"106","ARG",2022,11.853556805859
"107","AUS",1970,8.0085873187013
"108","AUS",1971,8.1747320773786
"109","AUS",1972,8.323554712057
"110","AUS",1973,8.458335707997
"111","AUS",1974,8.5848389609866
"112","AUS",1975,8.7077344838601
"113","AUS",1976,8.8267064229964
"114","AUS",1977,8.9423271653731
"115","AUS",1978,9.0581207716204
"116","AUS",1979,9.1785271196906
"117","AUS",1980,9.3069346398501
"118","AUS",1981,9.4282245419214
"119","AUS",1982,9.5579267460046
"120","AUS",1983,9.6963612237535
"121","AUS",1984,9.8434035375385
"122","AUS",1985,9.9984860581519
"123","AUS",1986,10.158393168985
"124","AUS",1987,10.325885486758
"125","AUS",1988,10.495681208642
"126","AUS",1989,10.660544056944
"127","AUS",1990,10.815272339175
"128","AUS",1991,10.915432745955
"129","AUS",1992,11.009746240238
"130","AUS",1993,11.100327434524
"131","AUS",1994,11.196241932973
"132","AUS",1995,13.235348873086
"133","AUS",1996,12.106327613094
"134","AUS",1997,13.439506671815
"135","AUS",1998,13.522510425935
"136","AUS",1999,13.81073860422
"137","AUS",2000,13.465562701669
"138","AUS",2001,13.567308989112
"139","AUS",2002,13.674958197385
"140","AUS",2003,13.894433405595
"141","AUS",2004,13.894433405595
"142","AUS",2005,14.011186351363
"143","AUS",2006,14.207704697087
"144","AUS",2007,14.45276200945
"145","AUS",2008,14.769907409272
"146","AUS",2009,15.066612746606
"147","AUS",2010,14.921489792521
"148","AUS",2011,14.997615246645
"149","AUS",2012,15.102268009086
"150","AUS",2013,15.407847688082
"151","AUS",2014,15.690936446257
"152","AUS",2015,15.475267421378
"153","AUS",2016,15.577079846321
"154","AUS",2017,15.66265223794
"155","AUS",2018,15.633579742122
"156","AUS",2019,15.612518821301
"157","AUS",2020,15.664012644603
"158","AUS",2021,15.701761689248
"159","AUS",2022,15.739665928042
"160","AUT",1970,10.266186834574
"161","AUT",1971,10.366919839655
"162","AUT",1972,10.463586097754
"163","AUT",1973,10.554005868525
"164","AUT",1974,10.63546732901
"165","AUT",1975,10.706255451346
"166","AUT",1976,10.764369863444
"167","AUT",1977,10.812308217338
"168","AUT",1978,10.853585641019
"169","AUT",1979,10.893239802987
"170","AUT",1980,10.935284339689
"171","AUT",1981,10.943227158919
"172","AUT",1982,10.95499588239
"173","AUT",1983,10.971100619985
"174","AUT",1984,10.991587294892
"175","AUT",1985,11.016649134077
"176","AUT",1986,11.036782518998
"177","AUT",1987,11.061482011937
"178","AUT",1988,11.093778185667
"179","AUT",1989,11.137602765739
"180","AUT",1990,11.195007041571
"181","AUT",1991,9.616227227625
"182","AUT",1992,5.53529166465
"183","AUT",1993,4.978187498475
"184","AUT",1994,4.5283333323
"185","AUT",1995,4.6355833323
"186","AUT",1996,4.7428333323
"187","AUT",1997,4.8500833323
"188","AUT",1998,4.9573333323
"189","AUT",1999,5.0645833323
"190","AUT",2000,5.0645833323
"191","AUT",2001,5.0645833323
"192","AUT",2002,5.0645833323
"193","AUT",2003,5.0645833323
"194","AUT",2004,5.0645833323
"195","AUT",2005,5.0645833323
"196","AUT",2006,4.1708333325
"197","AUT",2007,3.336666666
"198","AUT",2008,2.5024999995
"199","AUT",2009,1.668333333
"200","AUT",2010,0.8341666665
"201","AUT",2011,0.8341666665
"202","AUT",2012,0.8341666665
"203","AUT",2013,0.8341666665
"204","AUT",2014,0.8341666665
"205","AUT",2015,0.8341666665
"206","AUT",2016,0.8341666665
"207","AUT",2017,0.8341666665
"208","AUT",2018,0.8341666665
"209","AUT",2019,0.8341666665
"210","AUT",2020,0.8341666665
"211","AUT",2021,0.8341666665
"212","AUT",2022,0.8341666665
"213","AZE",1970,1.06457133828
"214","AZE",1971,1.0641745834339
"215","AZE",1972,1.0925931045031
"216","AZE",1973,1.1207170238999
"217","AZE",1974,1.148763647688
"218","AZE",1975,1.1769053099405
"219","AZE",1976,1.2005778806343
"220","AZE",1977,1.2243479491982
"221","AZE",1978,1.2483324252403
"222","AZE",1979,1.2726436509011
"223","AZE",1980,1.2973784213634
"224","AZE",1981,1.321774408686
"225","AZE",1982,1.3466361020512
"226","AZE",1983,1.3720982417587
"227","AZE",1984,1.3983161217132
"228","AZE",1985,1.4253719563351
"229","AZE",1986,1.4507187674809
"230","AZE",1987,1.4766869299177
