"","ISO3","year","value"
"1","ABW",1991,27.75
"2","ABW",1992,40.9
"3","ABW",1993,42.83
"4","ABW",1994,57.16
"5","ABW",1995,72.82
"6","ABW",1996,19.24
"7","ABW",1997,86.61
"8","ABW",1998,91.14
"9","ABW",1999,86.1
"10","ABW",2000,77.35
"11","ABW",2001,81.77
"12","ABW",2002,91.85
"13","ABW",2003,117.74
"14","ABW",2004,127.22
"15","ABW",2005,144.37
"16","ABW",2006,143.27
"17","ABW",2007,164.57
"18","ABW",2008,160.43
"19","ABW",2009,178.31
"20","ABW",2010,168.06
"21","ABW",2011,78.07
"22","ABW",2012,116.55
"23","ABW",2013,145
"24","ABW",2014,150.93
"25","ABW",2015,151.66
"26","ABW",2016,160.99
"27","ABW",2017,146.76
"28","ABW",2018,165.19
"29","ABW",2019,204.14
"30","ABW",2020,161.31
"31","ABW",2021,153.1
"32","ABW",2022,162.34
"33","AFG",1991,375.08
"34","AFG",1992,342.1
"35","AFG",1993,348.19
"36","AFG",1994,353.67
"37","AFG",1995,367.37
"38","AFG",1996,413.82
"39","AFG",1997,451.5
"40","AFG",1998,480.86
"41","AFG",1999,516.38
"42","AFG",2000,450.99
"43","AFG",2001,393.43
"44","AFG",2002,485.28
"45","AFG",2003,509.03
"46","AFG",2004,511.01
"47","AFG",2005,524.89
"48","AFG",2006,534.2
"49","AFG",2007,574.13
"50","AFG",2008,694.01
"51","AFG",2009,805.3
"52","AFG",2010,939.17
"53","AFG",2011,1086.91
"54","AFG",2012,1017.66
"55","AFG",2013,963.64
"56","AFG",2014,974.5
"57","AFG",2015,974.28
"58","AFG",2016,952.14
"59","AFG",2017,993.83
"60","AFG",2018,982.32
"61","AFG",2019,943.75
"62","AFG",2020,868.75
"63","AFG",2021,896.47
"64","AFG",2022,902.12
"65","AGO",1991,208.5
"66","AGO",1992,200.73
"67","AGO",1993,234.63
"68","AGO",1994,333.4
"69","AGO",1995,399.09
"70","AGO",1996,496.77
"71","AGO",1997,521.98
"72","AGO",1998,568.55
"73","AGO",1999,575.36
"74","AGO",2000,533.03
"75","AGO",2001,513.9
"76","AGO",2002,502.83
"77","AGO",2003,505.06
"78","AGO",2004,559.3
"79","AGO",2005,551.39
"80","AGO",2006,489.61
"81","AGO",2007,482.15
"82","AGO",2008,520.46
"83","AGO",2009,530.48
"84","AGO",2010,592.11
"85","AGO",2011,579.36
"86","AGO",2012,594.61
"87","AGO",2013,635.11
"88","AGO",2014,654.61
"89","AGO",2015,698.23
"90","AGO",2016,671.52
"91","AGO",2017,625.39
"92","AGO",2018,592.86
"93","AGO",2019,585.95
"94","AGO",2020,534.99
"95","AGO",2021,516.66
"96","AGO",2022,488.9
"97","ALB",1991,36.19
"98","ALB",1992,-7.3
"99","ALB",1993,-6.71
"100","ALB",1994,3.74
"101","ALB",1995,-1.65
"102","ALB",1996,-5.57
"103","ALB",1997,-16.79
"104","ALB",1998,-12.75
"105","ALB",1999,5.48
"106","ALB",2000,8.65
"107","ALB",2001,11.53
"108","ALB",2002,20.99
"109","ALB",2003,23.88
"110","ALB",2004,27.06
"111","ALB",2005,20.94
"112","ALB",2006,21.63
"113","ALB",2007,20.97
"114","ALB",2008,17.71
"115","ALB",2009,17.38
"116","ALB",2010,22.02
"117","ALB",2011,28.06
"118","ALB",2012,23.7
"119","ALB",2013,27.63
"120","ALB",2014,35.03
"121","ALB",2015,32.61
"122","ALB",2016,26.83
"123","ALB",2017,39.17
"124","ALB",2018,38.39
"125","ALB",2019,31.09
"126","ALB",2020,17.83
"127","ALB",2021,18.36
"128","ALB",2022,19.64
"129","ARE",1991,65.69
"130","ARE",1992,63.83
"131","ARE",1993,76.09
"132","ARE",1994,86.86
"133","ARE",1995,98.26
"134","ARE",1996,108.63
"135","ARE",1997,113.08
"136","ARE",1998,115.1
"137","ARE",1999,120.85
"138","ARE",2000,124.76
"139","ARE",2001,150.23
"140","ARE",2002,153.12
"141","ARE",2003,167.72
"142","ARE",2004,180.22
"143","ARE",2005,198.51
"144","ARE",2006,211
"145","ARE",2007,229.65
"146","ARE",2008,278.29
"147","ARE",2009,280.01
"148","ARE",2010,295.8
"149","ARE",2011,309.7
"150","ARE",2012,328.81
"151","ARE",2013,349.55
"152","ARE",2014,355.42
"153","ARE",2015,379.94
"154","ARE",2016,394.76
"155","ARE",2017,376.88
"156","ARE",2018,346.04
"157","ARE",2019,372.84
"158","ARE",2020,377.39
"159","ARE",2021,404.63
"160","ARE",2022,419.33
"161","ARG",1991,167.92
"162","ARG",1992,169.99
"163","ARG",1993,172.7
"164","ARG",1994,178.54
"165","ARG",1995,181.61
"166","ARG",1996,189.41
"167","ARG",1997,194.53
"168","ARG",1998,199.47
"169","ARG",1999,207.03
"170","ARG",2000,205.08
"171","ARG",2001,200.86
"172","ARG",2002,199.77
"173","ARG",2003,223.07
"174","ARG",2004,243.34
"175","ARG",2005,246.42
"176","ARG",2006,260.24
"177","ARG",2007,267.05
"178","ARG",2008,267.76
"179","ARG",2009,244.83
"180","ARG",2010,247.89
"181","ARG",2011,255.41
"182","ARG",2012,260.48
"183","ARG",2013,270
"184","ARG",2014,268.34
"185","ARG",2015,276.86
"186","ARG",2016,277.64
"187","ARG",2017,280.92
"188","ARG",2018,280.04
"189","ARG",2019,275.48
"190","ARG",2020,260.68
"191","ARG",2021,280.17
"192","ARG",2022,284.76
"193","ARM",1991,19.82
"194","ARM",1992,-33.13
"195","ARM",1993,-63.62
"196","ARM",1994,-74.96
"197","ARM",1995,-71.65
"198","ARM",1996,-76.25
"199","ARM",1997,-72.8
"200","ARM",1998,-72.6
"201","ARM",1999,-74.38
"202","ARM",2000,-71.83
"203","ARM",2001,-71.26
"204","ARM",2002,-73.32
"205","ARM",2003,-71.09
"206","ARM",2004,-68.78
"207","ARM",2005,-65.13
"208","ARM",2006,-65.26
"209","ARM",2007,-61.54
"210","ARM",2008,-59.24
"211","ARM",2009,-65.51
"212","ARM",2010,-66.74
"213","ARM",2011,-63.7
"214","ARM",2012,-59.47
"215","ARM",2013,-59.43
"216","ARM",2014,-59.05
"217","ARM",2015,-59.36
"218","ARM",2016,-60.29
"219","ARM",2017,-59.31
"220","ARM",2018,-58.53
"221","ARM",2019,-56.2
"222","ARM",2020,-53.6
"223","ARM",2021,-52.63
"224","ARM",2022,-55.67
"225","ASM",1991,10203.62
"226","ASM",1992,10310.66
"227","ASM",1993,10413.13
"228","ASM",1994,10506.97
"229","ASM",1995,10600.63
"230","ASM",1996,10685.19
"231","ASM",1997,10770.42
"232","ASM",1998,10866.16
"233","ASM",1999,10945.22
"234","ASM",2000,11032.13
"235","ASM",2001,11692.83
"236","ASM",2002,11756.51
"237","ASM",2003,11830.52
"238","ASM",2004,11821.31
"239","ASM",2005,11779.63
"240","ASM",2006,11752.34
"241","ASM",2007,11743.56
"242","ASM",2008,11664.7
"243","ASM",2009,11601.57
"244","ASM",2010,11550.9
"245","ASM",2011,11533.69
"246","ASM",2012,11524.68
"247","ASM",2013,11546.49
"248","ASM",2014,11562.69
"249","ASM",2015,11574.81
"250","ASM",2016,11579.12
"251","ASM",2017,11579.18
"252","ASM",2018,11587.7
"253","ASM",2019,11598.21
"254","ASM",2020,11613.99
"255","ASM",2021,11622.6
"256","ASM",2022,11627.66
"257","ATG",1991,61.92
"258","ATG",1992,63.27
"259","ATG",1993,62.23
"260","ATG",1994,69.81
"261","ATG",1995,76.01
"262","ATG",1996,75.79
"263","ATG",1997,81.85
"264","ATG",1998,85.41
"265","ATG",1999,82.52
"266","ATG",2000,46.5
"267","ATG",2001,46.59
"268","ATG",2002,55.81
"269","ATG",2003,65.35
"270","ATG",2004,68.76
"271","ATG",2005,71.92
"272","ATG",2006,83.57
"273","ATG",2007,97.05
"274","ATG",2008,108.08
"275","ATG",2009,127.61
"276","ATG",2010,121.63
"277","ATG",2011,81.83
"278","ATG",2012,95.89
"279","ATG",2013,125.36
"280","ATG",2014,131.64
"281","ATG",2015,131.03
"282","ATG",2016,144.47
"283","ATG",2017,117.6
"284","ATG",2018,143.23
"285","ATG",2019,164.92
"286","ATG",2020,132.49
"287","ATG",2021,126.19
"288","ATG",2022,133.22
"289","AUS",1991,65.78
"290","AUS",1992,66.35
"291","AUS",1993,67.46
"292","AUS",1994,69.43
"293","AUS",1995,72.2
"294","AUS",1996,77.09
"295","AUS",1997,81.76
"296","AUS",1998,89.73
"297","AUS",1999,92.34
"298","AUS",2000,95.54
"299","AUS",2001,99.06
"300","AUS",2002,102.17
"301","AUS",2003,98.91
"302","AUS",2004,106.29
"303","AUS",2005,107.77
"304","AUS",2006,109.36
"305","AUS",2007,112.43
"306","AUS",2008,111.75
"307","AUS",2009,115
"308","AUS",2010,116.87
"309","AUS",2011,118.29
"310","AUS",2012,119.18
"311","AUS",2013,115.13
"312","AUS",2014,110.93
"313","AUS",2015,113.86
"314","AUS",2016,114.02
"315","AUS",2017,116.57
"316","AUS",2018,115.38
"317","AUS",2019,114.75
"318","AUS",2020,106.37
"319","AUS",2021,102.34
"320","AUS",2022,105.84
"321","AUT",1991,38.96
"322","AUT",1992,29.95
"323","AUT",1993,29.92
"324","AUT",1994,30.5
"325","AUT",1995,35.13
"326","AUT",1996,41.55
"327","AUT",1997,40.28
"328","AUT",1998,40.58
"329","AUT",1999,37.27
"330","AUT",2000,37.49
"331","AUT",2001,45.43
"332","AUT",2002,47.89
"333","AUT",2003,57.28
"334","AUT",2004,56.82
"335","AUT",2005,57.17
"336","AUT",2006,53.11
"337","AUT",2007,48.04
"338","AUT",2008,47.09
"339","AUT",2009,35.66
"340","AUT",2010,45.68
"341","AUT",2011,42.76
"342","AUT",2012,37.46
"343","AUT",2013,38.56
"344","AUT",2014,32.59
"345","AUT",2015,34.18
"346","AUT",2016,35.31
"347","AUT",2017,39.3
"348","AUT",2018,34.38
"349","AUT",2019,36.9
"350","AUT",2020,27.01
"351","AUT",2021,31.74
"352","AUT",2022,24.47
"353","AZE",1991,23.95
"354","AZE",1992,4.17
"355","AZE",1993,-7.55
"356","AZE",1994,-16.75
"357","AZE",1995,-18.82
"358","AZE",1996,-28.47
"359","AZE",1997,-29.4
"360","AZE",1998,-28.63
"361","AZE",1999,-27.22
"362","AZE",2000,-23.84
"363","AZE",2001,-25.53
"364","AZE",2002,-25.98
"365","AZE",2003,-20.36
"366","AZE",2004,-20.37
"367","AZE",2005,-14.62
"368","AZE",2006,-11.66
"369","AZE",2007,-8.03
"370","AZE",2008,2.78
"371","AZE",2009,-9.26
"372","AZE",2010,-10.63
"373","AZE",2011,-5.49
"374","AZE",2012,1.02
"375","AZE",2013,3.66
"376","AZE",2014,7.41
"377","AZE",2015,6.65
"378","AZE",2016,6.83
"379","AZE",2017,6.2
"380","AZE",2018,8.78
"381","AZE",2019,18.2
"382","AZE",2020,16.76
"383","AZE",2021,25.05
"384","AZE",2022,26.58
"385","BDI",1991,1466.65
"386","BDI",1992,1444.54
"387","BDI",1993,1460.81
"388","BDI",1994,1438.5
"389","BDI",1995,1485.92
"390","BDI",1996,1522.07
"391","BDI",1997,1548.93
"392","BDI",1998,1529.03
"393","BDI",1999,1490.79
"394","BDI",2000,1532.14
"395","BDI",2001,1542.73
"396","BDI",2002,1534.26
"397","BDI",2003,1567.38
"398","BDI",2004,1662.28
"399","BDI",2005,1727.78
"400","BDI",2006,1842.43
"401","BDI",2007,1992.74
"402","BDI",2008,2020.6
"403","BDI",2009,2129.52
"404","BDI",2010,2322.22
"405","BDI",2011,2483.39
"406","BDI",2012,2516.15
"407","BDI",2013,2872.98
"408","BDI",2014,2875.4
"409","BDI",2015,2907.36
"410","BDI",2016,3089.84
