"","ISO3","year","value"
"1","ABW",1970,0.290247492660843
"2","ABW",1971,0.289444708590125
"3","ABW",1972,0.29288822950637
"4","ABW",1973,0.321773140622354
"5","ABW",1974,0.31583153119367
"6","ABW",1975,0.320623362755195
"7","ABW",1976,0.342503321334117
"8","ABW",1977,0.364311681214303
"9","ABW",1978,0.369949846818994
"10","ABW",1979,0.39213424718828
"11","ABW",1980,0.370852298947903
"12","ABW",1981,0.379061002311673
"13","ABW",1982,0.392419483662482
"14","ABW",1983,0.388123511531498
"15","ABW",1984,0.438347104884745
"16","ABW",1985,0.454362580980979
"17","ABW",1986,0.484188000431925
"18","ABW",1987,0.48396145925481
"19","ABW",1988,0.527373461879016
"20","ABW",1989,0.637771389173359
"21","ABW",1990,1.08189902992661
"22","ABW",1991,1.33618607823145
"23","ABW",1992,1.22285632401082
"24","ABW",1993,1.25247227028283
"25","ABW",1994,1.34105334115538
"26","ABW",1995,1.40554079364737
"27","ABW",1996,1.0920286844684
"28","ABW",1997,1.49499367191949
"29","ABW",1998,1.51278263799355
"30","ABW",1999,1.47675088593034
"31","ABW",2000,52.9047579242897
"32","ABW",2001,52.9210612067077
"33","ABW",2002,53.0343022404636
"34","ABW",2003,56.8982819813476
"35","ABW",2004,63.4352089808998
"36","ABW",2005,63.9789465942415
"37","ABW",2006,36.0616122199097
"38","ABW",2007,36.9801218852238
"39","ABW",2008,33.3979263323435
"40","ABW",2009,30.0917064319518
"41","ABW",2010,19.7892317584586
"42","ABW",2011,26.0106602870541
"43","ABW",2012,5.95556936384171
"44","ABW",2013,2.9242731326427
"45","ABW",2014,3.36411748602688
"46","ABW",2015,3.20152208827274
"47","ABW",2016,3.33234405109777
"48","ABW",2017,3.32764479668612
"49","ABW",2018,3.47844391351588
"50","ABW",2019,3.49734153557939
"51","ABW",2020,3.40924192101248
"52","ABW",2021,3.46923009942229
"53","ABW",2022,3.50568952385947
"54","AFG",1970,938.016604035098
"55","AFG",1971,938.997538250986
"56","AFG",1972,1020.43995261097
"57","AFG",1973,991.411436366432
"58","AFG",1974,1042.27387014313
"59","AFG",1975,1059.66989279695
"60","AFG",1976,920.926673313808
"61","AFG",1977,920.636570937869
"62","AFG",1978,897.646405273568
"63","AFG",1979,856.571944982253
"64","AFG",1980,1009.97389549865
"65","AFG",1981,973.243121921639
"66","AFG",1982,941.525380243032
"67","AFG",1983,984.850175042731
"68","AFG",1984,1040.24424137607
"69","AFG",1985,1153.9734753141
"70","AFG",1986,1157.21905643289
"71","AFG",1987,801.161505046152
"72","AFG",1988,682.416050346115
"73","AFG",1989,272.424643036644
"74","AFG",1990,252.76902610218
"75","AFG",1991,246.612900536343
"76","AFG",1992,195.417733002134
"77","AFG",1993,191.089260842235
"78","AFG",1994,205.426407615588
"79","AFG",1995,249.921533738321
"80","AFG",1996,280.873393410883
"81","AFG",1997,294.096760967592
"82","AFG",1998,307.703235011313
"83","AFG",1999,321.072223102489
"84","AFG",2000,347.030259234268
"85","AFG",2001,341.466539748426
"86","AFG",2002,370.713497008682
"87","AFG",2003,357.422074600186
"88","AFG",2004,353.325350705337
"89","AFG",2005,384.777120078283
"90","AFG",2006,383.321458565937
"91","AFG",2007,500.640852404497
"92","AFG",2008,576.766410607289
"93","AFG",2009,626.859005954168
"94","AFG",2010,793.406170033572
"95","AFG",2011,1172.49981177442
"96","AFG",2012,1062.84964724511
"97","AFG",2013,1123.19655215147
"98","AFG",2014,1206.83168800218
"99","AFG",2015,1128.60310689754
"100","AFG",2016,1289.34864981036
"101","AFG",2017,1528.15971107686
"102","AFG",2018,1651.07412499291
"103","AFG",2019,1515.49319178372
"104","AFG",2020,755.530860024732
"105","AFG",2021,1229.54110770977
"106","AFG",2022,1208.49265613158
"107","AGO",1970,5104.7300392517
"108","AGO",1971,5092.40790972725
"109","AGO",1972,5749.34650805332
"110","AGO",1973,6282.26699387953
"111","AGO",1974,6481.87717290262
"112","AGO",1975,6133.80379356754
"113","AGO",1976,6041.31962795748
"114","AGO",1977,5828.02841338204
"115","AGO",1978,5577.73276470312
"116","AGO",1979,5962.28908563293
"117","AGO",1980,6106.999708334
"118","AGO",1981,5655.29234164595
"119","AGO",1982,5517.62074387112
"120","AGO",1983,6843.90194648532
"121","AGO",1984,7603.11514829523
"122","AGO",1985,8196.56891623423
"123","AGO",1986,9445.78835456345
