"","ISO3","year","value"
"1","ABW",1970,17.6753883263477
"2","ABW",1971,18.8451496833158
"3","ABW",1972,18.9511179338459
"4","ABW",1973,19.0580810798083
"5","ABW",1974,19.1297965630134
"6","ABW",1975,19.1529179224208
"7","ABW",1976,19.1139286745778
"8","ABW",1977,19.027208911108
"9","ABW",1978,18.9253862323361
"10","ABW",1979,18.8643180511103
"11","ABW",1980,18.8762706258753
"12","ABW",1981,19.0058406678713
"13","ABW",1982,19.2319817071027
"14","ABW",1983,19.4864652157697
"15","ABW",1984,19.6773424935125
"16","ABW",1985,19.7335416100311
"17","ABW",1986,19.614013999529
"18","ABW",1987,19.3587610866504
"19","ABW",1988,19.1131635995697
"20","ABW",1989,19.0765885257072
"21","ABW",1990,19.3941917343481
"22","ABW",1991,20.1335048157445
"23","ABW",1992,21.1385677549064
"24","ABW",1993,22.3378988507398
"25","ABW",1994,23.5416712153073
"26","ABW",1995,24.4826099065528
"27","ABW",1996,25.146829377945
"28","ABW",1997,25.739230060087
"29","ABW",1998,26.1200855625381
"30","ABW",1999,26.4361052171891
"31","ABW",2000,26.9090803049514
"32","ABW",2001,27.1761651169716
"33","ABW",2002,27.419693267539
"34","ABW",2003,27.7519632614515
"35","ABW",2004,28.1410066777415
"36","ABW",2005,28.2888324587624
"37","ABW",2006,28.3716190825591
"38","ABW",2007,28.3640511696332
"39","ABW",2008,28.2510157177829
"40","ABW",2009,27.8825448973284
"41","ABW",2010,27.6748194342088
"42","ABW",2011,27.7698088399773
"43","ABW",2012,27.8470964376188
"44","ABW",2013,28.05311904949
"45","ABW",2014,28.2060887541181
"46","ABW",2015,28.3096579319409
"47","ABW",2016,28.4501353297931
"48","ABW",2017,28.6259168845823
"49","ABW",2018,28.7968223497994
"50","ABW",2019,28.9433144744537
"51","ABW",2020,29.0929973328553
"52","ABW",2021,29.2623539169558
"53","ABW",2022,29.3914484676201
"54","AFG",1970,1418.71411276883
"55","AFG",1971,1464.99970883798
"56","AFG",1972,1504.05504774617
"57","AFG",1973,1546.48907383879
"58","AFG",1974,1587.1682727076
"59","AFG",1975,1625.19938842329
"60","AFG",1976,1672.80065215073
"61","AFG",1977,1707.14472275897
"62","AFG",1978,1734.18771034478
"63","AFG",1979,1746.56752570246
"64","AFG",1980,1744.24003681057
"65","AFG",1981,1723.58632650763
"66","AFG",1982,1688.60587784751
"67","AFG",1983,1645.2404936195
"68","AFG",1984,1604.26320048743
"69","AFG",1985,1574.67966746458
"70","AFG",1986,1554.78726715701
"71","AFG",1987,1548.85198569227
"72","AFG",1988,1560.38026628314
"73","AFG",1989,1589.31529074719
"74","AFG",1990,1651.51294215215
"75","AFG",1991,1749.90966269471
"76","AFG",1992,1881.3206869236
"77","AFG",1993,2029.93286004676
"78","AFG",1994,2170.1167095728
"79","AFG",1995,2295.64455871184
"80","AFG",1996,2394.5946708991
"81","AFG",1997,2473.46921546787
"82","AFG",1998,2542.10273827659
"83","AFG",1999,2615.40550169535
"84","AFG",2000,2708.44047436522
"85","AFG",2001,2825.1230969523
"86","AFG",2002,2964.37739805581
"87","AFG",2003,3115.70974072639
"88","AFG",2004,3260.07328654905
"89","AFG",2005,3402.08566535914
"90","AFG",2006,3518.5525639556
"91","AFG",2007,3636.51704729991
"92","AFG",2008,3735.5232950439
"93","AFG",2009,3871.55388575463
"94","AFG",2010,4011.8462507436
"95","AFG",2011,4142.42462420213
"96","AFG",2012,4305.84688940768
"97","AFG",2013,4468.04267543013
"98","AFG",2014,4615.74975581009
"99","AFG",2015,4753.47551498849
"100","AFG",2016,4887.20434523732
"101","AFG",2017,5018.10316337977
"102","AFG",2018,5139.44882074593
"103","AFG",2019,5261.41824047141
"104","AFG",2020,5392.23873621651
"105","AFG",2021,5519.15331371218
"106","AFG",2022,5647.72912718986
"107","AGO",1970,1026.35808288548
"108","AGO",1971,1050.01898614053
"109","AGO",1972,1080.25970044756
"110","AGO",1973,1119.48986944967
"111","AGO",1974,1138.89362825398
"112","AGO",1975,1173.0312003919
"113","AGO",1976,1207.47449774914
"114","AGO",1977,1244.60032353705
"115","AGO",1978,1284.42295188965
"116","AGO",1979,1328.14866864372
"117","AGO",1980,1375.65356751698
"118","AGO",1981,1427.14867664743
"119","AGO",1982,1482.69706766607
"120","AGO",1983,1478.62617839829
"121","AGO",1984,1537.53812127534
"122","AGO",1985,1595.68130140531
"123","AGO",1986,1650.84435120589
"124","AGO",1987,1704.46562439315
"125","AGO",1988,1758.90451607722
"126","AGO",1989,1816.79990487013
"127","AGO",1990,1880.82975577787
"128","AGO",1991,1950.69034969457
"129","AGO",1992,2020.83863267903
"130","AGO",1993,2074.34469182772
"131","AGO",1994,2149.71870092936
"132","AGO",1995,2234.61300495723
"133","AGO",1996,2324.46635727399
"134","AGO",1997,2408.43252484295
"135","AGO",1998,2491.71625522889
"136","AGO",1999,2576.46144491216
"137","AGO",2000,2671.83033125208
"138","AGO",2001,2775.55145483767
"139","AGO",2002,2903.17827529503
"140","AGO",2003,3025.88685106641
"141","AGO",2004,7157.6902146855
"142","AGO",2005,7166.79457731638
"143","AGO",2006,3494.92976838995
"144","AGO",2007,3683.85456962287
"145","AGO",2008,3883.46681130085
"146","AGO",2009,4056.45937238919
"147","AGO",2010,4234.73102621751
"148","AGO",2011,4418.98049434932
"149","AGO",2012,4623.65256288425
"150","AGO",2013,4828.93025752792
"151","AGO",2014,5039.067118529
"152","AGO",2015,5231.6116086096
"153","AGO",2016,5409.01866592999
"154","AGO",2017,5594.5745537501
"155","AGO",2018,5775.23274893689
"156","AGO",2019,5967.00075707373
"157","AGO",2020,6163.03298580341
"158","AGO",2021,6359.85485468726
"159","AGO",2022,6561.17412135958
"160","ALB",1970,195.553527085089
"161","ALB",1971,210.462361659107
"162","ALB",1972,217.488435971952
"163","ALB",1973,223.540604752597
"164","ALB",1974,229.673740135118
"165","ALB",1975,235.94050491044
"166","ALB",1976,243.55237078692
"167","ALB",1977,251.015356202289
"168","ALB",1978,266.819296532981
"169","ALB",1979,273.763993118832
"170","ALB",1980,281.268338603193
"171","ALB",1981,288.752019371401
"172","ALB",1982,295.616541946058
"173","ALB",1983,302.852939663459
"174","ALB",1984,311.228827949969
"175","ALB",1985,319.227698841971
"176","ALB",1986,330.383751552113
"177","ALB",1987,339.688509098249
"178","ALB",1988,352.232240868373
"179","ALB",1989,364.77496051463
"180","ALB",1990,385.435608157897
"181","ALB",1991,370.115824061593
"182","ALB",1992,353.859108854684
"183","ALB",1993,356.642620480732
"184","ALB",1994,359.244672029585
"185","ALB",1995,364.993158585772
"186","ALB",1996,371.1853722124
"187","ALB",1997,370.609885333157
"188","ALB",1998,378.826452416341
"189","ALB",1999,371.280967594817
"190","ALB",2000,380.235881829448
"191","ALB",2001,391.070299605129
"192","ALB",2002,401.513685147961
"193","ALB",2003,411.809320228072
"194","ALB",2004,421.712511375782
"195","ALB",2005,431.079453208387
"196","ALB",2006,440.655583047078
"197","ALB",2007,450.020567736547
"198","ALB",2008,455.716460395053
"199","ALB",2009,464.489580157101
"200","ALB",2010,473.021272076084
"201","ALB",2011,482.054946991521
"202","ALB",2012,491.439331240273
"203","ALB",2013,501.481163969933
"204","ALB",2014,511.838303348784
"205","ALB",2015,523.470508375606
"206","ALB",2016,533.067891149881
"207","ALB",2017,542.856597321947
"208","ALB",2018,553.287713536743
"209","ALB",2019,564.673398116991
"210","ALB",2020,573.77208299773
"211","ALB",2021,583.68325844485
"212","ALB",2022,593.881357029563
"213","ARE",1970,152.21877740448
"214","ARE",1971,195.46967532212
"215","ARE",1972,232.943530203292
"216","ARE",1973,277.653716262872
"217","ARE",1974,329.405151690665
"218","ARE",1975,386.997631289491
"219","ARE",1976,452.455323192015
"220","ARE",1977,524.999023437602
"221","ARE",1978,600.520464003628
"222","ARE",1979,673.877642294244
"223","ARE",1980,741.487948492062
"224","ARE",1981,797.250416762504
"225","ARE",1982,845.245136904765
"226","ARE",1983,888.242692391267
"227","ARE",1984,976.117531665643
"228","ARE",1985,1070.57552811788
"229","ARE",1986,1135.05160995373
"230","ARE",1987,1199.47065017012
"231","ARE",1988,1263.56970448432
"232","ARE",1989,1332.34645013354
"233","ARE",1990,1399.62767759038
"234","ARE",1991,1459.45526990236
"235","ARE",1992,1527.53957302152
"236","ARE",1993,1600.20189937068
"237","ARE",1994,1682.85538042973
"238","ARE",1995,1795.41255153151
"239","ARE",1996,1909.48514282108
"240","ARE",1997,2033.05795795734
"241","ARE",1998,2143.94046060562
"242","ARE",1999,2270.25316028365
"243","ARE",2000,2425.09442322843
"244","ARE",2001,2563.30331126485
"245","ARE",2002,2714.72679453956
"246","ARE",2003,2926.43370773555
"247","ARE",2004,3198.93384764216
"248","ARE",2005,3518.17114865351
"249","ARE",2006,3997.6261331182
"250","ARE",2007,4533.98731099051
"251","ARE",2008,5104.96329042417
"252","ARE",2009,5585.93957427121
"253","ARE",2010,6028.34095458186
"254","ARE",2011,6442.92390670284
"255","ARE",2012,6672.06281938647
"256","ARE",2013,6890.01190827365
"257","ARE",2014,7048.63065849622
"258","ARE",2015,7228.501826574
"259","ARE",2016,7351.86796763202
"260","ARE",2017,7447.85109144457
"261","ARE",2018,7563.60934147479
"262","ARE",2019,7703.21186387074
"263","ARE",2020,7847.82790291305
"264","ARE",2021,8042.43457089162
"265","ARE",2022,8215.27405236912
"266","ARG",1970,9288.52145969223
"267","ARG",1971,9952.78233639308
"268","ARG",1972,10275.4120449591
"269","ARG",1973,10500.4912278679
"270","ARG",1974,10719.2683742425
"271","ARG",1975,10912.247756466
"272","ARG",1976,11270.1105162154
"273","ARG",1977,11459.9591458042
"274","ARG",1978,11731.5629284992
"275","ARG",1979,12097.2314228059
"276","ARG",1980,12099.4729432095
"277","ARG",1981,12241.2846075817
"278","ARG",1982,12772.9670458769
"279","ARG",1983,13283.5351492436
"280","ARG",1984,13595.7650912945
"281","ARG",1985,13882.4386331472
"282","ARG",1986,14286.0903236059
"283","ARG",1987,14554.9461021367
"284","ARG",1988,14609.0285000751
"285","ARG",1989,14803.6786458674
"286","ARG",1990,15100.4483940444
"287","ARG",1991,15391.4989102527
"288","ARG",1992,15763.3565497152
"289","ARG",1993,16209.7050423112
"290","ARG",1994,16563.5353183351
"291","ARG",1995,16643.087135712
"292","ARG",1996,16788.3767706222
"293","ARG",1997,17409.7068432087
"294","ARG",1998,17380.5122728667
"295","ARG",1999,17410.6897897948
"296","ARG",2000,17751.2921938484
"297","ARG",2001,18053.2000271742
"298","ARG",2002,18105.2608501528
"299","ARG",2003,18727.8344455927
"300","ARG",2004,19338.0684126652
"301","ARG",2005,17923.0162406859
"302","ARG",2006,18390.6938430012
"303","ARG",2007,15335.2003594569
"304","ARG",2008,14287.9659012782
"305","ARG",2009,14120.1545973342
"306","ARG",2010,14183.6746143624
"307","ARG",2011,14278.3460720502
"308","ARG",2012,14569.1605091598
"309","ARG",2013,14872.7047743954
"310","ARG",2014,15143.806044654
"311","ARG",2015,15322.7204820038
"312","ARG",2016,15426.205447025
"313","ARG",2017,15670.1314916174
"314","ARG",2018,15852.7368874456
"315","ARG",2019,15896.0430741773
"316","ARG",2020,15774.9391724946
"317","ARG",2021,15770.9407064762
"318","ARG",2022,15888.0793998166
"319","ARM",1970,399.31794133261
"320","ARM",1971,451.248659326825
"321","ARM",1972,470.156583913532
"322","ARM",1973,489.441669651029
"323","ARM",1974,508.628974607129
"324","ARM",1975,525.625459804313
"325","ARM",1976,542.355721238185
"326","ARM",1977,558.605518071307
"327","ARM",1978,575.072059642548
"328","ARM",1979,590.98403163353
"329","ARM",1980,604.732456968732
"330","ARM",1981,618.688254907131
"331","ARM",1982,629.658871831914
"332","ARM",1983,640.168175533281
"333","ARM",1984,652.974499269302
"334","ARM",1985,663.540560700567
"335","ARM",1986,681.433753038769
"336","ARM",1987,695.655475971263
"337","ARM",1988,701.218826174331
"338","ARM",1989,707.643024145327
"339","ARM",1990,700.843511899482
"340","ARM",1991,678.334910775592
"341","ARM",1992,588.832563990728
"342","ARM",1993,551.581343642003
"343","ARM",1994,547.050230476742
"344","ARM",1995,546.626102567824
"345","ARM",1996,546.647605410203
"346","ARM",1997,545.448518105949
"347","ARM",1998,548.825905193994
"348","ARM",1999,544.38372490584
"349","ARM",2000,562.846922018335
"350","ARM",2001,569.107626076424
"351","ARM",2002,580.950141142504
"352","ARM",2003,589.869845256586
"353","ARM",2004,600.031039715556
"354","ARM",2005,611.062103452024
"355","ARM",2006,622.916640139184
"356","ARM",2007,462.420511242225
"357","ARM",2008,477.343524114288
"358","ARM",2009,465.628716333735
