"","ISO3","year","value"
"1","ABW",1991,1081.21
"2","ABW",1992,1202.79
"3","ABW",1993,1220.59
"4","ABW",1994,1353.11
"5","ABW",1995,1497.91
"6","ABW",1996,1002.56
"7","ABW",1997,1625.39
"8","ABW",1998,1667.28
"9","ABW",1999,1620.7
"10","ABW",2000,1539.79
"11","ABW",2001,1580.67
"12","ABW",2002,1673.88
"13","ABW",2003,1913.3
"14","ABW",2004,2000.92
"15","ABW",2005,2159.45
"16","ABW",2006,2149.32
"17","ABW",2007,2346.25
"18","ABW",2008,2308.03
"19","ABW",2009,2473.36
"20","ABW",2010,2378.53
"21","ABW",2011,1546.43
"22","ABW",2012,1902.27
"23","ABW",2013,2165.32
"24","ABW",2014,2220.17
"25","ABW",2015,2226.91
"26","ABW",2016,2313.13
"27","ABW",2017,2181.63
"28","ABW",2018,2352.01
"29","ABW",2019,2712.17
"30","ABW",2020,2316.14
"31","ABW",2021,2240.25
"32","ABW",2022,2325.67
"33","AFG",1991,59.16
"34","AFG",1992,48.11
"35","AFG",1993,50.15
"36","AFG",1994,51.99
"37","AFG",1995,56.58
"38","AFG",1996,72.14
"39","AFG",1997,84.76
"40","AFG",1998,94.6
"41","AFG",1999,106.5
"42","AFG",2000,84.59
"43","AFG",2001,65.31
"44","AFG",2002,96.08
"45","AFG",2003,104.04
"46","AFG",2004,104.7
"47","AFG",2005,109.35
"48","AFG",2006,112.47
"49","AFG",2007,125.85
"50","AFG",2008,166.01
"51","AFG",2009,203.29
"52","AFG",2010,248.14
"53","AFG",2011,297.64
"54","AFG",2012,274.44
"55","AFG",2013,256.34
"56","AFG",2014,259.98
"57","AFG",2015,259.91
"58","AFG",2016,252.49
"59","AFG",2017,266.45
"60","AFG",2018,262.6
"61","AFG",2019,249.68
"62","AFG",2020,224.55
"63","AFG",2021,233.84
"64","AFG",2022,235.73
"65","AGO",1991,75.19
"66","AGO",1992,70.78
"67","AGO",1993,90.03
"68","AGO",1994,146.12
"69","AGO",1995,183.42
"70","AGO",1996,238.89
"71","AGO",1997,253.21
"72","AGO",1998,279.65
"73","AGO",1999,283.52
"74","AGO",2000,259.48
"75","AGO",2001,248.62
"76","AGO",2002,242.33
"77","AGO",2003,243.6
"78","AGO",2004,274.4
"79","AGO",2005,269.91
"80","AGO",2006,234.83
"81","AGO",2007,230.59
"82","AGO",2008,252.35
"83","AGO",2009,258.03
"84","AGO",2010,293.03
"85","AGO",2011,285.79
