"","ISO3","year","value"
"1","ABW",1991,7542.35
"2","ABW",1992,8328.99
"3","ABW",1993,8444.17
"4","ABW",1994,9301.53
"5","ABW",1995,10238.4
"6","ABW",1996,7033.51
"7","ABW",1997,11063.21
"8","ABW",1998,11334.22
"9","ABW",1999,11032.85
"10","ABW",2000,10509.38
"11","ABW",2001,10773.85
"12","ABW",2002,11376.94
"13","ABW",2003,12925.98
"14","ABW",2004,13492.88
"15","ABW",2005,14518.55
"16","ABW",2006,14453.02
"17","ABW",2007,15727.12
"18","ABW",2008,15479.85
"19","ABW",2009,16549.49
"20","ABW",2010,15936
"21","ABW",2011,10552.33
"22","ABW",2012,12854.58
"23","ABW",2013,14556.49
"24","ABW",2014,14911.4
"25","ABW",2015,14955.03
"26","ABW",2016,15512.82
"27","ABW",2017,14662.04
"28","ABW",2018,15764.42
"29","ABW",2019,18094.6
"30","ABW",2020,15532.3
"31","ABW",2021,15041.31
"32","ABW",2022,15593.98
"33","AFG",1991,587.47
"34","AFG",1992,539.75
"35","AFG",1993,548.56
"36","AFG",1994,556.48
"37","AFG",1995,576.31
"38","AFG",1996,643.52
"39","AFG",1997,698.06
"40","AFG",1998,740.54
"41","AFG",1999,791.94
"42","AFG",2000,697.31
"43","AFG",2001,614.02
"44","AFG",2002,746.93
"45","AFG",2003,781.3
"46","AFG",2004,784.16
"47","AFG",2005,804.25
"48","AFG",2006,817.73
"49","AFG",2007,875.51
"50","AFG",2008,1048.98
"51","AFG",2009,1210.03
"52","AFG",2010,1403.75
"53","AFG",2011,1617.54
"54","AFG",2012,1517.33
"55","AFG",2013,1439.16
"56","AFG",2014,1454.86
"57","AFG",2015,1454.56
"58","AFG",2016,1422.51
"59","AFG",2017,1482.84
"60","AFG",2018,1466.19
"61","AFG",2019,1410.38
"62","AFG",2020,1301.85
"63","AFG",2021,1341.95
"64","AFG",2022,1350.13
"65","AGO",1991,1187.73
"66","AGO",1992,1155.29
"67","AGO",1993,1296.82
"68","AGO",1994,1709.1
"69","AGO",1995,1983.29
"70","AGO",1996,2391.02
"71","AGO",1997,2496.24
"72","AGO",1998,2690.64
"73","AGO",1999,2719.08
"74","AGO",2000,2542.37
"75","AGO",2001,2462.54
"76","AGO",2002,2416.31
"77","AGO",2003,2425.62
"78","AGO",2004,2652.03
