"","ISO3","year","value"
"1","AFG",1970,2437.75667249926
"2","AFG",1971,2400.88860545113
"3","AFG",1972,1874.53106798797
"4","AFG",1973,2056.20001563576
"5","AFG",1974,2249.19928820783
"6","AFG",1975,2442.32562689774
"7","AFG",1976,2515.63858336662
"8","AFG",1977,2478.6264911026
"9","AFG",1978,2445.09579004145
"10","AFG",1979,2375.010975584
"11","AFG",1980,2410.20171849984
"12","AFG",1981,2376.64550425614
"13","AFG",1982,2429.728566624
"14","AFG",1983,2284.37417131469
"15","AFG",1984,2166.93052155421
"16","AFG",1985,1987.18929050856
"17","AFG",1986,1671.2441372916
"18","AFG",1987,1811.11899862325
"19","AFG",1988,1885.91093034817
"20","AFG",1989,1876.56380861834
"21","AFG",1990,1839.49199697744
"22","AFG",1991,1892.24990008582
"23","AFG",1992,1862.47138718639
"24","AFG",1993,1882.8525873736
"25","AFG",1994,1711.49067380284
"26","AFG",1995,1796.2055980732
"27","AFG",1996,1990.2792226472
"28","AFG",1997,2193.69040317355
"29","AFG",1998,2368.31634162024
"30","AFG",1999,2591.58844472218
"31","AFG",2000,2230.86341062245
"32","AFG",2001,1985.67932631855
"33","AFG",2002,2336.24716851964
"34","AFG",2003,2423.25962821979
"35","AFG",2004,2406.7218492907
"36","AFG",2005,2510.87185910602
"37","AFG",2006,2466.53170741058
"38","AFG",2007,2472.01659453322
"39","AFG",2008,2704.56102232487
"40","AFG",2009,2857.6097112855
"41","AFG",2010,3189.57812600039
"42","AFG",2011,3234.65899239282
"43","AFG",2012,3247.55034977893
"44","AFG",2013,3178.67331779178
"45","AFG",2014,3327.81164225747
"46","AFG",2015,3344.01239394401
"47","AFG",2016,3475.26102684522
"48","AFG",2017,3956.18604659941
"49","AFG",2018,3428.40684671872
"50","AFG",2019,3295.31459768319
"51","AFG",2020,3181.2367977087
"52","AFG",2021,3131.11230923043
"53","AFG",2022,3110.40677000836
"54","AGO",1970,1195.11184179771
"55","AGO",1971,1280.56495278519
"56","AGO",1972,1314.07304967084
"57","AGO",1973,1336.94017762061
"58","AGO",1974,1356.03168863972
"59","AGO",1975,1380.20517983341
"60","AGO",1976,1303.04025131623
"61","AGO",1977,1323.84380755275
"62","AGO",1978,1369.26217862556
"63","AGO",1979,1417.43666756065
"64","AGO",1980,1460.12357139727
"65","AGO",1981,1482.20169022876
"66","AGO",1982,1506.84838964724
"67","AGO",1983,1532.53130755455
"68","AGO",1984,1557.69305609488
"69","AGO",1985,1581.22409191789
"70","AGO",1986,1607.8801430316
"71","AGO",1987,1573.2131271712
"72","AGO",1988,1534.48136677717
"73","AGO",1989,1499.26045487635
"74","AGO",1990,1490.61268385732
"75","AGO",1991,1540.8109906878
"76","AGO",1992,1598.36826123609
"77","AGO",1993,1582.58329294589
"78","AGO",1994,1561.44909984104
"79","AGO",1995,1588.80920525359
"80","AGO",1996,1734.35961525862
"81","AGO",1997,1848.04232775529
"82","AGO",1998,2006.43616543566
"83","AGO",1999,2003.24357662435
"84","AGO",2000,2076.72565821575
"85","AGO",2001,2091.60271520037
"86","AGO",2002,2090.06225658221
"87","AGO",2003,2081.1061711372
"88","AGO",2004,2063.42209487257
"89","AGO",2005,2231.86981436644
"90","AGO",2006,2294.51137605289
"91","AGO",2007,2376.35936944677
"92","AGO",2008,2436.11571407295
"93","AGO",2009,2540.87883161401
"94","AGO",2010,2637.50061702721
"95","AGO",2011,2734.88306980758
"96","AGO",2012,2780.28531488466
"97","AGO",2013,2930.97644089297
"98","AGO",2014,3014.42330454083
"99","AGO",2015,3121.91962013733
"100","AGO",2016,3142.17010348489
"101","AGO",2017,3180.57335177797
"102","AGO",2018,3243.55666138025
"103","AGO",2019,3284.58073216107
"104","AGO",2020,3353.06497654413
"105","AGO",2021,3392.45881465384
"106","AGO",2022,3431.1657655735
"107","ALB",1970,581.084295347935
"108","ALB",1971,567.184950045882
"109","ALB",1972,558.097280310979
"110","ALB",1973,569.388348346888
"111","ALB",1974,581.537937161485
"112","ALB",1975,582.833427295459
"113","ALB",1976,663.481926734348
"114","ALB",1977,713.118971336222
"115","ALB",1978,854.850952298837
"116","ALB",1979,875.01120022385
"117","ALB",1980,872.485176416557
"118","ALB",1981,913.262681757179
"119","ALB",1982,906.318802732585
"120","ALB",1983,932.0645173871
"121","ALB",1984,951.046138866376
"122","ALB",1985,929.670702987797
"123","ALB",1986,955.318725451482
"124","ALB",1987,949.837305708504
"125","ALB",1988,995.537925328651
"126","ALB",1989,1074.78993937204
"127","ALB",1990,1002.9559112869
"128","ALB",1991,726.37416672939
"129","ALB",1992,668.471924065777
"130","ALB",1993,720.100209572661
"131","ALB",1994,877.349632531384
"132","ALB",1995,839.959217081314
"133","ALB",1996,776.916725199201
"134","ALB",1997,726.911137005789
"135","ALB",1998,771.023342198783
"136","ALB",1999,731.43345424517
"137","ALB",2000,743.809146332963
"138","ALB",2001,741.453128910188
"139","ALB",2002,794.92798504434
"140","ALB",2003,752.651667662426
"141","ALB",2004,821.208891259584
"142","ALB",2005,695.948278246748
"143","ALB",2006,747.374147931207
"144","ALB",2007,716.142152576976
"145","ALB",2008,662.08541109087
"146","ALB",2009,656.85546878038
"147","ALB",2010,648.949860704733
"148","ALB",2011,665.353396487288
"149","ALB",2012,734.126568216819
"150","ALB",2013,679.506017140551
"151","ALB",2014,752.775808425773
"152","ALB",2015,770.342371315265
"153","ALB",2016,756.98999488522
"154","ALB",2017,738.300200309135
"155","ALB",2018,718.030257704295
"156","ALB",2019,743.280814757151
"157","ALB",2020,674.33087124803
"158","ALB",2021,653.682198612493
"159","ALB",2022,637.599965714079
"160","ARE",1970,48.8733949809438
"161","ARE",1971,53.5743738965871
"162","ARE",1972,56.373944232753
"163","ARE",1973,63.9196197876682
"164","ARE",1974,65.2026672311421
"165","ARE",1975,51.8583907029301
"166","ARE",1976,34.4018751361827
"167","ARE",1977,42.2957075118839
"168","ARE",1978,51.8598584639359
"169","ARE",1979,53.902905230511
"170","ARE",1980,60.1344953942424
"171","ARE",1981,64.1353194892259
"172","ARE",1982,68.7353346446969
"173","ARE",1983,75.2838424565482
"174","ARE",1984,81.3992422025427
"175","ARE",1985,86.9454449877296
"176","ARE",1986,95.369751610038
"177","ARE",1987,101.694476292086
"178","ARE",1988,109.578820904321
"179","ARE",1989,114.460813772692
"180","ARE",1990,122.03095923147
"181","ARE",1991,130.785649633234
"182","ARE",1992,139.962873810459
"183","ARE",1993,149.880003039228
"184","ARE",1994,162.897735630559
"185","ARE",1995,173.331538041574
"186","ARE",1996,188.932632549874
"187","ARE",1997,196.987329668686
"188","ARE",1998,207.004114807449
"189","ARE",1999,223.838615694754
"190","ARE",2000,236.058279942963
"191","ARE",2001,248.731575969116
"192","ARE",2002,262.511573517458
"193","ARE",2003,279.015970104466
"194","ARE",2004,275.648966612048
"195","ARE",2005,292.886494569111
"196","ARE",2006,304.238559344702
"197","ARE",2007,317.028459643207
"198","ARE",2008,337.588198419941
"199","ARE",2009,399.001754875603
"200","ARE",2010,371.827694113535
"201","ARE",2011,369.467395487425
"202","ARE",2012,365.760710249024
"203","ARE",2013,410.501799304999
"204","ARE",2014,444.261946058416
"205","ARE",2015,466.598268922522
"206","ARE",2016,469.635072040473
"207","ARE",2017,478.499539733513
"208","ARE",2018,482.674389767393
"209","ARE",2019,478.310563159025
"210","ARE",2020,479.452619930434
"211","ARE",2021,481.898800418234
"212","ARE",2022,484.556815467225
"213","ARG",1970,21647.7791611637
"214","ARG",1971,22116.1376166623
"215","ARG",1972,22846.6802715489
"216","ARG",1973,23799.8821700441
"217","ARG",1974,23487.6398200059
"218","ARG",1975,23956.2242092134
"219","ARG",1976,24580.3825330788
"220","ARG",1977,25377.8883127129
"221","ARG",1978,24354.8604348546
"222","ARG",1979,24134.6439877947
"223","ARG",1980,23646.6938357456
"224","ARG",1981,23365.8497016931
"225","ARG",1982,23004.143453752
"226","ARG",1983,23356.3197224688
"227","ARG",1984,23826.6123457506
"228","ARG",1985,23420.7815066902
"229","ARG",1986,23152.4344053178
"230","ARG",1987,22687.2648294702
"231","ARG",1988,23439.4529095036
"232","ARG",1989,23544.889450299
"233","ARG",1990,23945.130804186
"234","ARG",1991,23692.6646335912
"235","ARG",1992,24002.6976081976
"236","ARG",1993,23505.0074816668
"237","ARG",1994,24230.0671725464
"238","ARG",1995,24109.8741769777
"239","ARG",1996,24378.9813245036
"240","ARG",1997,24502.8944566653
"241","ARG",1998,24037.5054874056
"242","ARG",1999,24251.8126519391
"243","ARG",2000,24633.252566045
"244","ARG",2001,25274.8753506745
"245","ARG",2002,26153.453863659
"246","ARG",2003,28029.5209545011
"247","ARG",2004,29075.5612866236
"248","ARG",2005,28760.9761121976
"249","ARG",2006,29931.571613026
"250","ARG",2007,31302.954824316
"251","ARG",2008,29425.8037144112
"252","ARG",2009,27070.4633725295
"253","ARG",2010,27291.7093872049
"254","ARG",2011,27775.2481200482
"255","ARG",2012,27451.7958416734
"256","ARG",2013,28534.9279654219
"257","ARG",2014,29118.9535383932
"258","ARG",2015,28425.5903037911
"259","ARG",2016,30695.7390683692
"260","ARG",2017,31673.9923951504
"261","ARG",2018,31907.9432476976
"262","ARG",2019,33481.5476500747
"263","ARG",2020,34190.6449729697
"264","ARG",2021,34917.3632490383
"265","ARG",2022,35019.6593061041
"266","ARM",1970,310.716354880404
"267","ARM",1971,325.361108591266
"268","ARM",1972,329.581545965025
"269","ARM",1973,337.482192018637
"270","ARM",1974,349.904587561799
"271","ARM",1975,352.184297000139
"272","ARM",1976,355.231448990231
"273","ARM",1977,374.387680157005
"274","ARM",1978,386.785805695208
"275","ARM",1979,394.126950496189
"276","ARM",1980,399.897983529612
"277","ARM",1981,398.630831673
"278","ARM",1982,396.860529837768
"279","ARM",1983,408.896836674254
"280","ARM",1984,415.304413071411
"281","ARM",1985,419.168539784661
"282","ARM",1986,424.513019749941
"283","ARM",1987,430.043030385061
"284","ARM",1988,411.762560909883
"285","ARM",1989,393.094213199462
"286","ARM",1990,387.832534855162
"287","ARM",1991,369.757433152933
"288","ARM",1992,347.833630085137
"289","ARM",1993,291.49647795814
"290","ARM",1994,278.230910179275
"291","ARM",1995,262.173888366971
"292","ARM",1996,261.846544539635
"293","ARM",1997,234.645590918233
"294","ARM",1998,231.222490995853
"295","ARM",1999,218.841374717047
"296","ARM",2000,220.374843613444
"297","ARM",2001,222.42570976807
"298","ARM",2002,232.868220397369
"299","ARM",2003,220.368990494414
"300","ARM",2004,307.811163536498
"301","ARM",2005,296.813360034129
"302","ARM",2006,226.272321731707
"303","ARM",2007,325.2672607687
"304","ARM",2008,279.29734429735
"305","ARM",2009,270.622156309198
"306","ARM",2010,253.458575841056
"307","ARM",2011,258.293119990981
"308","ARM",2012,265.950486365033
"309","ARM",2013,293.366489086431
"310","ARM",2014,304.700098092045
"311","ARM",2015,309.455795105069
"312","ARM",2016,317.271649659857
"313","ARM",2017,310.882106532037
"314","ARM",2018,299.202368970151
"315","ARM",2019,316.490657385217
"316","ARM",2020,295.281516562021
"317","ARM",2021,290.857918533867
"318","ARM",2022,297.91596051498
"319","ASM",1970,0.830151665604743
"320","ASM",1971,0.817955178493932
"321","ASM",1972,0.814892799197882
"322","ASM",1973,0.820994179587226
"323","ASM",1974,0.813073306109596
"324","ASM",1975,0.80881840542913
"325","ASM",1976,0.810144100589018
"326","ASM",1977,0.835392040488352
"327","ASM",1978,0.816118301575574
"328","ASM",1979,0.799679339694049
"329","ASM",1980,0.795098201110924
"330","ASM",1981,0.807231667497809
"331","ASM",1982,0.85815005742975
"332","ASM",1983,0.899874851829254
"333","ASM",1984,0.936428824360825
"334","ASM",1985,0.960631550573833
"335","ASM",1986,0.984071106762081
"336","ASM",1987,1.00832006421043
"337","ASM",1988,1.02748833638243
"338","ASM",1989,1.07303678295137
"339","ASM",1990,0.880419882658382
"340","ASM",1991,0.883098115107377
"341","ASM",1992,0.892621519553453
"342","ASM",1993,0.896049573084661
"343","ASM",1994,0.904186203690813
"344","ASM",1995,0.915307310762526
"345","ASM",1996,0.915786629940631
"346","ASM",1997,0.920051237000477
"347","ASM",1998,0.934402553283605
"348","ASM",1999,0.942614833815488
"349","ASM",2000,0.94900919623855
"350","ASM",2001,0.952294281729396
"351","ASM",2002,0.955321706550932
"352","ASM",2003,0.981159977324108
"353","ASM",2004,0.950594953527293
"354","ASM",2005,0.949986338159973
"355","ASM",2006,0.956337010653329
"356","ASM",2007,0.964051458779198
"357","ASM",2008,0.961466009196494
"358","ASM",2009,0.963194351832465
"359","ASM",2010,0.9622631104381
"360","ASM",2011,0.962506869357427
"361","ASM",2012,0.960701852735656
"362","ASM",2013,0.961547669531214
"363","ASM",2014,0.964486071673319
"364","ASM",2015,0.966709789443817
"365","ASM",2016,0.96673567188103
"366","ASM",2017,0.968046838060294
"367","ASM",2018,0.969520920094565
"368","ASM",2019,0.970356728949847
"369","ASM",2020,0.971610442293684
"370","ASM",2021,0.972590572863648
"371","ASM",2022,0.973573696653885
"372","ATG",1970,4.76634694136026
"373","ATG",1971,5.35340367285238
"374","ATG",1972,4.80590629158024
"375","ATG",1973,4.76232757648839
"376","ATG",1974,4.40825568710083
"377","ATG",1975,4.35800935223664
"378","ATG",1976,4.39040375875934
"379","ATG",1977,4.59437972829606
"380","ATG",1978,5.38880672753099
"381","ATG",1979,6.72493094099101
"382","ATG",1980,7.58613696155706
"383","ATG",1981,7.42311775048751
"384","ATG",1982,7.80636008579115
"385","ATG",1983,7.91577644010779
"386","ATG",1984,7.98959594493813
"387","ATG",1985,8.74919300135496
"388","ATG",1986,8.81610779713872
"389","ATG",1987,8.82635815474576
"390","ATG",1988,8.91997977362824
"391","ATG",1989,8.13119514739974
"392","ATG",1990,8.04216335796991
"393","ATG",1991,8.28333258491768
"394","ATG",1992,8.30347045297967
"395","ATG",1993,8.48063343807674
"396","ATG",1994,8.76427274890152
"397","ATG",1995,9.00414901736615
"398","ATG",1996,8.90720952699711
"399","ATG",1997,9.11832125730454
"400","ATG",1998,9.27832312908932
"401","ATG",1999,9.51088842142382
"402","ATG",2000,9.28587945504672
"403","ATG",2001,9.56367957900406
"404","ATG",2002,9.75767469395844
"405","ATG",2003,9.98933460161399
"406","ATG",2004,10.1674061079249
"407","ATG",2005,10.1829246047608
"408","ATG",2006,10.2422591084249
"409","ATG",2007,10.1590824344409
"410","ATG",2008,10.0199830605318
"411","ATG",2009,9.90428609226135
"412","ATG",2010,6.22992456677015
"413","ATG",2011,6.2847149457282
"414","ATG",2012,6.28465719876201
"415","ATG",2013,6.24820777601945
"416","ATG",2014,6.25861740397318
"417","ATG",2015,6.25650506242276
"418","ATG",2016,6.24504649566403
"419","ATG",2017,6.27711468122991
"420","ATG",2018,6.223117892045
"421","ATG",2019,5.7948271368945
"422","ATG",2020,5.68841195746668
"423","ATG",2021,5.57529469104176
"424","ATG",2022,5.47506761852266
"425","AUS",1970,28137.0651715839
"426","AUS",1971,29380.3798746216
"427","AUS",1972,29438.7346501713
"428","AUS",1973,27927.192344833
"429","AUS",1974,29558.7084161346
"430","AUS",1975,30790.2971690634
"431","AUS",1976,31182.4923425366
"432","AUS",1977,28588.8318488713
"433","AUS",1978,27769.136499601
"434","AUS",1979,27460.362483509
"435","AUS",1980,26921.897975571
"436","AUS",1981,26585.0772091379
"437","AUS",1982,26159.2041952036
"438","AUS",1983,25841.4220543219
"439","AUS",1984,26478.7187021041
"440","AUS",1985,27056.6386904807
"441","AUS",1986,27636.7364540484
"442","AUS",1987,27001.0399616271
"443","AUS",1988,28184.2263683674
"444","AUS",1989,29388.2269274749
"445","AUS",1990,31527.9285152855
"446","AUS",1991,31397.6847847147
"447","AUS",1992,30248.0237694469
"448","AUS",1993,30507.0055640968
"449","AUS",1994,31236.631444057
"450","AUS",1995,29660.071063323
"451","AUS",1996,31978.8873630949
"452","AUS",1997,32660.7453515741
"453","AUS",1998,33289.050921493
"454","AUS",1999,33801.6203709823
"455","AUS",2000,34462.162730416
"456","AUS",2001,34344.7412178102
"457","AUS",2002,34043.4360358332
"458","AUS",2003,31430.2809071425
"459","AUS",2004,34358.8586549782
"460","AUS",2005,33806.8673412191
"461","AUS",2006,32856.0421693472
"462","AUS",2007,30960.4097972254
"463","AUS",2008,29947.8348775883
"464","AUS",2009,30401.9528198762
"465","AUS",2010,29945.2648928412
"466","AUS",2011,32287.8257448954
"467","AUS",2012,32673.546590844
"468","AUS",2013,34033.051263296
"469","AUS",2014,34245.0314455964
"470","AUS",2015,32763.7030289838
"471","AUS",2016,31962.3400809791
"472","AUS",2017,34070.2621988767
"473","AUS",2018,31524.0663004089
"474","AUS",2019,30355.1088223006
"475","AUS",2020,29754.0926231374
"476","AUS",2021,30388.5380302433
"477","AUS",2022,31538.9034862763
"478","AUT",1970,2290.44527937293
"479","AUT",1971,2333.59117639593
"480","AUT",1972,2300.33606004957
"481","AUT",1973,2338.69843948543
"482","AUT",1974,2353.95723545064
"483","AUT",1975,2326.27310023476
"484","AUT",1976,2452.03834925417
"485","AUT",1977,2460.69915576538
"486","AUT",1978,2525.92800296718
"487","AUT",1979,2565.91053380662
"488","AUT",1980,2598.78527561772
"489","AUT",1981,2550.51725475538
"490","AUT",1982,2553.62045741723
"491","AUT",1983,2584.7847145411
"492","AUT",1984,2656.36159866195
"493","AUT",1985,2706.78723456592
"494","AUT",1986,2533.56298710855
"495","AUT",1987,2486.64099439487
"496","AUT",1988,2550.89166600981
"497","AUT",1989,2407.1771034487
"498","AUT",1990,2474.21450809442
"499","AUT",1991,2443.18568011006
"500","AUT",1992,2365.91368607545
"501","AUT",1993,2293.19279328479
