"","ISO3","year","value"
"1","ABW",1970,0.724795851014899
"2","ABW",1971,0.745537203786559
"3","ABW",1972,0.778372983872376
"4","ABW",1973,0.80685773405209
"5","ABW",1974,0.817040284575419
"6","ABW",1975,0.880183424724357
"7","ABW",1976,0.923540705011014
"8","ABW",1977,1.03409855594697
"9","ABW",1978,1.11948659122144
"10","ABW",1979,1.13059755423675
"11","ABW",1980,1.24781152547813
"12","ABW",1981,1.23385064822885
"13","ABW",1982,1.24173211866297
"14","ABW",1983,1.25596635007029
"15","ABW",1984,1.49273685677232
"16","ABW",1985,1.55621063409774
"17","ABW",1986,1.74339447142338
"18","ABW",1987,1.86297415398696
"19","ABW",1988,2.00565628714587
"20","ABW",1989,2.46361859406182
"21","ABW",1990,3.16479741542481
"22","ABW",1991,3.53900523141607
"23","ABW",1992,3.87261420973801
"24","ABW",1993,4.06312946913706
"25","ABW",1994,4.45349100910457
"26","ABW",1995,4.936534075105
"27","ABW",1996,3.62785667364751
"28","ABW",1997,5.87182613270506
"29","ABW",1998,6.52142710225324
"30","ABW",1999,6.74772465698434
"31","ABW",2000,4.22782413459723
"32","ABW",2001,4.3068779764
"33","ABW",2002,4.47447009067377
"34","ABW",2003,5.01158781406306
"35","ABW",2004,5.18473712721463
"36","ABW",2005,5.64258018788922
"37","ABW",2006,6.04434258299189
"38","ABW",2007,6.47266270434011
"39","ABW",2008,6.32388406303042
"40","ABW",2009,6.83418718725023
"41","ABW",2010,6.67465829446942
"42","ABW",2011,4.16756975078641
"43","ABW",2012,5.31446051713769
"44","ABW",2013,5.86862545119127
"45","ABW",2014,6.10776494616478
"46","ABW",2015,6.06118080385941
"47","ABW",2016,6.4240973763196
"48","ABW",2017,6.21068896705569
"49","ABW",2018,6.50350780017779
"50","ABW",2019,7.32664796253974
"51","ABW",2020,6.42889037940127
"52","ABW",2021,6.27655029435134
"53","ABW",2022,6.48057345978656
"54","AFG",1970,2512.11135871034
"55","AFG",1971,2478.43127257706
"56","AFG",1972,1956.27749698286
"57","AFG",1973,2140.83208303494
"58","AFG",1974,2339.18291579656
"59","AFG",1975,2536.53777411681
"60","AFG",1976,2612.21053145876
"61","AFG",1977,2581.52169610446
"62","AFG",1978,2549.71922308898
"63","AFG",1979,2483.87109024136
"64","AFG",1980,2523.1600829166
"65","AFG",1981,2495.89816269944
"66","AFG",1982,2552.06151662593
"67","AFG",1983,2415.98740724009
"68","AFG",1984,2300.93630713868
"69","AFG",1985,2135.41814746736
"70","AFG",1986,1822.79282143643
"71","AFG",1987,1967.08157361478
"72","AFG",1988,2042.69010408694
"73","AFG",1989,2033.22970504119
"74","AFG",1990,2001.63389218933
"75","AFG",1991,2054.98891730991
"76","AFG",1992,2018.67418387145
"77","AFG",1993,2047.68703428017
"78","AFG",1994,1883.16895688114
"79","AFG",1995,1985.00332205322
"80","AFG",1996,2191.77730821622
"81","AFG",1997,2403.34549735477
"82","AFG",1998,2578.35184136627
"83","AFG",1999,2799.74510723271
"84","AFG",2000,2445.94185060927
"85","AFG",2001,2209.5514996267
"86","AFG",2002,2570.54252330327
"87","AFG",2003,2679.97647802206
"88","AFG",2004,2669.92809170479
"89","AFG",2005,2786.20584393264
"90","AFG",2006,2755.80576885296
"91","AFG",2007,2779.70638606168
"92","AFG",2008,3061.48435282152
"93","AFG",2009,3269.77394225213
"94","AFG",2010,3643.34182086305
"95","AFG",2011,3732.97009767882
"96","AFG",2012,3735.3445806763
"97","AFG",2013,3640.88469928544
"98","AFG",2014,3786.91842783866
"99","AFG",2015,3820.17253659268
"100","AFG",2016,3940.37770023362
"101","AFG",2017,4431.12840986509
"102","AFG",2018,3915.45464808779
"103","AFG",2019,3780.37590720811
"104","AFG",2020,3650.95105812645
"105","AFG",2021,3609.61528091773
"106","AFG",2022,3595.63942972334
"107","AGO",1970,1530.72909241718
"108","AGO",1971,1620.79683029627
"109","AGO",1972,1678.0282474342
"110","AGO",1973,1705.39885788544
"111","AGO",1974,1732.95110780124
"112","AGO",1975,1753.16786989474
"113","AGO",1976,1661.87951428008
"114","AGO",1977,1703.34105831972
"115","AGO",1978,1780.30931970001
"116","AGO",1979,1830.53032333305
"117","AGO",1980,1879.41049604378
"118","AGO",1981,1902.59525058389
"119","AGO",1982,2679.28309977462
"120","AGO",1983,2651.67912171129
"121","AGO",1984,2540.31005102358
"122","AGO",1985,2828.71440124032
"123","AGO",1986,2825.24473561964
"124","AGO",1987,2740.62856888257
"125","AGO",1988,2517.0067552554
"126","AGO",1989,2684.49639100203
"127","AGO",1990,2704.44404964599
"128","AGO",1991,2620.95932583867
"129","AGO",1992,2812.03705435551
"130","AGO",1993,2785.32091354964
"131","AGO",1994,2758.19710350081
"132","AGO",1995,2793.33443568519
"133","AGO",1996,3040.77896809172
"134","AGO",1997,2957.23153090078
