"","ISO3","year","value"
"1","ABW",1970,25.1308876878498
"2","ABW",1971,28.7426835813761
"3","ABW",1972,39.3848343152854
"4","ABW",1973,44.2310837954987
"5","ABW",1974,43.398906893246
"6","ABW",1975,57.3232047960977
"7","ABW",1976,56.368135943972
"8","ABW",1977,67.0774448464585
"9","ABW",1978,71.9283139563706
"10","ABW",1979,75.9247259202389
"11","ABW",1980,79.7907158740905
"12","ABW",1981,82.8907489144761
"13","ABW",1982,82.1162650346018
"14","ABW",1983,84.3550262987167
"15","ABW",1984,98.7405311427125
"16","ABW",1985,104.231719816534
"17","ABW",1986,113.97143247274
"18","ABW",1987,128.893851349031
"19","ABW",1988,143.217240044727
"20","ABW",1989,198.033384854886
"21","ABW",1990,190.600023020684
"22","ABW",1991,216.946539687423
"23","ABW",1992,240.518808791134
"24","ABW",1993,242.647113498525
"25","ABW",1994,268.14121435319
"26","ABW",1995,296.608436857589
"27","ABW",1996,195.400919313808
"28","ABW",1997,320.978675263081
"29","ABW",1998,329.038815951851
"30","ABW",1999,319.17206056905
"31","ABW",2000,303.004486016712
"32","ABW",2001,311.009416512745
"33","ABW",2002,329.724596738628
"34","ABW",2003,378.007460355439
"35","ABW",2004,395.454240918333
"36","ABW",2005,427.273198024107
"37","ABW",2006,424.868069528886
"38","ABW",2007,464.922812626664
"39","ABW",2008,457.25004308668
"40","ABW",2009,490.898953586112
"41","ABW",2010,471.859489452444
"42","ABW",2011,303.158169439255
"43","ABW",2012,374.63626454166
"44","ABW",2013,427.836099596897
"45","ABW",2014,438.638791544281
"46","ABW",2015,439.867785342374
"47","ABW",2016,457.177613511732
"48","ABW",2017,430.312862548834
"49","ABW",2018,464.817171783178
"50","ABW",2019,537.72436365689
"51","ABW",2020,457.191071994013
"52","ABW",2021,441.565234158026
"53","ABW",2022,458.803315980257
"54","AFG",1970,2545.76217233795
"55","AFG",1971,2555.16784114332
"56","AFG",1972,2600.71663041917
"57","AFG",1973,2587.34746928879
"58","AFG",1974,3072.34619831667
"59","AFG",1975,2926.96187232135
"60","AFG",1976,2576.41547637207
"61","AFG",1977,2959.61391082866
"62","AFG",1978,2607.23168915337
"63","AFG",1979,2709.62872850672
"64","AFG",1980,2816.71299321868
"65","AFG",1981,3049.35480780126
"66","AFG",1982,3043.17636690038
"67","AFG",1983,3769.69027857137
"68","AFG",1984,4038.130587815
"69","AFG",1985,5049.26843866552
"70","AFG",1986,4911.65468691339
"71","AFG",1987,3857.04293700201
"72","AFG",1988,3571.50420561619
"73","AFG",1989,2924.34524464148
"74","AFG",1990,2969.24427317311
"75","AFG",1991,2819.70008854922
"76","AFG",1992,1671.45514337397
"77","AFG",1993,1612.94683622252
"78","AFG",1994,1635.75723192714
"79","AFG",1995,1515.93685864353
"80","AFG",1996,1520.50690183266
"81","AFG",1997,1516.74629132674
"82","AFG",1998,1539.27481342719
"83","AFG",1999,1510.33133666752
"84","AFG",2000,1322.65662880345
"85","AFG",2001,1211.8629263306
"86","AFG",2002,1225.67185824182
"87","AFG",2003,1287.95225890689
"88","AFG",2004,1156.93830764635
"89","AFG",2005,1578.96080849929
"90","AFG",2006,1776.41062760497
"91","AFG",2007,2490.5706194961
"92","AFG",2008,4560.11370519093
"93","AFG",2009,7085.79984827652
"94","AFG",2010,8866.21269423267
"95","AFG",2011,12999.7768839648
"96","AFG",2012,11104.3442927892
"97","AFG",2013,9593.64594202074
"98","AFG",2014,9282.86222209202
"99","AFG",2015,9658.42198334067
"100","AFG",2016,8972.49041027718
"101","AFG",2017,9697.56428548619
"102","AFG",2018,9551.5062915114
"103","AFG",2019,8731.39057834526
"104","AFG",2020,6131.56780773171
"105","AFG",2021,6817.24880862096
"106","AFG",2022,6838.68040903598
"107","AGO",1970,14274.1241359379
"108","AGO",1971,13806.7375069525
"109","AGO",1972,16327.3580761997
"110","AGO",1973,17818.0760482384
"111","AGO",1974,18457.9704484184
"112","AGO",1975,17152.0108447981
"113","AGO",1976,13717.6325269996
"114","AGO",1977,18242.1185929652
"115","AGO",1978,20123.0496494724
"116","AGO",1979,20498.6899424533
"117","AGO",1980,20860.3309731242
"118","AGO",1981,19290.3049860507
"119","AGO",1982,18712.959421187
"120","AGO",1983,20613.9242029585
"121","AGO",1984,21570.7015448508
"122","AGO",1985,22926.1916836762
"123","AGO",1986,24348.4047718475
"124","AGO",1987,26704.1704140642
"125","AGO",1988,29520.3681211147
"126","AGO",1989,29820.7011906446
"127","AGO",1990,26630.59106928
"128","AGO",1991,26373.9732904708
"129","AGO",1992,25063.0402076089
"130","AGO",1993,28955.1203858899
"131","AGO",1994,40006.5853323558
"132","AGO",1995,47269.5474112202
"133","AGO",1996,57609.7441337118
"134","AGO",1997,60141.2073269672
"135","AGO",1998,64463.4285417627
"136","AGO",1999,65321.9683208968
"137","AGO",2000,60175.2331965451
"138","AGO",2001,57531.3959157175
"139","AGO",2002,56479.4845508307
"140","AGO",2003,56524.194992656
"141","AGO",2004,58239.2794183844
"142","AGO",2005,56468.4543654725
"143","AGO",2006,53224.6289672343
"144","AGO",2007,51977.3704472442
"145","AGO",2008,55704.7831525524
"146","AGO",2009,56301.0015366258
"147","AGO",2010,62881.13821073
"148","AGO",2011,61027.4912477598
"149","AGO",2012,61700.4208637183
"150","AGO",2013,64711.2535333536
"151","AGO",2014,66046.830125654
"152","AGO",2015,70244.8394942305
"153","AGO",2016,67250.0879075575
"154","AGO",2017,62349.4921516719
"155","AGO",2018,58294.7607082461
"156","AGO",2019,57284.5346750543
"157","AGO",2020,51041.705760719
"158","AGO",2021,48510.2636369744
"159","AGO",2022,45004.5716348845
"160","ALB",1970,5434.72841379629
"161","ALB",1971,5443.08074149369
"162","ALB",1972,6382.8653734389
"163","ALB",1973,5703.18119335717
"164","ALB",1974,5899.86010130083
"165","ALB",1975,6142.88714410244
"166","ALB",1976,6543.53764568225
"167","ALB",1977,6962.16594276204
"168","ALB",1978,7620.90866776764
"169","ALB",1979,8624.895912061
"170","ALB",1980,8785.77608433959
"171","ALB",1981,7761.24641109385
"172","ALB",1982,8433.89399820754
"173","ALB",1983,9262.4236604934
"174","ALB",1984,9484.03896666859
