"","ISO3","year","value"
"1","ABW",1991,12.82
"2","ABW",1992,24.43
"3","ABW",1993,26.13
"4","ABW",1994,38.79
"5","ABW",1995,52.62
"6","ABW",1996,5.31
"7","ABW",1997,64.8
"8","ABW",1998,68.8
"9","ABW",1999,64.35
"10","ABW",2000,56.62
"11","ABW",2001,60.53
"12","ABW",2002,69.43
"13","ABW",2003,92.3
"14","ABW",2004,100.67
"15","ABW",2005,115.81
"16","ABW",2006,114.84
"17","ABW",2007,133.65
"18","ABW",2008,130
"19","ABW",2009,145.79
"20","ABW",2010,136.73
"21","ABW",2011,57.26
"22","ABW",2012,91.24
"23","ABW",2013,116.37
"24","ABW",2014,121.61
"25","ABW",2015,122.25
"26","ABW",2016,130.49
"27","ABW",2017,117.93
"28","ABW",2018,134.2
"29","ABW",2019,168.6
"30","ABW",2020,130.77
"31","ABW",2021,123.53
"32","ABW",2022,131.68
"33","AFG",1991,0.61
"34","AFG",1992,-6.37
"35","AFG",1993,-5.08
"36","AFG",1994,-3.92
"37","AFG",1995,-1.02
"38","AFG",1996,8.82
"39","AFG",1997,16.8
"40","AFG",1998,23.01
"41","AFG",1999,30.54
"42","AFG",2000,16.69
"43","AFG",2001,4.5
"44","AFG",2002,23.95
"45","AFG",2003,28.98
"46","AFG",2004,29.4
"47","AFG",2005,32.34
"48","AFG",2006,34.31
"49","AFG",2007,42.77
"50","AFG",2008,68.15
"51","AFG",2009,91.72
"52","AFG",2010,120.07
"53","AFG",2011,151.36
"54","AFG",2012,136.7
"55","AFG",2013,125.26
"56","AFG",2014,127.56
"57","AFG",2015,127.51
"58","AFG",2016,122.82
"59","AFG",2017,131.65
"60","AFG",2018,129.21
"61","AFG",2019,121.04
"62","AFG",2020,105.16
"63","AFG",2021,111.03
"64","AFG",2022,112.23
"65","AGO",1991,-0.38
"66","AGO",1992,-2.88
"67","AGO",1993,8.06
"68","AGO",1994,39.96
"69","AGO",1995,61.17
"70","AGO",1996,92.72
"71","AGO",1997,100.86
"72","AGO",1998,115.9
"73","AGO",1999,118.1
"74","AGO",2000,104.43
"75","AGO",2001,98.25
"76","AGO",2002,94.67
"77","AGO",2003,95.39
"78","AGO",2004,112.91
"79","AGO",2005,110.36
"80","AGO",2006,90.41
"81","AGO",2007,88
"82","AGO",2008,100.37
"83","AGO",2009,103.6
"84","AGO",2010,123.51
"85","AGO",2011,119.39
"86","AGO",2012,124.31
"87","AGO",2013,137.39
"88","AGO",2014,143.69
"89","AGO",2015,157.78
"90","AGO",2016,149.15
"91","AGO",2017,134.25
"92","AGO",2018,123.75
"93","AGO",2019,121.52
"94","AGO",2020,105.06
"95","AGO",2021,99.14
"96","AGO",2022,90.18
"97","ALB",1991,-21.52
"98","ALB",1992,-46.58
"99","ALB",1993,-46.24
"100","ALB",1994,-40.22
"101","ALB",1995,-43.32
"102","ALB",1996,-45.58
"103","ALB",1997,-52.05
"104","ALB",1998,-49.72
"105","ALB",1999,-39.21
"106","ALB",2000,-37.39
"107","ALB",2001,-35.73
"108","ALB",2002,-30.28
"109","ALB",2003,-28.61
"110","ALB",2004,-26.78
"111","ALB",2005,-30.3
"112","ALB",2006,-29.91
"113","ALB",2007,-30.29
"114","ALB",2008,-32.16
"115","ALB",2009,-32.36
"116","ALB",2010,-29.68
"117","ALB",2011,-26.2
"118","ALB",2012,-28.71
"119","ALB",2013,-26.45
"120","ALB",2014,-22.19
"121","ALB",2015,-23.58
"122","ALB",2016,-26.91
"123","ALB",2017,-19.8
"124","ALB",2018,-20.25
"125","ALB",2019,-24.46
"126","ALB",2020,-32.1
"127","ALB",2021,-31.79
"128","ALB",2022,-31.06
"129","ARE",1991,11.05
"130","ARE",1992,9.8
"131","ARE",1993,18.02
"132","ARE",1994,25.24
"133","ARE",1995,32.88
"134","ARE",1996,39.83
"135","ARE",1997,42.81
"136","ARE",1998,44.17
"137","ARE",1999,48.02
"138","ARE",2000,50.64
"139","ARE",2001,67.71
"140","ARE",2002,69.65
"141","ARE",2003,79.43
"142","ARE",2004,87.81
"143","ARE",2005,100.07
"144","ARE",2006,108.43
"145","ARE",2007,120.94
"146","ARE",2008,153.54
"147","ARE",2009,154.69
"148","ARE",2010,165.27
"149","ARE",2011,174.59
"150","ARE",2012,187.4
"151","ARE",2013,201.29
"152","ARE",2014,205.23
"153","ARE",2015,221.67
"154","ARE",2016,231.6
"155","ARE",2017,219.61
"156","ARE",2018,198.95
"157","ARE",2019,216.91
"158","ARE",2020,219.96
"159","ARE",2021,238.21
"160","ARE",2022,248.06
"161","ARG",1991,1.53
"162","ARG",1992,2.32
"163","ARG",1993,3.34
"164","ARG",1994,5.56
"165","ARG",1995,6.72
"166","ARG",1996,9.68
"167","ARG",1997,11.62
"168","ARG",1998,13.49
"169","ARG",1999,16.35
"170","ARG",2000,15.61
"171","ARG",2001,14.02
"172","ARG",2002,13.61
"173","ARG",2003,22.43
"174","ARG",2004,30.12
"175","ARG",2005,31.28
"176","ARG",2006,36.52
"177","ARG",2007,39.1
"178","ARG",2008,39.37
"179","ARG",2009,30.68
"180","ARG",2010,31.84
"181","ARG",2011,34.69
"182","ARG",2012,36.61
"183","ARG",2013,40.22
"184","ARG",2014,39.59
"185","ARG",2015,42.82
"186","ARG",2016,43.11
"187","ARG",2017,44.36
"188","ARG",2018,44.02
"189","ARG",2019,42.29
"190","ARG",2020,36.69
"191","ARG",2021,44.07
"192","ARG",2022,45.81
"193","ARM",1991,2.4
"194","ARM",1992,-42.85
"195","ARM",1993,-68.91
"196","ARM",1994,-78.6
"197","ARM",1995,-75.77
"198","ARM",1996,-79.7
"199","ARM",1997,-76.76
"200","ARM",1998,-76.59
"201","ARM",1999,-78.11
"202","ARM",2000,-75.93
"203","ARM",2001,-75.44
"204","ARM",2002,-77.2
"205","ARM",2003,-75.3
"206","ARM",2004,-73.32
"207","ARM",2005,-70.2
"208","ARM",2006,-70.31
"209","ARM",2007,-67.14
"210","ARM",2008,-65.17
"211","ARM",2009,-70.52
"212","ARM",2010,-71.58
"213","ARM",2011,-68.98
"214","ARM",2012,-65.37
"215","ARM",2013,-65.33
"216","ARM",2014,-65
"217","ARM",2015,-65.27
"218","ARM",2016,-66.06
"219","ARM",2017,-65.23
"220","ARM",2018,-64.56
"221","ARM",2019,-62.56
"222","ARM",2020,-60.35
"223","ARM",2021,-59.52
"224","ARM",2022,-62.12
"225","ASM",1991,1.04
"226","ASM",1992,2.09
"227","ASM",1993,3.1
"228","ASM",1994,4.02
"229","ASM",1995,4.94
"230","ASM",1996,5.77
"231","ASM",1997,6.6
"232","ASM",1998,7.54
"233","ASM",1999,8.32
"234","ASM",2000,9.17
"235","ASM",2001,15.65
"236","ASM",2002,16.27
"237","ASM",2003,17
"238","ASM",2004,16.91
"239","ASM",2005,16.5
"240","ASM",2006,16.23
"241","ASM",2007,16.15
"242","ASM",2008,15.37
"243","ASM",2009,14.75
"244","ASM",2010,14.26
"245","ASM",2011,14.09
"246","ASM",2012,14
"247","ASM",2013,14.21
"248","ASM",2014,14.37
"249","ASM",2015,14.49
"250","ASM",2016,14.53
"251","ASM",2017,14.53
"252","ASM",2018,14.62
"253","ASM",2019,14.72
"254","ASM",2020,14.88
"255","ASM",2021,14.96
"256","ASM",2022,15.01
"257","ATG",1991,1.31
"258","ATG",1992,2.15
"259","ATG",1993,1.5
"260","ATG",1994,6.25
"261","ATG",1995,10.13
"262","ATG",1996,9.99
"263","ATG",1997,13.78
"264","ATG",1998,16.01
"265","ATG",1999,14.2
"266","ATG",2000,-8.34
"267","ATG",2001,-8.28
"268","ATG",2002,-2.52
"269","ATG",2003,3.46
"270","ATG",2004,5.59
"271","ATG",2005,7.57
"272","ATG",2006,14.86
"273","ATG",2007,23.29
"274","ATG",2008,30.19
"275","ATG",2009,42.41
"276","ATG",2010,38.67
"277","ATG",2011,13.77
"278","ATG",2012,22.56
"279","ATG",2013,41
"280","ATG",2014,44.93
"281","ATG",2015,44.55
"282","ATG",2016,52.96
