"","X.1","Indicator.Code","total_obs","yearmean","yearmedian","n_country","n_years","countryobs_avg","countryobs_max","yearlatest_mean","yearlatest_median","yearlatest","yearfirst_mean","yearfirst_median","yearfirst","yearmean_mean","yearmean_median","n_lmic","span_years","cov_years","nonmiss","nonmiss_tot","nonmiss_tot2000","p_lmic","uniquevisitors","pageviews","visitors","X","Indicator.Name","type","primary","datatopic","ncountry_score","plmic_score","yearlatest_score","yearlatestmedian_score","spanyears_score","nonmiss_score","uniquevisitors_score","frontier_score","country_score","p_lmic_score","yearlatest_median_score","span_years_score","country_score_hybrid","p_lmic_score_hybrid","yearlatest_median_score_hybrid","yearlatest_score_hybrid","span_years_score_hybrid","uniquevisitors_score_hybrid","nonmiss_score_hybrid","loose","median","stringent","threshold_score","hybrid_score","geographic_score","temporal_score","completeness_score","usage_score","threshold_score_wgtd","geographic_score_hybrid","temporal_score_hybrid","completeness_score_hybrid","usage_score_hybrid","hybrid_score_wgtd"
"219",219,"EN.ATM.CO2E.EG.ZS",5895,1992.85581000848,1994,173,56,43.2758269720102,56,2014.05106022053,2014,2015,1971.48854961832,1971,1960,1992.85581000848,1992.5,114,56,98.21,60.85,44.53,49,65.9,4909,7756,5521,387,"CO2 intensity (kg per kg of oil equivalent energy use)","Derived",0,"Climate Change",79.7235023041475,65.9,2,68.4210526315789,93.3333333333333,4,4,64.9373173717704,4,4,3,4,3.71052631578947,3.02571428571429,2.5,2,3.91111111111111,3.02765702528589,3.44071428571429,"No","No","Yes",3.57142857142857,3.08796043194501,4,3,4,4,3.75,3.36812030075188,2.8037037037037,3.44071428571429,3.02765702528589,3.16004882886394
"220",220,"EN.ATM.CO2E.GF.KT",10397,1989.45772819082,1991,207,57,54.0403000865634,57,2015.97826296047,2016,2016,1962.92738289891,1960,1960,1989.45772819082,1988,134,57,98.25,88.12,78.54,75.69,64.73,2471,3759,2724,388,"CO2 emissions from gaseous fuel consumption (kt)","Disaggregation",0,"Climate Change",95.3917050691244,64.73,3,78.9473684210526,95,4,4,72.9793914509777,4,3,4,4,3.93421052631579,2.982,3.2,2.5,3.93333333333333,3.01236380059843,3.83028571428571,"No","No","Yes",3.71428571428571,3.34174191064761,3.5,3.66666666666667,4,4,3.79166666666667,3.45810526315789,3.21111111111111,3.83028571428571,3.01236380059843,3.37796647228829
"221",221,"EN.ATM.CO2E.GF.ZS",10397,1989.45772819082,1991,207,57,54.0403000865634,57,2015.97826296047,2016,2016,1962.92738289891,1960,1960,1989.45772819082,1988,134,57,98.25,88.12,78.54,75.69,64.73,685,1067,786,389,"CO2 emissions from gaseous fuel consumption (% of total)","Derived",0,"Climate Change",95.3917050691244,64.73,3,78.9473684210526,95,4,4,71.1222485938348,4,3,4,4,3.93421052631579,2.982,3.2,2.5,3.93333333333333,3.00116047849351,3.83028571428571,"No","No","Yes",3.71428571428571,3.34014143606119,3.5,3.66666666666667,4,4,3.79166666666667,3.45810526315789,3.21111111111111,3.83028571428571,3.00116047849351,3.37516564176206
"222",222,"EN.ATM.CO2E.KD.GD",8442,1992.13776356314,1994,198,57,48.6183368869936,57,2015.94693200663,2016,2016,1968.32859511964,1960,1960,1992.13776356314,1988,131,57,98.25,74.8,63.78,71.19,66.16,3763,7491,4368,390,"CO2 emissions (kg per 2010 US$ of GDP)","Derived",0,"Climate Change",91.2442396313364,66.16,3,78.9473684210526,95,4,4,71.4026106741508,4,4,4,4,3.875,3.03314285714286,3.2,2.5,3.93333333333333,3.02046833148284,3.64,"No","No","Yes",3.85714285714286,3.314563503137,4,3.66666666666667,4,4,3.91666666666667,3.45407142857143,3.21111111111111,3.64,3.02046833148284,3.33141271779134
"223",223,"EN.ATM.CO2E.KT",10397,1989.45772819082,1991,207,57,54.0403000865634,57,2015.97826296047,2016,2016,1962.92738289891,1960,1960,1989.45772819082,1988,134,57,98.25,88.12,78.54,75.69,64.73,48357,112141,63112,391,"CO2 emissions (kt)","Primary",1,"Climate Change",95.3917050691244,64.73,3,78.9473684210526,95,4,4,74.9793914509777,4,3,4,4,3.93421052631579,2.982,3.2,2.5,3.93333333333333,3.30020010412942,3.83028571428571,"No","No","Yes",3.71428571428571,3.38286138258061,3.5,3.66666666666667,4,4,3.79166666666667,3.45810526315789,3.21111111111111,3.83028571428571,3.30020010412942,3.44992554817104
"224",224,"EN.ATM.CO2E.LF.KT",10397,1989.45772819082,1991,207,57,54.0403000865634,57,2015.97826296047,2016,2016,1962.92738289891,1960,1960,1989.45772819082,1988,134,57,98.25,88.12,78.54,75.69,64.73,6182,9965,6952,392,"CO2 emissions from liquid fuel consumption (kt)","Disaggregation",0,"Climate Change",95.3917050691244,64.73,3,78.9473684210526,95,4,4,74.1222485938348,4,3,4,4,3.93421052631579,2.982,3.2,2.5,3.93333333333333,3.03564237189258,3.83028571428571,"No","No","Yes",3.71428571428571,3.34506742083249,3.5,3.66666666666667,4,4,3.79166666666667,3.45810526315789,3.21111111111111,3.83028571428571,3.03564237189258,3.38378611511183
"225",225,"EN.ATM.CO2E.LF.ZS",10397,1989.45772819082,1991,207,57,54.0403000865634,57,2015.97826296047,2016,2016,1962.92738289891,1960,1960,1989.45772819082,1988,134,57,98.25,88.12,78.54,75.69,64.73,927,1409,1028,393,"CO2 emissions from liquid fuel consumption (% of total)","Derived",0,"Environment",95.3917050691244,64.73,3,78.9473684210526,95,4,4,71.5508200224062,4,3,4,4,3.93421052631579,2.982,3.2,2.5,3.93333333333333,3.00267850982016,3.83028571428571,"No","No","Yes",3.71428571428571,3.34035829767928,3.5,3.66666666666667,4,4,3.79166666666667,3.45810526315789,3.21111111111111,3.83028571428571,3.00267850982016,3.37554514959372
"226",226,"EN.ATM.CO2E.PC",10387,1989.43987676904,1991,207,57,54.0189660152113,57,2015.95898719553,2016,2016,1962.91383460094,1960,1960,1989.43987676904,1988,134,57,98.25,88.03,78.47,75.53,64.73,159917,319557,195243,394,"CO2 emissions (metric tons per capita)","Derived",0,"Environment",95.3917050691244,64.73,3,78.9473684210526,95,4,4,75.1093914509777,4,3,4,4,3.93421052631579,2.982,3.2,2.5,3.93333333333333,4,3.829,"No","No","Yes",3.71428571428571,3.48264912280702,3.5,3.66666666666667,4,4,3.79166666666667,3.45810526315789,3.21111111111111,3.829,4,3.62455409356725
"227",227,"EN.ATM.CO2E.PP.GD",4898,2003.41833401388,2004,195,27,26.0065332788893,27,2015.92160065333,2016,2016,1990.91506737444,1990,1990,2003.41833401388,2003,130,27,96.3,93.03,37,70.22,66.67,11929,22171,13747,395,"CO2 emissions (kg per PPP $ of GDP)","Derived",0,"Climate Change",89.8617511520737,66.67,3,78.9473684210526,45,4,4,67.596540891399,4,4,4,4,3.85526315789474,3.04771428571429,3.2,2.5,3.26666666666667,3.07169247947208,3.90042857142857,"No","No","Yes",3.85714285714286,3.26310930873948,4,3.66666666666667,4,4,3.91666666666667,3.45148872180451,2.98888888888889,3.90042857142857,3.07169247947208,3.35312466539851
"228",228,"EN.ATM.CO2E.PP.GD.KD",4837,2003.42402315485,2004,191,27,26.1081248707877,27,2015.97808559024,2016,2016,1990.86996071945,1990,1990,2003.42402315485,2003,126,27,96.3,93.79,36.54,69.32,65.97,6378,11178,7189,396,"CO2 emissions (kg per 2011 PPP $ of GDP)","Derived",0,"Climate Change",88.0184331797235,65.97,3,78.9473684210526,45,4,4,67.056066895349,4,4,4,4,3.82894736842105,3.02771428571429,3.2,2.5,3.26666666666667,3.03687185181003,3.91128571428571,"No","No","Yes",3.85714285714286,3.25306941241396,4,3.66666666666667,4,4,3.91666666666667,3.42833082706767,2.98888888888889,3.91128571428571,3.03687185181003,3.34134432051308
