"","Indicator.Code","Year","count","Indicator.Name"
"1","AG.LND.AGRI.ZS",1961,179,"Agricultural land (% of land area)"
"2","AG.LND.AGRI.ZS",1962,179,"Agricultural land (% of land area)"
"3","AG.LND.AGRI.ZS",1963,179,"Agricultural land (% of land area)"
"4","AG.LND.AGRI.ZS",1964,179,"Agricultural land (% of land area)"
"5","AG.LND.AGRI.ZS",1965,179,"Agricultural land (% of land area)"
"6","AG.LND.AGRI.ZS",1966,179,"Agricultural land (% of land area)"
"7","AG.LND.AGRI.ZS",1967,179,"Agricultural land (% of land area)"
"8","AG.LND.AGRI.ZS",1968,179,"Agricultural land (% of land area)"
"9","AG.LND.AGRI.ZS",1969,179,"Agricultural land (% of land area)"
"10","AG.LND.AGRI.ZS",1970,179,"Agricultural land (% of land area)"
"11","AG.LND.AGRI.ZS",1971,179,"Agricultural land (% of land area)"
"12","AG.LND.AGRI.ZS",1972,179,"Agricultural land (% of land area)"
"13","AG.LND.AGRI.ZS",1973,179,"Agricultural land (% of land area)"
"14","AG.LND.AGRI.ZS",1974,179,"Agricultural land (% of land area)"
"15","AG.LND.AGRI.ZS",1975,179,"Agricultural land (% of land area)"
"16","AG.LND.AGRI.ZS",1976,179,"Agricultural land (% of land area)"
"17","AG.LND.AGRI.ZS",1977,179,"Agricultural land (% of land area)"
"18","AG.LND.AGRI.ZS",1978,179,"Agricultural land (% of land area)"
"19","AG.LND.AGRI.ZS",1979,179,"Agricultural land (% of land area)"
"20","AG.LND.AGRI.ZS",1980,179,"Agricultural land (% of land area)"
"21","AG.LND.AGRI.ZS",1981,179,"Agricultural land (% of land area)"
"22","AG.LND.AGRI.ZS",1982,179,"Agricultural land (% of land area)"
"23","AG.LND.AGRI.ZS",1983,179,"Agricultural land (% of land area)"
"24","AG.LND.AGRI.ZS",1984,179,"Agricultural land (% of land area)"
"25","AG.LND.AGRI.ZS",1985,179,"Agricultural land (% of land area)"
"26","AG.LND.AGRI.ZS",1986,179,"Agricultural land (% of land area)"
"27","AG.LND.AGRI.ZS",1987,179,"Agricultural land (% of land area)"
"28","AG.LND.AGRI.ZS",1988,179,"Agricultural land (% of land area)"
"29","AG.LND.AGRI.ZS",1989,179,"Agricultural land (% of land area)"
"30","AG.LND.AGRI.ZS",1990,179,"Agricultural land (% of land area)"
"31","AG.LND.AGRI.ZS",1991,183,"Agricultural land (% of land area)"
"32","AG.LND.AGRI.ZS",1992,202,"Agricultural land (% of land area)"
"33","AG.LND.AGRI.ZS",1993,205,"Agricultural land (% of land area)"
"34","AG.LND.AGRI.ZS",1994,205,"Agricultural land (% of land area)"
"35","AG.LND.AGRI.ZS",1995,205,"Agricultural land (% of land area)"
"36","AG.LND.AGRI.ZS",1996,205,"Agricultural land (% of land area)"
"37","AG.LND.AGRI.ZS",1997,205,"Agricultural land (% of land area)"
"38","AG.LND.AGRI.ZS",1998,205,"Agricultural land (% of land area)"
"39","AG.LND.AGRI.ZS",1999,205,"Agricultural land (% of land area)"
"40","AG.LND.AGRI.ZS",2000,206,"Agricultural land (% of land area)"
"41","AG.LND.AGRI.ZS",2001,206,"Agricultural land (% of land area)"
